neg_event,event
PersonX does not drop PersonY's head,PersonX drops PersonY's head
PersonX did not finally get around,PersonX finally got around
PersonX does not buy PersonY one,PersonX buys PersonY one
PersonX does not drop PersonY's phone,PersonX drops PersonY's phone
PersonX did not finally get back,PersonX finally got back
PersonX does not buy PersonY's one,PersonX buys PersonY's one
PersonX is not losing weight,PersonX is losing weight
PersonX did not finally get home,PersonX finally got home
PersonX does not give PersonY impression,PersonX gives PersonY impression
PersonX does not buy a car,PersonX buys a car
PersonX is not making a cake,PersonX is making a cake
PersonX did not finally get up,PersonX finally got up
PersonX does not give PersonY instruction,PersonX gives PersonY instruction
PersonX is not mother,PersonX is mother
PersonX did not finally join,PersonX finally joined
PersonX does not give PersonY light,PersonX gives PersonY light
PersonX does not buy a computer,PersonX buys a computer
PersonX does not drop a log,PersonX drops a log
PersonX is not much cheaper,PersonX is much cheaper
PersonX does not finally meet PersonY,PersonX finally meet PersonY
PersonX does not drop it on the floor,PersonX drops it on the floor
PersonX does not give PersonY name,PersonX gives PersonY name
PersonX did not finally work,PersonX finally worked
PersonX does not drop my phone,PersonX drops my phone
PersonX did not finally work up,PersonX finally worked up
PersonX does not give PersonY opinion,PersonX gives PersonY opinion
PersonX is not much more careful,PersonX is much more careful
PersonX did not finally work up the courage,PersonX finally worked up the courage
PersonX does not give PersonY relief,PersonX gives PersonY relief
PersonX does not buy a dog,PersonX buys a dog
PersonX is not n't interested in PersonY,PersonX is n't interested in PersonY
PersonX does not drop the phone,PersonX drops the phone
PersonX does not find PersonX's ball,PersonX finds PersonX's ball
PersonX does not give PersonY room,PersonX gives PersonY room
PersonX is not offered the job,PersonX is offered the job
PersonX does not duck PersonY's head,PersonX ducks PersonY's head
PersonX does not dye PersonX's hair blonde,PersonX dyes PersonX's hair blonde
PersonX does not find PersonX's car,PersonX finds PersonX's car
PersonX is not on PersonX's computer,PersonX is on PersonX's computer
PersonX does not give PersonY the courage,PersonX gives PersonY the courage
PersonX does not dye PersonX's hair blue,PersonX dyes PersonX's hair blue
PersonX does not give PersonY the impression,PersonX gives PersonY the impression
PersonX does not find PersonX's car keys,PersonX finds PersonX's car keys
PersonX does not dye PersonX's hair pink,PersonX dyes PersonX's hair pink
PersonX is not on PersonX's school's basketball team,PersonX is on PersonX's school's basketball team
PersonX does not give PersonY the name,PersonX gives PersonY the name
PersonX does not find PersonX's daughter,PersonX finds PersonX's daughter
PersonX does not give PersonY the slip,PersonX gives PersonY the slip
PersonX does not dye PersonX's hair red,PersonX dyes PersonX's hair red
PersonX is not on PersonY's school's basketball team,PersonX is on PersonY's school's basketball team
PersonX does not find PersonX's father,PersonX finds PersonX's father
PersonX does not dye PersonY's hair,PersonX dyes PersonY's hair
PersonX does not buy a house,PersonX buys a house
PersonX does not give PersonY warning,PersonX gives PersonY warning
PersonX is not on vacation in mexico,PersonX is on vacation in mexico
PersonX does not dye PersonY's hair blonde,PersonX dyes PersonY's hair blonde
PersonX does not give PersonY what-for,PersonX gives PersonY what-for
PersonX does not find PersonX's ring,PersonX finds PersonX's ring
PersonX does not buy a laptop,PersonX buys a laptop
PersonX does not give PersonY's name,PersonX gives PersonY's name
PersonX is not playing ball,PersonX is playing ball
PersonX does not give a presentation,PersonX gives a presentation
PersonX does not find PersonX's shoes,PersonX finds PersonX's shoes
PersonX does not buy a parrot,PersonX buys a parrot
PersonX does not dye PersonY's hair blue,PersonX dyes PersonY's hair blue
PersonX is not pretty happy,PersonX is pretty happy
PersonX does not find PersonY anywhere,PersonX finds PersonY anywhere
PersonX does not buy a snack,PersonX buys a snack
PersonX does not give a small smile,PersonX gives a small smile
PersonX does not dye PersonY's hair pink,PersonX dyes PersonY's hair pink
PersonX is not pulled over for speeding,PersonX is pulled over for speeding
PersonX does not buy a television,PersonX buys a television
PersonX does not find PersonY at home,PersonX finds PersonY at home
PersonX does not give bob,PersonX gives bob
PersonX does not dye PersonY's hair red,PersonX dyes PersonY's hair red
PersonX does not buy a used car,PersonX buys a used car
PersonX does not find PersonY explanation,PersonX finds PersonY explanation
PersonX is not rather excited,PersonX is rather excited
PersonX does not buy a used one,PersonX buys a used one
PersonX is not rather upset,PersonX is rather upset
PersonX does not earn PersonX's own money,PersonX earns PersonX's own money
PersonX does not give it PersonX's name,PersonX gives it PersonX's name
PersonX does not find PersonY's ball,PersonX finds PersonY's ball
PersonX does not buy cookies,PersonX buys cookies
PersonX does not earn PersonY income,PersonX earns PersonY income
PersonX does not give it PersonY,PersonX gives it PersonY
PersonX is not ready to go,PersonX is ready to go
PersonX does not find PersonY's car,PersonX finds PersonY's car
PersonX does not buy dog food,PersonX buys dog food
PersonX does not give it PersonY's name,PersonX gives it PersonY's name
PersonX does not earn money,PersonX earns money
PersonX is not ready to go home,PersonX is ready to go home
PersonX does not buy gas,PersonX buys gas
PersonX does not earn more money,PersonX earns more money
PersonX is not really disappointed,PersonX is really disappointed
PersonX does not earn some money,PersonX earns some money
PersonX does not buy one,PersonX buys one
PersonX does not find PersonY's car keys,PersonX finds PersonY's car keys
PersonX does not lick PersonY's balls,PersonX licks PersonY's balls
PersonX is not really sad,PersonX is really sad
PersonX does not give it a bath,PersonX gives it a bath
PersonX does not buy one anyway,PersonX buys one anyway
PersonX does not earn the money,PersonX earns the money
PersonX is not right next,PersonX is right next
PersonX does not give the children,PersonX gives the children
PersonX does not buy one for PersonY,PersonX buys one for PersonY
PersonX does not lift PersonY's arms,PersonX lifts PersonY's arms
PersonX does not give you PersonY account,PersonX gives you PersonY account
PersonX is not right next to PersonY,PersonX is right next to PersonY
"PersonX does not eat , drank","PersonX eats , drank"
PersonX does not lift PersonY's leg,PersonX lifts PersonY's leg
PersonX is not running down the street,PersonX is running down the street
PersonX does not buy the car,PersonX buys the car
PersonX does not give you PersonY opinion,PersonX gives you PersonY opinion
PersonX does not eat a hamburger,PersonX eats a hamburger
PersonX does not light PersonY,PersonX lights PersonY
PersonX does not buy the computer,PersonX buys the computer
PersonX is not selling lemonade,PersonX is selling lemonade
PersonX does not light a candle,PersonX lights a candle
PersonX does not eat crackers,PersonX eats crackers
PersonX is not short on money,PersonX is short on money
PersonX does not buy the house,PersonX buys the house
PersonX does not light another cigarette,PersonX lit another cigarette
PersonX does not eat everything,PersonX eats everything
PersonX does not call PersonX's best friend,PersonX calls PersonX's best friend
PersonX is not still angry,PersonX is still angry
PersonX does not like a girl,PersonX likes a girl
PersonX does not eat grass,PersonX eats grass
PersonX does not find PersonY's daughter,PersonX finds PersonY's daughter
PersonX does not call PersonX's son,PersonX calls PersonX's son
PersonX does not find PersonY's father,PersonX finds PersonY's father
PersonX does not like cheese,PersonX likes cheese
PersonX is not the best trip,PersonX is the best trip
PersonX does not eat it,PersonX eats it
PersonX does not call PersonX's work,PersonX calls PersonX's work
PersonX is not too much for PersonY,PersonX is too much for PersonY
PersonX does not like fish,PersonX likes fish
PersonX does not eat it quickly,PersonX eats it quickly
PersonX does not call PersonY ambulance,PersonX calls PersonY ambulance
PersonX does not eat less,PersonX eats less
PersonX does not like hiking,PersonX likes hiking
PersonX does not glare at PersonY,PersonX glares at PersonY
PersonX does not find PersonY's ring,PersonX finds PersonY's ring
PersonX does not eat oatmeal,PersonX eats oatmeal
PersonX does not call PersonY at work,PersonX calls PersonY at work
PersonX does not go about PersonX's work,PersonX goes about PersonX's work
PersonX does not like the movie,PersonX likes the movie
PersonX does not find PersonY's shoes,PersonX finds PersonY's shoes
PersonX does not call PersonY the next day,PersonX calls PersonY the next day
PersonX does not go down the drain,PersonX goes down the drain
PersonX does not find a gold ring,PersonX finds a gold ring
PersonX does not eat quickly,PersonX eats quickly
PersonX does not like to fish,PersonX likes to fish
PersonX is not twenty minutes late,PersonX is twenty minutes late
PersonX does not go down the pan,PersonX goes down the pan
PersonX does not eat the whole thing,PersonX eats the whole thing
PersonX does not like to travel,PersonX likes to travel
PersonX is not waiting for PersonY,PersonX is waiting for PersonY
PersonX does not find a good deal,PersonX finds a good deal
PersonX does not call PersonY this morning,PersonX calls PersonY this morning
PersonX does not go down the toilet,PersonX goes down the toilet
PersonX does not find a good job,PersonX finds a good job
PersonX is not walking across the street,PersonX is walking across the street
PersonX does not call PersonY's son,PersonX calls PersonY's son
PersonX does not live next door,PersonX lives next door
PersonX does not go down the tubes,PersonX goes down the tubes
PersonX does not find a good one,PersonX finds a good one
PersonX is not walking along the beach,PersonX is walking along the beach
PersonX does not call PersonY's work,PersonX calls PersonY's work
PersonX does not find a good place,PersonX finds a good place
PersonX does not live side by side,PersonX lives side by side
PersonX does not go downhill,PersonX goes downhill
PersonX does not call a shovel a shovel,PersonX calls a shovel a shovel
PersonX does not find a good spot,PersonX finds a good spot
PersonX does not look PersonY in the face,PersonX looks PersonY in the face
PersonX is not walking down the street,PersonX is walking down the street
PersonX does not look PersonY's way,PersonX looks PersonY's way
PersonX does not find a hole,PersonX finds a hole
PersonX does not call an ambulance,PersonX calls an ambulance
PersonX does not look angry,PersonX looks angry
PersonX does not find a pay phone,PersonX finds a pay phone
PersonX is not walking on the beach,PersonX is walking on the beach
PersonX does not call around,PersonX calls around
PersonX does not nurse PersonY back,PersonX nurses PersonY back
PersonX does not call for PersonY,PersonX calls for PersonY
PersonX does not look as if PersonX has lost a shilling and found sixpence,PersonX looks as if PersonX has lost a shilling and found sixpence
PersonX is not walking to the store,PersonX is walking to the store
PersonX does not find a ring,PersonX finds a ring
PersonX does not look at PersonY like that,PersonX looks at PersonY like that
PersonX does not call the ambulance,PersonX calls the ambulance
PersonX is not watching a scary movie,PersonX is watching a scary movie
PersonX does not nurse PersonY back to health,PersonX nurses PersonY back to health
PersonX does not call the fire department,PersonX calls the fire department
PersonX is not well prepared,PersonX is well prepared
PersonX does not find another,PersonX finds another
PersonX does not nurse it back to health,PersonX nurses it back to health
PersonX does not look at PersonY's face,PersonX looks at PersonY's face
PersonX does not camp with PersonX's family,PersonX camps with PersonX's family
PersonX does not offer PersonY opinion,PersonX offer PersonY opinion
PersonX does not look awful,PersonX looks awful
PersonX does not find another gear,PersonX finds another gear
PersonX is not working at a diner,PersonX is working at a diner
PersonX does not camp with PersonY's family,PersonX camps with PersonY's family
PersonX does not offer to teach PersonY,PersonX offer to teach PersonY
PersonX does not go exploring,PersonX goes exploring
PersonX does not look better,PersonX looks better
PersonX did not often go,PersonX often went
PersonX does not go first,PersonX goes first
PersonX does not find another job,PersonX finds another job
PersonX can not care less,PersonX can care less
PersonX does not join a gym,PersonX joins a gym
PersonX does not go from zero to hero,PersonX goes from zero to hero
PersonX does not open PersonX's doors,PersonX opens PersonX's doors
PersonX does not find another place,PersonX finds another place
PersonX does not join the swim team,PersonX joins the swim team
PersonX does not go golfing,PersonX goes golfing
PersonX does not open PersonX's legs,PersonX opens PersonX's legs
PersonX does not find another way,PersonX finds another way
PersonX does not look both ways,PersonX looks both ways
PersonX does not go in PersonX ear and out the other,PersonX goes in PersonX ear and out the other
PersonX does not jump before PersonX is pushed,PersonX jumps before PersonX is pushed
PersonX does not look different,PersonX looks different
PersonX does not open PersonY's doors,PersonX opens PersonY's doors
PersonX does not jump ship,PersonX jumps ship
PersonX does not go on with PersonX's work,PersonX goes on with PersonX's work
PersonX does not go rock climbing,PersonX goes rock climbing
PersonX does not open PersonY's legs,PersonX opens PersonY's legs
PersonX does not find gold,PersonX finds gold
PersonX does not look in PersonX's cupboard,PersonX looks in PersonX's cupboard
PersonX does not jump the shark,PersonX jumps the shark
PersonX does not find it anywhere,PersonX finds it anywhere
PersonX does not go scuba diving,PersonX goes scuba diving
PersonX does not jump to conclusions,PersonX jumps to conclusions
PersonX does not open doors,PersonX opens doors
PersonX does not look in PersonY's cupboard,PersonX looks in PersonY's cupboard
PersonX does not look in the pantry,PersonX looks in the pantry
PersonX does not justify PersonX's actions,PersonX justifies PersonX's actions
PersonX does not open the doors,PersonX opens the doors
PersonX does not find the ring,PersonX finds the ring
PersonX does not justify PersonY's existence,PersonX justifies PersonY's existence
PersonX does not open the lid,PersonX opens the lid
PersonX does not look into PersonY's face,PersonX looks into PersonY's face
PersonX does not cast PersonY's eyes,PersonX casts PersonY's eyes
PersonX does not find the shoes,PersonX finds the shoes
PersonX does not keep PersonX's fingers crossed,PersonX keeps PersonX's fingers crossed
PersonX does not look like,PersonX looks like
PersonX does not find what PersonY wanted,PersonX finds what PersonY wanted
PersonX does not keep PersonY from starving,PersonX keeps PersonY from starving
PersonX does not look like PersonY,PersonX looks like PersonY
PersonX does not finish PersonX's test,PersonX finishes PersonX's test
PersonX does not keep a straight face,PersonX keeps a straight face
PersonX does not go to PersonY's place,PersonX goes to PersonY's place
PersonX does not look like a PersonY,PersonX looks like a PersonY
PersonX does not finish PersonY's homework,PersonX finishes PersonY's homework
PersonX does not go to a doctor's appointment,PersonX goes to a doctor's appointment
PersonX does not look like a fool,PersonX looks like a fool
PersonX does not represent PersonX's country,PersonX represents PersonX's country
PersonX does not keep straight,PersonX keeps straight
PersonX does not finish PersonY's meal,PersonX finishes PersonY's meal
PersonX does not operate in PersonY environment,PersonX operates in PersonY environment
PersonX does not go to bed early,PersonX goes to bed early
PersonX does not keep the peace,PersonX keeps the peace
PersonX does not represent PersonY increase,PersonX represents PersonY increase
PersonX does not look like a man,PersonX looks like a man
PersonX does not reschedule PersonX's appointment,PersonX reschedules PersonX's appointment
PersonX does not order a cake,PersonX orders a cake
PersonX does not finish shopping,PersonX finishes shopping
PersonX does not look like a tourist,PersonX looks like a tourist
PersonX does not go to class the next day,PersonX goes to class the next day
PersonX does not kiss PersonY cheek,PersonX kisses PersonY cheek
PersonX does not go to the doctor's office,PersonX goes to the doctor's office
PersonX does not reschedule PersonY's appointment,PersonX reschedules PersonY's appointment
PersonX does not order delivery food,PersonX orders delivery food
PersonX does not finish the job,PersonX finishes the job
PersonX does not kiss PersonY gently,PersonX kisses PersonY gently
PersonX does not look like a woman,PersonX looks like a woman
PersonX does not look like an idiot,PersonX looks like an idiot
PersonX does not rest PersonY's chin,PersonX rests PersonY's chin
PersonX does not kiss PersonY on the cheek,PersonX kisses PersonY on the cheek
PersonX does not go to the doctor for a checkup,PersonX goes to the doctor for a checkup
PersonX does not finish the test,PersonX finishes the test
PersonX does not go to the doctor for help,PersonX goes to the doctor for help
PersonX does not rest on PersonX's laurels,PersonX rests on PersonX's laurels
PersonX does not kiss PersonY's cheek,PersonX kisses PersonY's cheek
PersonX does not order one,PersonX orders one
PersonX does not look like crap,PersonX looks like crap
PersonX does not go to the library to study,PersonX goes to the library to study
PersonX does not rest on PersonY's shoulder,PersonX rests on PersonY's shoulder
PersonX does not overflow PersonY's banks,PersonX overflows PersonY's banks
PersonX does not look like figure,PersonX looks like figure
PersonX does not fit PersonX's needs,PersonX fits PersonX's needs
PersonX does not kiss PersonY's feet,PersonX kisses PersonY's feet
PersonX does not look like fun,PersonX looks like fun
PersonX does not go to the post office,PersonX goes to the post office
PersonX does not own a dog,PersonX owns a dog
PersonX does not fit PersonY's needs,PersonX fits PersonY's needs
PersonX does not retain PersonX's position,PersonX retains PersonX's position
PersonX does not kiss PersonY's ring,PersonX kisses PersonY's ring
PersonX does not look like hell,PersonX looks like hell
PersonX does not go to the sporting goods store,PersonX goes to the sporting goods store
PersonX does not pace back and forth,PersonX paces back and forth
PersonX does not return it to PersonY,PersonX returns it to PersonY
PersonX does not kiss PersonY's way,PersonX kisses PersonY's way
PersonX does not look like men,PersonX looks like men
PersonX does not pack PersonY's bags,PersonX packs PersonY's bags
PersonX does not return the next day,PersonX returns the next day
PersonX does not go to work in the morning,PersonX goes to work in the morning
PersonX does not fix it for PersonY,PersonX fixes it for PersonY
PersonX does not knit PersonX's eyebrows,PersonX knits PersonX's eyebrows
PersonX does not flee the scene,PersonX flees the scene
PersonX does not go to work the next day,PersonX goes to work the next day
PersonX does not return to PersonX's state,PersonX returns to PersonX's state
PersonX does not look like new,PersonX looks like new
PersonX does not pack heat,PersonX packs heat
PersonX does not knock PersonY over,PersonX knocks PersonY over
PersonX does not pack my bags,PersonX packs my bags
PersonX does not go to work today,PersonX goes to work today
PersonX does not knock PersonY's socks off,PersonX knocks PersonY's socks off
PersonX does not paint the town red,PersonX paints the town red
PersonX does not rid PersonY's bikes,PersonX rides PersonY's bikes
PersonX does not go white water rafting,PersonX goes white water rafting
PersonX does not pass PersonX's exam,PersonX passes PersonX's exam
PersonX does not know PersonY,PersonX knows PersonY
PersonX does not fly across the room,PersonX flies across the room
PersonX does not go work,PersonX goes work
PersonX does not pass PersonY's lips,PersonX passes PersonY's lips
PersonX does not know PersonY from a can of paint,PersonX knows PersonY from a can of paint
PersonX does not rid bikes,PersonX rides bikes
PersonX does not look like someone,PersonX looks like someone
PersonX does not fly towards PersonY,PersonX flies towards PersonY
PersonX does not pass around PersonY,PersonX passes around PersonY
PersonX did not grab PersonX's gun,PersonX grabs PersonX's gun
PersonX does not know PersonY name,PersonX knows PersonY name
PersonX does not rid every ride,PersonX rides every ride
PersonX does not pass gas,PersonX passes gas
PersonX does not grab PersonY by the hair,PersonX grabs PersonY by the hair
PersonX does not pass the exam,PersonX passes the exam
PersonX does not follow PersonX's instructions,PersonX follows PersonX's instructions
PersonX does not know PersonY's name,PersonX knows PersonY's name
PersonX does not look like something,PersonX looks like something
PersonX did not passionately ruck PersonY,PersonX passionately rucked PersonY
PersonX did not grab PersonY's gun,PersonX grabs PersonY's gun
PersonX does not look like was going,PersonX looks like was going
PersonX does not pat PersonY on the head,PersonX pats PersonY on the head
PersonX did not grab PersonY's hair,PersonX grabs PersonY's hair
PersonX does not pat PersonY's head,PersonX pats PersonY's head
PersonX does not know PersonY's opinion,PersonX knows PersonY's opinion
PersonX does not look on PersonY's face,PersonX looks on PersonY's face
PersonX does not rid on a rail,PersonX rides on a rail
PersonX does not follow PersonY's instructions,PersonX follows PersonY's instructions
PersonX did not grab PersonY's keys,PersonX grabs PersonY's keys
PersonX does not know by PersonY's name,PersonX knows by PersonY's name
PersonX does not look sad,PersonX looks sad
PersonX does not pay PersonX's taxes,PersonX pays PersonX's taxes
PersonX does not look the other way,PersonX looks the other way
PersonX does not ring hollow,PersonX rings hollow
PersonX does not pay PersonY taxes,PersonX pays PersonY taxes
PersonX does not grab a gun,PersonX grabs a gun
PersonX does not lose 100 pounds,PersonX loses 100 pounds
PersonX does not follow a recipe,PersonX follows a recipe
PersonX does not pay PersonY well,PersonX pays PersonY well
PersonX does not rise to the challenge,PersonX rises to the challenge
PersonX does not know how to dance,PersonX knows how to dance
PersonX does not lose PersonX's sense,PersonX loses PersonX's sense
PersonX does not follow the instructions,PersonX follows the instructions
PersonX did not grab a towel,PersonX grabs a towel
PersonX does not know much,PersonX knows much
PersonX does not lose PersonX's sight,PersonX loses PersonX's sight
PersonX does not pay taxes,PersonX pays taxes
PersonX does not grant PersonY request,PersonX grants PersonY request
PersonX does not follow the recipe,PersonX follows the recipe
PersonX does not pay very well,PersonX pays very well
PersonX does not lose PersonY,PersonX loses PersonY
PersonX does not romp home,PersonX romps home
PersonX does not grant PersonY's request,PersonX grants PersonY's request
PersonX does not pay well,PersonX pays well
PersonX does not lose PersonY temper,PersonX loses PersonY temper
PersonX does not know much about PersonY,PersonX knows much about PersonY
PersonX does not peer inside,PersonX peers inside
PersonX does not grind PersonY for a week,PersonX grinds PersonY for a week
PersonX does not lose PersonY's dog,PersonX loses PersonY's dog
PersonX does not know no bounds,PersonX knows no bounds
PersonX does not root for PersonY,PersonX roots for PersonY
PersonX does not perform PersonY analysis,PersonX performs PersonY analysis
PersonX does not run errands,PersonX runs errands
PersonX does not lose PersonY's temper,PersonX loses PersonY's temper
PersonX does not know which end is up,PersonX knows which end is up
PersonX does not pick blueberries,PersonX picks blueberries
PersonX does not lose PersonY's wallet,PersonX loses PersonY's wallet
PersonX does not land a job,PersonX lands a job
PersonX does not run for class president,PersonX runs for class president
PersonX does not grind for a week,PersonX grinds for a week
PersonX does not follow the recipe exactly,PersonX follows the recipe exactly
PersonX does not land on PersonX's leg,PersonX lands on PersonX's leg
PersonX does not pick last,PersonX picks last
PersonX does not lose sight of PersonY,PersonX loses sight of PersonY
PersonX does not run full speed,PersonX runs full speed
PersonX does not hail a taxi,PersonX hails a taxi
PersonX does not force PersonY's way,PersonX forces PersonY's way
PersonX does not land on PersonY's leg,PersonX lands on PersonY's leg
PersonX does not pick up PersonY,PersonX picks up PersonY
PersonX does not lose thirty pounds,PersonX loses thirty pounds
PersonX does not run laps,PersonX runs laps
PersonX does not ham it up,PersonX hams it up
PersonX does not land safely,PersonX lands safely
PersonX does not lose track of the time,PersonX loses track of the time
PersonX does not pierce PersonX's ears,PersonX pierces PersonX's ears
PersonX does not forget PersonY's wallet,PersonX forgets PersonY's wallet
PersonX does not run right,PersonX runs right
PersonX does not pierce PersonY's ears,PersonX pierces PersonY's ears
PersonX does not lose track of time,PersonX loses track of time
PersonX does not land the job,PersonX lands the job
PersonX does not forget my wallet,PersonX forgets my wallet
PersonX does not run some errands,PersonX runs some errands
PersonX does not forget the milk,PersonX forgets the milk
PersonX does not last all day,PersonX lasts all day
PersonX does not hand PersonY a glass,PersonX hands PersonY a glass
PersonX does not run straight,PersonX runs straight
PersonX does not lose twenty pounds,PersonX loses twenty pounds
PersonX does not hang PersonX's clothes,PersonX hangs PersonX's clothes
PersonX does not rush to school,PersonX rushes to school
PersonX does not love PersonX's dog,PersonX loves PersonX's dog
PersonX does not form PersonX's opinion,PersonX forms PersonX's opinion
PersonX does not last forever,PersonX lasts forever
PersonX does not piss money up the wall,PersonX pisses money up the wall
PersonX does not hang PersonY,PersonX hangs PersonY
PersonX does not form PersonY impression,PersonX forms PersonY impression
PersonX does not love PersonX's work,PersonX loves PersonX's work
PersonX does not save PersonX's breath,PersonX saves PersonX's breath
PersonX does not love PersonY more than anything,PersonX loves PersonY more than anything
PersonX does not form PersonY opinion,PersonX forms PersonY opinion
PersonX does not hang PersonY's clothes,PersonX hangs PersonY's clothes
PersonX does not laugh PersonY's asses,PersonX laughs PersonY's asses
PersonX does not love PersonY with all my heart,PersonX loves PersonY with all my heart
PersonX does not form PersonY opinion as,PersonX forms PersonY opinion as
PersonX does not piss up a rope,PersonX pisses up a rope
PersonX does not laugh PersonY's asses off,PersonX laughs PersonY's asses off
PersonX does not hang PersonY's head,PersonX hangs PersonY's head
PersonX does not love PersonY's dog,PersonX loves PersonY's dog
PersonX does not save PersonX's people,PersonX saves PersonX's people
PersonX does not have PersonX's fingers in many pies,PersonX has PersonX's fingers in many pies
PersonX does not plan PersonX's trip,PersonX plans PersonX's trip
PersonX does not form a band,PersonX forms a band
PersonX does not plan a trip,PersonX plans a trip
PersonX does not plan the trip,PersonX plans the trip
PersonX does not have a baby girl,PersonX has a baby girl
PersonX does not french kiss,PersonX french kisses
PersonX does not save PersonY's people,PersonX saves PersonY's people
PersonX does not have a bad feeling,PersonX has a bad feeling
PersonX does not love PersonY's work,PersonX loves PersonY's work
PersonX does not play PersonX's favorite game,PersonX plays PersonX's favorite game
PersonX does not say PersonY nay,PersonX says PersonY nay
PersonX does not laugh at PersonX,PersonX laughs at PersonX
PersonX does not have a dinner party,PersonX has a dinner party
PersonX does not fudge the issue,PersonX fudges the issue
PersonX does not love cake,PersonX loves cake
PersonX does not have a dream last night,PersonX has a dream last night
PersonX does not play PersonX's favorite song,PersonX plays PersonX's favorite song
PersonX does not say PersonY's goodbyes,PersonX says PersonY's goodbyes
PersonX does not love football,PersonX loves football
PersonX does not gain PersonY appreciation,PersonX gains PersonY appreciation
PersonX does not have a fear of heights,PersonX has a fear of heights
PersonX does not laugh at PersonY,PersonX laughs at PersonY
PersonX does not have a fit,PersonX has a fit
PersonX does not love meat,PersonX loves meat
PersonX does not play PersonX's favorite songs,PersonX plays PersonX's favorite songs
PersonX does not gain PersonY's confidence,PersonX gains PersonY's confidence
PersonX does not say goodnight,PersonX says goodnight
PersonX does not gain confidence,PersonX gains confidence
PersonX does not play PersonX's new game,PersonX plays PersonX's new game
PersonX does not love reading,PersonX loves reading
PersonX does not say grace,PersonX says grace
PersonX does not have a laugh,PersonX has a laugh
PersonX does not gather all the ingredients,PersonX gathers all the ingredients
PersonX does not love reading books,PersonX loves reading books
PersonX does not play PersonY's favorite song,PersonX plays PersonY's favorite song
PersonX does not say in PersonX's heart,PersonX says in PersonX's heart
PersonX does not have a long way to go,PersonX has a long way to go
PersonX does not love riding PersonX's bike,PersonX loves riding PersonX's bike
PersonX does not gather the ingredients,PersonX gathers the ingredients
PersonX does not play PersonY's favorite songs,PersonX plays PersonY's favorite songs
PersonX does not say sure,PersonX says sure
PersonX does not gaze upon PersonY,PersonX gazes upon PersonY
PersonX does not love riding PersonY's bike,PersonX loves riding PersonY's bike
PersonX does not have a lot of money,PersonX has a lot of money
PersonX does not play PersonY's new game,PersonX plays PersonY's new game
PersonX does not say would prefer,PersonX says would prefer
PersonX does not have a new car,PersonX has a new car
PersonX does not get PersonX's belly button pierced,PersonX gets PersonX's belly button pierced
PersonX does not play a new game,PersonX plays a new game
PersonX does not get PersonX's dad,PersonX gets PersonX's dad
PersonX does not have a new toy,PersonX has a new toy
PersonX does not score two goals,PersonX scores two goals
PersonX does not have a nice dinner,PersonX has a nice dinner
PersonX does not love shoes,PersonX loves shoes
PersonX does not play a new instrument,PersonX plays a new instrument
PersonX does not get PersonX's feet wet,PersonX gets PersonX's feet wet
PersonX does not lay PersonY on the bed,PersonX lays PersonY on the bed
PersonX does not have a say,PersonX has a say
PersonX does not love sweets,PersonX loves sweets
PersonX does not scramble eggs,PersonX scrambles eggs
PersonX does not lay in PersonY's bed,PersonX lays in PersonY's bed
PersonX does not love the cake,PersonX loves the cake
PersonX does not have a test tomorrow,PersonX has a test tomorrow
PersonX does not get PersonX's foot in the door,PersonX gets PersonX's foot in the door
PersonX does not scramble eggs for breakfast,PersonX scrambles eggs for breakfast
PersonX does not lay on PersonY's bed,PersonX lays on PersonY's bed
PersonX does not play dodgeball,PersonX plays dodgeball
PersonX does not love the dog,PersonX loves the dog
PersonX does not have a wonderful time,PersonX has a wonderful time
PersonX does not scratch the surface,PersonX scratches the surface
PersonX does not get PersonX's hands dirty,PersonX gets PersonX's hands dirty
PersonX does not lay on top of PersonY,PersonX lays on top of PersonY
PersonX does not love the experience,PersonX loves the experience
PersonX does not play hardball,PersonX plays hardball
PersonX does not get PersonX's juices flowing,PersonX gets PersonX's juices flowing
PersonX does not have a wonderful time on PersonX's trip,PersonX has a wonderful time on PersonX's trip
PersonX does not scream bloody murder,PersonX screams bloody murder
PersonX does not get PersonX's makeup done,PersonX gets PersonX's makeup done
PersonX does not love the meal,PersonX loves the meal
PersonX does not play hockey,PersonX plays hockey
PersonX does not have a wonderful trip,PersonX has a wonderful trip
PersonX does not lead PersonY,PersonX leads PersonY
PersonX does not get PersonX's mother,PersonX gets PersonX's mother
PersonX does not play laser tag,PersonX plays laser tag
PersonX does not love the world gave,PersonX loves the world gave
PersonX has not always made good grades,PersonX has always made good grades
PersonX does not get PersonX's nails done,PersonX gets PersonX's nails done
PersonX does not play lots of games,PersonX plays lots of games
PersonX does not lead PersonY expedition,PersonX leads PersonY expedition
PersonX does not get PersonX's shorts in a knot,PersonX gets PersonX's shorts in a knot
PersonX does not have an amazing time,PersonX has an amazing time
PersonX does not play many games,PersonX plays many games
PersonX does not lead PersonY into temptation,PersonX leads PersonY into temptation
PersonX does not get PersonY hands on,PersonX gets PersonY hands on
PersonX does not have an important job interview,PersonX has an important job interview
PersonX does not search for a job,PersonX searches for a job
PersonX does not seek PersonY answer,PersonX seeks PersonY answer
PersonX does not have anger problems,PersonX has anger problems
PersonX did not lean back in PersonX's chair,PersonX leaned back in PersonX's chair
PersonX does not love to garden,PersonX loves to garden
PersonX does not play many sports,PersonX plays many sports
