event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX cannot find PersonY's car.,"[""none"", ""Person Y does not have a way to get to work"", ""Person Y has to take the bus""]",[],"[""none"", ""find the car"", ""worry about PersonX""]","[""forgetful"", ""lax"", ""distracted"", ""slack"", ""irresponsible""]","[""none"", ""Person X assumes Person Y's car was stolen"", ""Person X remembers where he parked Person Y's car""]",[],"[""none"", ""know PersonY has a car"", ""travels with PersonY's car""]",[],"[""to do more searching"", ""call for help"", ""searches the entire parking lot"", ""pushes the buttons on the key fob"", ""gives up an walks home""]",tst,PersonX finds PersonY's car
PersonX cannot locate PersonY's shoes.,"[""fidgets back and forth"", ""cries"", ""gets nervous"", ""becomes mad about PersonX""]",[],"[""for PersonX to keep looking"", ""to try and remember where they left their shoes"", ""to feel embarrassed"", ""to look thank personx""]","[""forgetful"", ""confused"", ""irresponsible""]","[""gets scolded"", ""gets slapped"", ""gets frustrated"", ""stresses about being blamed by PersonY""]",[],"[""to know PersonY needs their shoes"", ""to look for PersonY's shoes"", ""none""]",[],"[""to keep looking"", ""to find the shoes"", ""to help persony find his/her shoes"", ""to tell persony to be more careful""]",tst,PersonX finds PersonY's shoes
PersonY does not notice PersonX.,"[""they are nagged"", ""they are scolded"", ""none""]","[""ignorant"", ""oblivious"", ""like they missed personX"", ""Like they wanted to see them"", ""none""]","[""Greet personX"", ""apologize for not noticing PersonX"", ""none"", ""they make a small talk"", ""and then they talk their job""]","[""doesn't stand out"", ""looks like everyone else"", ""distracted"", ""unobservant""]","[""none"", ""gives little effort"", ""calms down""]","[""none""]","[""none"", ""saw PersonY's walking in the other side of the street"", ""shout out PersonY's name""]","[""unloved"", ""unwanted"", ""unnoticed"", ""like personY isn't paying attention"", ""unhappy"", ""embarrassed""]","[""wave to get PersonY's attention"", ""speak to personY"", ""to call person y"", ""talk with him"", ""to walk across the street"", ""to talk to PersonY""]",tst,PersonX catches PersonY attention
PersonX does not cranes PersonY's neck,"[""is straight"", ""not craned"", ""none""]","[""In pain"", ""like PersonX is unhelpful"", ""none""]","[""none""]","[""worried"", ""causious"", ""uncurious"", ""behaving normally""]","[""none""]","[""to not deal with them"", ""to worry about themselves"", ""none""]","[""none"", ""to meet person y"", ""to touch person y's neck""]","[""not worried"", ""like there's bigger things to worry about"", ""content"", ""satisfied"", ""I am not sure""]","[""not mess with y"", ""friends with y"", ""to crane his neck"", ""to see person y's preferences"", ""to heal the pain"", ""to visit the doctor""]",tst,PersonX cranes PersonY's neck
PersonX cannot figure it out.,"[""none""]","[""none""]","[""none""]","[""confused"", ""helpless"", ""lost"", ""stupid""]","[""get frustrated"", ""loses confidence"", ""stresses over problem"", ""worries over issue""]","[""none""]","[""none"", ""to complete the project"", ""to clean the room""]","[""confused"", ""undecided"", ""flummoxed"", ""frustrated"", ""angry""]","[""ask for help"", ""find the solution"", ""to drink coffee"", ""to to relax"", ""to think harder"", ""ask another person for help""]",tst,PersonX draws PersonX's conclusions
PersonX was not able to cut the swath.,"[""none""]","[""annoyed that they couldn't do the job"", ""weak that they can't do it right"", ""none""]","[""none""]","[""weak"", ""failing"", ""bashful"", ""restrained""]","[""gets insulted"", ""gets some help"", ""frowns"", ""sighs""]","[""to break the swath"", ""to complete the task, but can't"", ""none"", ""TO DO IT SOMETHING""]","[""to cook food"", ""to wash the dishes"", ""none""]","[""disappointed"", ""frustrated"", ""like they need to try harder"", ""like they need better scissors"", ""NOT SATISFIED"", ""TIRED""]","[""to take a good sleep"", ""to prepare the bed"", ""to find something sharper to cut with"", ""to sharpen what they are cutting with"", ""enjoy the day"", ""confuse""]",tst,PersonX cuts a swath
PersonX's boss doesn't call when they are late,"[""none"", ""the boss gets in trouble by their boss"", ""the boss misses a meeting""]",[],"[""none""]","[""irresponsible"", ""unimportant"", ""controlled"", ""subornidate""]","[""none""]",[],"[""to go to work"", ""to enter the work building"", ""none""]",[],"[""to wonder where the boss is"", ""to do their work"", ""to tell their boss to call when they are late"", ""to find a job with a new boss""]",tst,PersonX gets a call from PersonX's boss
PersonX doesn't finish their work.,"[""none""]",[],"[""none""]","[""lacks follow through"", ""lazy"", ""incompetent"", ""inept""]","[""gets an f in person x class"", ""gets scolded by parent"", ""gets reprimanded"", ""gets fired""]",[],"[""none"", ""plan for work"", ""see a good comeback""]",[],"[""to just go home"", ""to leave early"", ""make some decision"", ""to be rest""]",tst,PersonX works fine
PersonX does not have a bike,"[""none""]",[],"[""none""]","[""wanting"", ""pedestrian"", ""lazy"", ""broke""]","[""has to walk home"", ""can't ride with his friends who do have bikes"", ""stays rested"", ""gives little effort""]",[],"[""none""]",[],"[""to go to wedding"", ""borrow bike"", ""to get a bike"", ""to get something else like roller blades""]",tst,PersonX loves riding PersonX's bike
PersonX doesn't share PersonX's experience,"[""none""]",[],"[""none"", ""watch a movie, to have fun"", ""to yell at PersonX, to cry, to stop being friends with PersonX"", ""pester for information"", ""ask other people for experience""]","[""secretive"", ""quiet"", ""inept"", ""unsure""]","[""none"", ""Asked to be more vocal with the group"", ""Teased for being shy""]",[],"[""to be in a new place"", ""to get new experience"", ""to have some kind of experience"", ""decide to keep the experience to himself"", ""find PersonY"", ""grab PersonY"", ""have an experience worthy of sharing"", ""be around people the experience could potentially be shared with"", ""become nervous"", ""have an experience""]",[],"[""to write a book"", ""to sell the book"", ""spend some time alone"", ""think about his experience"", ""to snap at PersonX"", ""to go back to sleep"", ""tell at least one person to stop from going crazy"", ""come up with reasons to not share"", ""to keep to themselves"", ""avoid any socializing"", ""change the topic""]",tst,PersonX shares PersonX's experience
PersonX doesn't find PersonY funny.,"[""none""]",[],"[""to leave the company of personX"", ""to avoid person X in the future"", ""none""]","[""exacting"", ""staid"", ""unmoved"", ""duscouraged""]","[""becomes akward from person y"", ""becomes speechless as a result"", ""not in good mood"", ""may get angry on him""]",[],"[""none""]",[],"[""to frown"", ""tell person Y his opinion"", ""to tell them so"", ""to teach them how to""]",tst,PersonX laughs at PersonY
PersonY's parents do not believe PersonX.,"[""none""]","[""content"", ""indifferent"", ""unhappy"", ""irritated"", ""not sure they trust personX"", ""defensive"", ""sad""]","[""none""]","[""untrustworthy"", ""incredible"", ""unconvincing"", ""inarticulate""]","[""asks for help from friends"", ""gets grounded"", ""doesn't get to go to movies"", ""gets bored at home""]","[""none""]","[""none"", ""to meet person y"", ""to talk with person y""]","[""upset"", ""embarrassed"", ""terrible"", ""dejected"", ""sorry he is not believed"", ""unhappy about the situation"", ""unaccepted"", ""shy""]","[""convince y parents"", ""tell what happened to y parents"", ""to relax"", ""to go out"", ""to leave it that freely"", ""to believe in him""]",tst,PersonX convinces PersonY's parents
PersonX doesn't know what PersonY's opinion is,"[""none""]",[],"[""there is no action"", ""give their opinion"", ""be consulted""]","[""curious"", ""wondering"", ""uncertain"", ""unintuitive""]","[""an inquiry takes place"", ""wondering"", ""never had a conversation"", ""not understand him well""]",[],"[""none""]",[],"[""there is no action"", ""talk to personY"", ""ask peronsY questions""]",tst,PersonX knows PersonY's opinion
PersonX doesn't transmit in PersonY's form,"[""none""]",[],"[""to sit down and cry"", ""to yell at PersonX"", ""none""]","[""forgetful"", ""unfocused"", ""incompetant"", ""useless""]","[""reprimanded"", ""disciplined"", ""none""]",[],"[""to be asked to transmit something for PersonY"", ""to forget he needed to transmit something for PersonY"", ""none""]",[],"[""to apologize to PersonY"", ""to contact the person who he was supposed to send it to"", ""to figure it out"", ""to say thank you""]",tst,PersonX transmits in PersonY form
PersonX doesn't wear any jewelry,"[""none""]",[],"[""none""]","[""simple"", ""plain"", ""destitute"", ""impoverished""]","[""is hit on"", ""is propositioned"", ""none""]",[],"[""none""]",[],"[""buy jewelry"", ""go shopping""]",tst,PersonX gets PersonX's belly button pierced
PersonX has not seen PersonX's day,"[""none""]",[],"[""none""]","[""sleeping"", ""avoiding waking"", ""tired"", ""weary""]","[""none"", ""is woken up by noise"", ""gets called to breakfast""]",[],"[""none""]",[],"[""Find out what they have to do today"", ""look at their calendar"", ""to go and find out what the day is"", ""to find out if others have seen the day possibly"", ""Keep looking"", ""Watch out""]",tst,PersonX has seen PersonX's day
Person X doesn't try very hard,"[""none""]",[],"[""none""]","[""lazy"", ""tired of trying"", ""unmotivated"", ""unconcerned""]","[""loses the contest"", ""gets fired"", ""becomes lazy"", ""fails a class"", ""looses a job""]",[],"[""none""]",[],"[""to do better"", ""to stop being lazy""]",tst,PersonX gives PersonX's all
PersonX doesn't understand PersonY's nature,"[""Questioned by personX"", ""Told to be more straightforward"", ""none""]",[],"[""none""]","[""aloof"", ""self-centered"", ""dense"", ""thick""]","[""none"", ""they are murdered"", ""they are mutilated""]",[],"[""none""]",[],"[""PersonX help personY"", ""PersonY thank personX"", ""to see if Y is serious"", ""to find out what makes Y tick""]",tst,PersonX understands PersonY's nature
PersonY doesn't apologize to PersonX,"[""none"", ""fumes"", ""cries""]","[""none"", ""like their feelings are known"", ""disgruntled""]","[""none"", ""to storm away"", ""to yell at PersonX"", ""to get mad at PersonX"", ""to leave""]","[""rude"", ""insensitive"", ""careless"", ""angry""]","[""gets the cold shoulder"", ""is dismissed"", ""gets yelled at by PersonY"", ""gets the silent treatment from PersonY""]","[""none""]","[""none"", ""to do something bad to PersonY"", ""to hurt PersonY"", ""to upset PersonY"", ""to be mean to PersonY""]","[""betrayed"", ""hurt"", ""surprised"", ""ashamed"", ""nervous"", ""upset"", ""like personY doesn't care""]","[""he had a self respect"", ""he hate the person"", ""to feel for him"", ""leave it alone"", ""to leave"", ""to be mean to PersonY"", ""to get angry"", ""to storm away""]",tst,PersonX accepts PersonY's apology
PersonX doesn't know PersonX's father,"[""none""]",[],"[""get a work done"", ""take rest"", ""introduce their father"", ""avoid introducing the family""]","[""abandoned"", ""alone"", ""Strange"", ""Enthusiastic""]","[""none"", ""introduce his to x's father"", ""welcome to their home""]",[],"[""plan a meeting"", ""get a friends meet"", ""none""]",[],"[""make a decision"", ""know each other"", ""meet personX's father"", ""avoid meeting new people""]",tst,PersonX meets PersonX's father
PersonX doesn't hear from PersonY,"[""none"", ""person y scolded person x"", ""person y screamed on person x""]",[],"[""none"", ""to explain to PersonX what happened"", ""apologize for the neglect""]","[""depressed to not hear from PersonY"", ""despondent"", ""lonely"", ""unsure""]","[""none"", ""person x hearing the music"", ""person x never mind about person y"", ""person x is a deaf""]",[],"[""none""]",[],"[""to decide on own"", ""to be confident"", ""to reach out to PersonY"", ""to hear an explanation""]",tst,PersonX hears from PersonY
Personx doesn't crane PersonY's neck,"[""none""]","[""mourned"", ""feel unhappy"", ""worried"", ""sad"", ""none""]","[""none""]","[""useless"", ""calm"", ""nice"", ""respectful""]","[""none""]","[""to be sad"", ""to get a feel"", ""to do work"", ""none""]","[""to look at person y's neck"", ""to stretch person y's neck"", ""none""]","[""nervous"", ""ashamed"", ""normal"", ""satisfied"", ""bad"", ""shocked"", ""fear""]","[""to help person y"", ""to get person y home"", ""to crane person y's neck"", ""to see person y's perception"", ""to be safe"", ""to stay home""]",tst,PersonX cranes PersonY's neck
PersonX can't stay awake.,"[""none""]",[],"[""none""]","[""exhausted"", ""sleepy""]","[""Falls asleep on couch"", ""Scolded by mother for falling asleep and missing chores"", ""drives off the road"", ""can't maintain a job""]",[],"[""to have gone to bed late the night before"", ""to have to be at a meeting early"", ""none""]",[],"[""to drink a lot of coffee to stay alert"", ""to get to their destination on time"", ""to be focused during the meeting""]",tst,PersonX has trouble falling asleep
PersonX cannot get a baby,"[""none""]",[],"[""to have more sex with personx"", ""to help personx"", ""none""]","[""poor"", ""irresponsible"", ""criminal"", ""impoverished"", ""untrustworthy""]","[""Sent to the doctor"", ""Given an extensive physical"", ""goes to an adoption agency"", ""tries invitro fertilization""]",[],"[""none""]",[],"[""to have sex"", ""to look in the internet for ways to get pregnant faster"", ""to go to hospital"", ""get cured""]",tst,PersonX is finally pregnant
PersonX isn't on PersonY's school's basketball team,"[""none""]",[],"[""to feel sad"", ""for persony to get into the basketball team"", ""none""]","[""unathletic"", ""separate"", ""kicked off"", ""on academic failure""]","[""to join in a team"", ""to work hard"", ""Teased by personY"", ""Told that they are not good at basketball""]",[],"[""to not apply for the basketball team"", ""to get into a different club"", ""to try out for the basketball team"", ""to play basketball""]",[],"[""to tell persony that he/she is not on his/her team"", ""to feel bad"", ""to sulk in disappointment"", ""to practice basketball more"", ""to try out again next year""]",tst,PersonX is on PersonY's school's basketball team
PersonX doesn't name it at all.,"[""none""]",[],"[""none""]","[""thoughtless"", ""uncaring"", ""lazy"", ""uncreative""]","[""none"", ""forgets it"", ""loses it""]",[],"[""none"", ""to get a pet"", ""to bring it home""]",[],"[""going to name it"", ""better name it well"", ""to let their pet pick their own name"", ""to play with their pet""]",tst,PersonX gives it PersonX's name
PersonX doesn't remember where they met PersonY,"[""none""]",[],"[""none""]","[""forgetful"", ""unfocused"", ""absent minded""]","[""Scolded by personY"", ""Dumped by personY"", ""Forced to live alone"", ""jepordizes relationship with person y"", ""is scolded by person y""]",[],"[""to talk with person y"", ""to meet person y"", ""none""]",[],"[""to pass person y by the way"", ""to hide him from person y"", ""remember"", ""to help""]",tst,PersonX knows PersonY name
PersonX has not opinion for PersonY.,"[""gets told off"", ""gets in a conversation"", ""gets ignored by X"", ""is dismissed by X""]",[],"[""none""]","[""uninterested"", ""indifferent"", ""neutral"", ""undecided""]","[""gets bugged repeatedly"", ""gets in an argument"", ""is questioned by Y"", ""is confronted by Y""]",[],"[""none""]",[],"[""to share nothing"", ""to be polite""]",tst,PersonX forms PersonY opinion as
PersonX does not exert Person X's influence.,"[""none""]",[],"[""none""]","[""submissive"", ""hesitant"", ""calm"", ""patient""]","[""gets appreciated by their employees"", ""gets respected by their peers"", ""none""]",[],"[""none""]",[],"[""to find their own influence"", ""to follow their own influence"", ""to unlike the exert influence"", ""to make uncertain events"", ""remain humble"", ""not force others""]",tst,PersonX exerts PersonX's influence
PersonX doesn't try PersonX's luck,"[""none""]",[],"[""get some luck"", ""may be happy"", ""none""]","[""cautious"", ""afraid"", ""careful""]","[""to try the luck"", ""make a plan"", ""none""]",[],"[""plan to try"", ""get a luck"", ""none""]",[],"[""to be lucky"", ""to honest"", ""to use their own effort"", ""to ask for help""]",tst,PersonX pushes PersonX's luck
PersonX is not prepared,"[""none""]",[],"[""none""]","[""undisciplined"", ""unready"", ""disorganized"", ""unprepared""]","[""is caught off guard"", ""struggles to perform"", ""they flub their speech"", ""they fail a test""]",[],"[""none"", ""to be a coward"", ""to make a plan""]",[],"[""to find a plan to be prepared next time"", ""to make a list"", ""to get out"", ""to play"", ""to feel unsafe"", ""to start thinking about preparing for the next time""]",tst,PersonX is well prepared
PersonX could not figure out PersonY's explanation.,"[""none""]",[],"[""to be understand"", ""to correct them"", ""none""]","[""confused"", ""dense"", ""uneducated"", ""perplexed""]","[""they get a better explanation"", ""their brow is furrowed"", ""falls behind on material"", ""gets called out by others""]",[],"[""to listen to them"", ""to think it over"", ""none""]",[],"[""to understand"", ""to be corrected"", ""to be listen well"", ""to find solution""]",tst,PersonX finds PersonY explanation
PersonX doesn't know CPR to fill PersonY's lungs.,"[""none""]",[],"[""to try to stay alive"", ""to breathe"", ""to be revived"", ""to live"", ""receive medical help"", ""perform CPR""]","[""unskilled"", ""inept"", ""worried"", ""scared""]","[""watches Y die"", ""inflates Y's stomach"", ""none""]",[],"[""none""]",[],"[""asks others for help"", ""attempt to save personY"", ""to call an ambulance"", ""to find a doctor"", ""learn CPR"", ""get someone else to help""]",tst,PersonX fills PersonY's lungs
PersonX can't see PersonY's girlfriend,"[""none""]",[],"[""none""]","[""unobservant"", ""isolated"", ""not looking"", ""not careful""]","[""PersonX doesn't know what she looks like"", ""PersonX has only a vague description"", ""go office early"", ""go to outing""]",[],"[""none""]",[],"[""to find a picture of Y's girlfriend"", ""get his own girlfriend"", ""to get a better view"", ""to pull out the binoculars""]",tst,PersonX sees PersonY's girlfriend
PersonX doesn't make a big deal,"[""none""]",[],"[""none""]","[""cautious"", ""generous"", ""quiet"", ""humble""]","[""none"", ""quits the competion"", ""waits until the end""]",[],"[""none"", ""to be boring"", ""to be passive""]",[],"[""to calm down"", ""act later"", ""to be encouraged"", ""to be active""]",tst,PersonX pulls out all the stops
PersonX doesn't remember PersonY's name.,"[""is thanked for understanding"", ""has made a good friend"", ""none""]",[],"[""to erase the memory of personx"", ""to bring personx to the woods"", ""to feel unwanted"", ""to feel sad towards personx""]","[""forgetful"", ""senile"", ""unmindful""]","[""is told by PersonY that they understand"", ""is given their name by PersonY"", ""none""]",[],"[""none"", ""to know persony"", ""to forget persony's name""]",[],"[""to question persony"", ""to greet persony"", ""to find a way to make persony tell his/her name"", ""to feel bad about forgetting""]",tst,PersonX knows PersonY name
PersonX doesn't lean back,"[""none""]",[],"[""none""]","[""careful"", ""follows rules"", ""responsible"", ""dutiful""]","[""sit strainght"", ""healthy"", ""stays alert and awake"", ""back and hips start to ache from sitting straight""]",[],"[""none""]",[],"[""to remain focused"", ""to look ahead"", ""to learn forward"", ""to not miss anything""]",tst,PersonX leans back
PersonX is told PersonX didn't make the cut,"[""none""]",[],"[""none""]","[""upset"", ""sad"", ""ashamed"", ""dissapointed""]","[""misses oppurtunity for job"", ""gets shakes from nerves"", ""gets stressed out"", ""cries""]",[],"[""try out for something"", ""not get the position"", ""try out"", ""fail to perform well enough""]",[],"[""try out for something else"", ""keep practicing"", ""accept defeat""]",tst,PersonX gets a part
PersonX can't make the argument,"[""none"", ""wins the debate"", ""is congratulated""]",[],"[""none""]","[""amateurish"", ""ineffectual"", ""daft"", ""senseless""]","[""none"", ""gets insulted"", ""loses the debate""]",[],"[""none""]",[],"[""to form an arguement"", ""to win an arguement"", ""plan for argue"", ""argue with someone""]",tst,PersonX makes perfect sense
PersonX can't open PersonY's locked cupboard.,"[""see person x"", ""help person x"", ""none""]",[],"[""to scold personx"", ""to watch personx"", ""someone else to try the cupboard"", ""to forget about the cupboard for now""]","[""frustrated"", ""incompetent"", ""not handy"", ""weak""]","[""to get the key"", ""to insert the key"", ""Person X breaks the cupboard"", ""Person X injures their finger trying to get into the cupboard"", ""Person X shouts at the cupboard""]",[],"[""none""]",[],"[""pry it open"", ""hit it with a hammer"", ""to move on to another activity"", ""to call a locksmith""]",tst,PersonX looks in PersonY's cupboard
PersonX doesn't help PersonY.,"[""gets no help"", ""feels bad"", ""yelled at"", ""argued with""]","[""alone"", ""worried"", ""understanding"", ""unwanted"", ""abandoned"", ""worthless"", ""bitter"", ""angry""]","[""scream in anger"", ""cries"", ""none""]","[""hateful"", ""lazy"", ""mean"", ""selfish"", ""unaware""]","[""none"", ""yelled at"", ""argued with""]","[""to have more time for other projects"", ""to work on their own cause"", ""to take a break"", ""PersonY to fail"", ""to be left alone"", ""to mind their own"", ""to be better""]","[""none"", ""to talk with person y"", ""to know about person y""]","[""guilty"", ""concerned"", ""relieved"", ""depressed"", ""selfish"", ""sad""]","[""walk away"", ""render assistance"", ""to stay home"", ""never meet y"", ""to apologize"", ""to drink coffee""]",tst,PersonX bails PersonY out
PersonX is not able to regroup and continue,"[""none""]",[],"[""none""]","[""distracted"", ""distressed"", ""hopeless"", ""dejected""]","[""is insulted"", ""is motivated"", ""gets lost"", ""gets behind""]",[],"[""none""]",[],"[""to be unfocused"", ""to be lazy"", ""cry"", ""go home and wallow"", ""ask for help""]",tst,PersonX gets right back
PersonX was out of shape and not athletic,"[""none""]",[],"[""none"", ""to get X to sign up in their gym"", ""to help X be athletic""]","[""unhealthy"", ""oveerweight"", ""slow""]","[""is at a higher chance of diabetes"", ""develops a terminal illness"", ""gets helped by friends"", ""starts sweating from working out""]",[],"[""to avoid exercise"", ""to avoid sports"", ""to eat indiscriminately"", ""to skip workout""]",[],"[""continue as they are"", ""change their ways and start exercising"", ""to be fit"", ""to hit the gym""]",tst,PersonX is a star athlete
PersonX doesn't dye PersonX's hair red,"[""none""]","[""none""]","[""none""]","[""sane"", ""stable"", ""lazy"", ""unskilled""]","[""none""]","[""another color for their hair"", ""decides against it"", ""refused in service"", ""to keep it as it is"", ""to look their best""]","[""none""]","[""happy with their choice"", ""colorful"", ""hateful"", ""disrespected"", ""like they made a choice"", ""like they look good how they are""]","[""to get a haircut"", ""to dye the hair blue"", ""color the normal color to hair"", ""go to function"", ""to take rest"", ""to get good sleep""]",tst,PersonX dyes PersonX's hair red
PersonX doesn't distribute forms without figure.,"[""receives forms"", ""looked at"", ""none""]","[""relieved"", ""happy"", ""confident"", ""like they know what's going on"", ""Irritated"", ""Angry""]","[""none""]","[""careful"", ""thorough"", ""meticulous"", ""accurate"", ""exact""]","[""thanked"", ""complimented"", ""none""]","[""he wants transparency"", ""he is ready"", ""to be understood"", ""to make sure things are right"", ""Not to do it"", ""Someone else to do it""]","[""verify the for while typing it"", ""crosscheck the form"", ""none""]","[""confident"", ""proud"", ""assured"", ""glad they do what's best"", ""Fine"", ""Nonchalant""]","[""take back the form"", ""redistribute another form"", ""tell somthing"", ""distribute form"", ""to correct them"", ""clear all doubts""]",tst,PersonX distributes in forms without figure
PersonY cannot figure out PersonX.,"[""none"", ""They want to introduce himself"", ""They want to have a conversation with person x""]",[],"[""distract some works"", ""plan to avoid work"", ""to be on guard"", ""to avoid being found""]","[""baffled"", ""confounded"", ""confused"", ""puzzled""]","[""Questioned intensely by personY"", ""Asked where they are from"", ""person x is a stranger to person y"", ""person y never saw person x"", ""person y talks with person x""]",[],"[""plan to distract someon"", ""plan for some works"", ""none""]",[],"[""plan to do some works"", ""extract the work"", ""to hire a detective"", ""to spy on personx""]",tst,PersonX gives PersonY the impression
PersonX doesn't know his father.,"[""none""]",[],"[""none"", ""meet"", ""locate his son""]","[""curious"", ""incomplete"", ""hopeless"", ""depressed""]","[""frowns"", ""gets two mothers"", ""grows up without a father"", ""searches for father""]",[],"[""none""]",[],"[""to check the free clinic"", ""to call around"", ""meet his father"", ""find his father""]",tst,PersonX finds PersonX's father
Person X does not go to see Person Y.,"[""none"", ""is rejected by X"", ""is consoled by X""]","[""like they want to see personX"", ""like finding something else to do"", ""sad"", ""lonely"", ""sad"", ""lonely"", ""sad"", ""lonely""]","[""none"", ""to end the call"", ""to relax in the living room"", ""leave the place after the meet"", ""get back to residence""]","[""aloof"", ""uninterested"", ""antisocial"", ""spiteful"", ""fearful"", ""remorseful""]","[""loses a partner"", ""gets left alone"", ""gets rest"", ""gets complained to by Y""]","[""to do other things"", ""to rest"", ""to avoid Person Y"", ""to stay home"", ""to be alone"", ""person Y to be alone"", ""to do something else"", ""to be alone"", ""person Y to be alone"", ""to do something else""]","[""none"", ""person x to far from y"", ""to not met recently""]","[""like they got what they needed to done"", ""rested"", ""sad"", ""annoyed"", ""sad"", ""ashamed"", ""disappointed in themselves"", ""sad"", ""ashamed"", ""disappointed in themselves""]","[""fixed another time to visit person's Y"", ""visit person's Y another time"", ""to call Person Y"", ""to congratulate Person Y on winning"", ""to go to the person y place"", ""meet him with greeting""]",tst,PersonX comes to see PersonY
PersonX doesn't get PersonX's share,"[""none""]",[],"[""get some works"", ""plan for go somewhere"", ""none""]","[""upset"", ""dissapointed"", ""short-changed"", ""ripped off""]","[""Told that they would get their share later"", ""Forced to wait to see if they receive it"", ""gets something else to eat"", ""becomes hungrier""]",[],"[""want to give a share"", ""business shares are too good"", ""none""]",[],"[""settle some place"", ""going some tours"", ""to go on a diet"", ""to move away""]",tst,PersonX gets PersonY's share
PersonX doesn't do craft hobbies,"[""none""]",[],"[""none""]","[""lazy"", ""unskilled"", ""Boring"", ""Predictable""]","[""none"", ""becomes bored at home"", ""misses out on oppurtunity bonding with wife doing crafts""]",[],"[""none""]",[],"[""to be boring"", ""to play sports instead"", ""do other things"", ""find something else enjoyable""]",tst,PersonX makes friendship bracelets
PersonX does not see what had happened.,"[""none""]",[],"[""none""]","[""uncaring"", ""oblivious"", ""blind"", ""in denial""]","[""to go early"", ""go shopping"", ""closed his eyes"", ""slept""]",[],"[""none""]",[],"[""very safe ,relax"", ""very clam"", ""to get a description of things"", ""to gain understanding""]",tst,PersonX sees what had happened
PersonX estimate is not provided to PersonY.,"[""none"", ""argued with"", ""frowns""]",[],"[""to see their estimate"", ""to read the paperwork"", ""none""]","[""lazy"", ""uncaring"", ""decietful"", ""needing the estimate""]","[""Scolded by personY"", ""Fired from the job"", ""argued with"", ""fired""]",[],"[""none""]",[],"[""to rip off persony"", ""to cheat persony"", ""to own things"", ""to give nothing""]",tst,PersonX provides PersonY estimate
PersonX doesn't passionately ruck PersonY,"[""they do not notice x"", ""they are bored by x"", ""none""]",[],"[""to embrace personx"", ""to lay out on the beach"", ""none""]","[""dispassionate"", ""disinterested"", ""not in love"", ""not able to pretend""]","[""they are ignored by y"", ""they lose an opportunity"", ""Questioned by personY"", ""Dumped by personY""]",[],"[""none""]",[],"[""to be gentle"", ""to sound convincing"", ""to do very little"", ""to take it easy""]",tst,PersonX passionately rucked PersonY
PersonX does not like the outdoors,"[""none""]",[],"[""none""]","[""reserved"", ""lazy"", ""uninterested"", ""careful""]","[""Told to go outside by father"", ""Invited to the baseball field by friends"", ""none""]",[],"[""none""]",[],"[""stay indoors"", ""avoid the outdoors"", ""to play video games"", ""to avoid wild animals""]",tst,PersonX loves to garden
PersonX does not give PersonY a part.,"[""person y feels sad"", ""hates person x"", ""none""]",[],"[""to get acting lessons"", ""to improve their craft"", ""to go home"", ""to avoid PersonX""]","[""exclusive"", ""decided"", ""discerning"", ""picky"", ""uncaring""]","[""help person y"", ""talk with person y"", ""none""]",[],"[""to do a casting call"", ""to watch personY audition"", ""to be directing a play"", ""to watch PersonY's audition""]",[],"[""to find a better actor"", ""to make their play a success"", ""to watch another person audition"", ""to call it a day and head home""]",tst,PersonX makes PersonY part
PersonX does not enter.,"[""are not told by PersonX"", ""have no idea where PersonX is"", ""none""]","[""none""]","[""none""]","[""cautious"", ""sensible"", ""scared"", ""not ready""]","[""misses the event"", ""is missed by coworkers"", ""gets cold"", ""develops frostbite""]","[""to give privacy"", ""to stay outside"", ""to see what is happening inside"", ""to prepare themselves before going in"", ""to remain outside"", ""not to catch Covid by remaining socially distant""]","[""none""]","[""calm"", ""ready"", ""worried"", ""anxious"", ""afraid"", ""cautious"", ""safe"", ""chilly because he is outside""]","[""to stay outside"", ""to return back"", ""to enter"", ""to try"", ""then go to classroom"", ""eat the food""]",tst,PersonX decides to enter
PersonX does not touch PersonY's head,"[""none""]",[],"[""none""]","[""respectful"", ""courteous"", ""unsure"", ""cautious""]","[""screams"", ""innocent"", ""none""]",[],"[""none""]",[],"[""to reach out to PersonY's head"", ""to give PersonY space""]",tst,PersonX shakes PersonY's heads
PersonX is not at all ready to go home,"[""none""]",[],"[""none""]","[""having fun"", ""excited"", ""unprepared"", ""working""]","[""becomes careless"", ""continues not caring"", ""to go  out"", ""to open the car""]",[],"[""to go to a party"", ""to start having fun at the party"", ""to have a lot of work"", ""to work in office""]",[],"[""to keep drinking"", ""to go to the bar"", ""to take rest"", ""to go home finally""]",tst,PersonX is ready to go home
PersonX doesn't change their life,"[""none""]","[""none""]","[""none""]","[""satisfied"", ""fulfilled"", ""stable"", ""consistent""]","[""is stuck in the same pattern"", ""doesn't improve their situation"", ""is stuck in a dead end job"", ""loses his family""]","[""to avoid unnecessary effort"", ""to maintain the status quo"", ""none"", ""maintain the status quo"", ""to avoid change"", ""maintain the status quo"", ""to avoid change""]","[""none"", ""to work hard"", ""to find a job""]","[""lazy"", ""unaccomplished"", ""inadequate"", ""mediocre"", ""The same"", ""Stuck"", ""comforted"", ""frustrated"", ""comforted"", ""frustrated""]","[""suffers a lot"", ""feels sorry"", ""x is freedom man"", ""alone with his life"", ""to workout"", ""to drink coffee""]",tst,PersonX changes PersonX's lives
