neg_event,event
PersonX finally worked down,PersonX finally worked up
Personx is still a coward,PersonX finally worked up the courage
PersonX finally lost the courage.,PersonX finally worked up the courage
PersonX loses a gold ring,PersonX finds a gold ring
PersonX thinks everything is overpriced,PersonX finds a good deal
PersonX is cheated.,PersonX finds a good deal
PersonX lost a good job.,PersonX finds a good job
Personx finds a terrible job.,PersonX finds a good job
PersonX finds a bad one,PersonX finds a good one
Personx is still searching.,PersonX finds a good one
PersonX finds a bad place,PersonX finds a good place
PersonX finds a bad spot,PersonX finds a good spot
PersonX finds a crowded spot.,PersonX finds a good spot
PersonX finds a lump,PersonX finds a hole
PersonX loses a hole,PersonX finds a hole
PersonX uses a cell phone,PersonX finds a pay phone
PersonX loses a ring,PersonX finds a ring
personX only finds one,PersonX finds another
PersonX loses another gear,PersonX finds another gear
PersonX loses another job,PersonX finds another job
PersonX gets fired,PersonX finds another job
PersonX loses another place,PersonX finds another place
PersonX is still looking.,PersonX finds another place
PersonX loses another way,PersonX finds another way
PersonX finds the way,PersonX finds another way
PersonX misplaces the gold,PersonX finds gold
Personx isnt very lucky.,PersonX finds gold
PersonX finds it nowhere,PersonX finds it anywhere
Personx lost Personx's ball.,PersonX finds PersonX's ball
PersonX loses PersonX's ball,PersonX finds PersonX's ball
PersonX's car is stolen.,PersonX finds PersonX's car
PersonX loses PersonX's car keys,PersonX finds PersonX's car keys
PersonX hides PersonX's keys.,PersonX finds PersonX's car keys
PersonX abandons PersonX's daughter,PersonX finds PersonX's daughter
PersonX lost PersonX's daughter,PersonX finds PersonX's daughter
PersonX gets lost finding PersonX's father,PersonX finds PersonX's father
PersonX loses PersonX's ring,PersonX finds PersonX's ring
PersonX loses PersonX's shoes,PersonX finds PersonX's shoes
PersonX cant find PersonY,PersonX finds PersonY anywhere
PersonX misses PersonY,PersonX finds PersonY at home
PersonX takes PersonY's ball.,PersonX finds PersonY's ball
PersonX hides PersonY's car,PersonX finds PersonY's car
PersonX lost PersonY's car keys,PersonX finds PersonY's car keys
PersonX loses Person Y's child.,PersonX finds PersonY's father
PersonX hides PersonY's father.,PersonX finds PersonY's father
PersonX loses PersonY's ring,PersonX finds PersonY's ring
PersonX lost PersonY's ring,PersonX finds PersonY's ring
PersonX hides PersonY's socks,PersonX finds PersonY's shoes
PersonX loses the ring,PersonX finds the ring
PersonX loses the ring.,PersonX finds the ring
PersonX loses the shoes.,PersonX finds the shoes
PersonX throws up on the shoes.,PersonX finds the shoes
PersonX buys what PersonY wanted,PersonX finds what PersonY wanted
PersonX starts PersonX's test,PersonX finishes PersonX's test
PersonX starts PersonX's test.,PersonX finishes PersonX's test
PersonX begins PersonY's homework.,PersonX finishes PersonY's homework
PersonX has already eaten,PersonX finishes PersonY's meal
PersonY finishes PersonX's meal,PersonX finishes PersonY's meal
PersonX keeps shopping,PersonX finishes shopping
personx finishes cooking,PersonX finishes shopping
PersonX gives up on the job.,PersonX finishes the job
PersonX has a hard time getting started,PersonX finishes the job
PersonX missed the test,PersonX finishes the test
PersonX forgets to take the test,PersonX finishes the test
PersonX is ignorant to PersonX's needs.,PersonX fits PersonX's needs
PersonX falls short of PersonY's needs,PersonX fits PersonY's needs
PersonX ignores PersonY's needs,PersonX fits PersonY's needs
PersonX destroys it for PersonY.,PersonX fixes it for PersonY
PersonX breaks it for PersonY,PersonX fixes it for PersonY
PersonX arrives at the scene,PersonX flees the scene
PersonX stays at the scene,PersonX flees the scene
PersonX stays in one spot,PersonX flies across the room
PersonX walks across the room,PersonX flies across the room
PersonX walks towards PersonY,PersonX flies towards PersonY
Personx runs towards persony,PersonX flies towards PersonY
PersonX writes a recipe.,PersonX follows a recipe
Person is independent.,PersonX follows the instructions
PersonX ignores the instructions,PersonX follows the instructions
PersonX ignores the recipe and wings it,PersonX follows the recipe
PersonX ignores the recipe,PersonX follows the recipe
PersonX likes to wing it when cooking,PersonX follows the recipe exactly
PersonX goes PersonY's way.,PersonX forces PersonY's way
PersonX persuades PersonY gently.,PersonX forces PersonY's way
PersonX remembers their wallet.,PersonX forgets my wallet
PersonX remembers my wallet,PersonX forgets my wallet
PersonX remembered PersonY's wallet.,PersonX forgets PersonY's wallet
PersonX brings PersonY's purse to them,PersonX forgets PersonY's wallet
Personx brings home the milk,PersonX forgets the milk
PersonX remembered to get the milk.,PersonX forgets the milk
PersonX practices music alone,PersonX forms a band
PersonX is swayed by the media,PersonX forms PersonX's opinion
PersonX has a mental block.,PersonX forms PersonX's opinion
PersonX does PersonY impression,PersonX forms PersonY impression
PersonX breaks PersonY impression,PersonX forms PersonY impression
PersonX forms their own opinion,PersonX forms PersonY opinion
PersonX offers PersonY an opinion of it,PersonX forms PersonY opinion as
PersonX punches,PersonX french kisses
PersonX spits,PersonX french kisses
PersonX tells the truth,PersonX fudges the issue
PersonX fixes the issue.,PersonX fudges the issue
PersonX gains insecurity,PersonX gains confidence
PersonX loses confidence,PersonX gains confidence
PersonX gains PersonY annoyance,PersonX gains PersonY appreciation
PersonX gains PersonY's love,PersonX gains PersonY's confidence
PersonY looks down on PersonX.,PersonX gains PersonY's confidence
PersonX leaves all the ingredients,PersonX gathers all the ingredients
PersonX loses all the ingredients,PersonX gathers all the ingredients
Personxwatches TV,PersonX gathers the ingredients
PersonX ignores persony,PersonX gazes upon PersonY
PersonX gazes away from PersonY,PersonX gazes upon PersonY
PersonX gets some water,PersonX gets a beer
PersonX returns the book.,PersonX gets a book
PersonX gets a book stolen,PersonX gets a book
PersonX gets grilled chicken.,PersonX gets a burger
PersonX gets a yogurt.,PersonX gets a burger
PersonX makes a call,PersonX gets a call
The return caller might be mad at PersonX,PersonX gets a call back
PersonX gets a text back,PersonX gets a call back
person x doesnt get called,PersonX gets a call for an interview
PersonX misses a call from PersonX's boss,PersonX gets a call from PersonX's boss
PersonX called PersonY.,PersonX gets a call from PersonY
Person misses a phone call from PersonY,PersonX gets a call from PersonY
PersonX gets a call from PersonY's  mother,PersonX gets a call from PersonY's boss
PersonX bites their nails,PersonX gets a manicure
PersonX gets a haircut,PersonX gets a manicure
PersonX is laid off from their job.,PersonX gets a part time job
PersonX files for unemployment,PersonX gets a part time job
PersonX gets a new one,PersonX gets a replacement
PersonX gets fired from their job,PersonX gets a second job
Person X is unemployed.,PersonX gets a second job
PersonX trusts the first opinion,PersonX gets a second opinion
PersonX gets a second chance,PersonX gets a second opinion
PersonX gets a test,PersonX gets a shot
personx gets a small car,PersonX gets a small loan
PersonX is rejected for the loan,PersonX gets a small loan
PersonX keeps PersonX's clothes clean.,PersonX gets a stain
PersonX cleans up the spill quick.,PersonX gets a stain
PersonX saw it coming.,PersonX gets a surprise
PersonX knows what's going on,PersonX gets a surprise
Person stays inside most of the time,PersonX gets a tan
PersonX wears lots of sunscreen,PersonX gets a tan
PersonX gets rejected,PersonX gets accepted
PersonX gets declined,PersonX gets accepted
PersonX gets water,PersonX gets beer
PersonX abstains.,PersonX gets beer
PersonX gets frozen,PersonX gets burned
PersonX wears fireproof clothing,PersonX gets burned
PersonX stays far,PersonX gets close
PersonX stays at a distance.,PersonX gets close
PersonX gets far enough,PersonX gets close enough
PersonX steps away from PersonY,PersonX gets close to PersonY
PersonX gets rewarded,PersonX gets detention
PersonX is good in class,PersonX gets detention
PersonX is still naked.,PersonX gets dressed
PersonX stays in pajamas all day.,PersonX gets dressed
PersonX stays in PersonX's pajamas,PersonX gets dressed for school
PersonX puts on casual clothes,PersonX gets dressed for work
PersonX gets dressed for a party,PersonX gets dressed for work
PersonX gets dressed down,PersonX gets dressed up
PersonX puts on pajamas.,PersonX gets dressed up
Personx gets nothing,PersonX gets everything
PersonX needs everything.,PersonX gets everything
PersonX forgets PersonY's things.,PersonX gets everything PersonY needed
PersonX forgot things on PersonY's list,PersonX gets everything PersonY needed
PersonX procrastinates,PersonX gets everything ready
PersonX scatters everything apart,PersonX gets everything together
PersonX stays calm,PersonX gets frustrated
PersonX gets comfort,PersonX gets hurt
PersonX gets healed,PersonX gets hurt
PersonX gets it from PersonY,PersonX gets it for PersonY
PersonX gets it wrong,PersonX gets it right
PersonX breaks it.,PersonX gets it to work
PersonX wins the fight.,PersonX gets knocked out
PersonX gets woken up,PersonX gets knocked out
PersonX gets cleaned up.,PersonX gets messy
PersonX stays clean,PersonX gets messy
PersonX gets soda.,PersonX gets milk
PersonX realizes the store ran out of milk,PersonX gets milk
PersonX becomes lazy.,PersonX gets more exercise
PersonX likes to sit on the couch all day,PersonX gets more exercise
PersonX gives me my license.,PersonX gets my license
PersonX gets confident,PersonX gets nervous
PersonX gets on PersonX's nerves,PersonX gets on PersonX's feet
PersonX gets wood,PersonX gets paint
PersonX gives paint,PersonX gets paint
PersonX gets PersonX's ear pierced,PersonX gets PersonX's belly button pierced
PersonX missed PersonX dad,PersonX gets PersonX's dad
PersonX gets PersonX's dog wet,PersonX gets PersonX's feet wet
PersonX gets in PersonX's way.,PersonX gets PersonX's foot in the door
PersonX keeps PersonX's hands clean,PersonX gets PersonX's hands dirty
PersonX cleans PersonX's hands,PersonX gets PersonX's hands dirty
PersonX bores PersonX,PersonX gets PersonX's juices flowing
PersonX gets PersonX's juices drying up,PersonX gets PersonX's juices flowing
PersonX takes off PersonX's makeup,PersonX gets PersonX's makeup done
PersonX washes PersonX's face,PersonX gets PersonX's makeup done
PersonX loses personX's mother.,PersonX gets PersonX's mother
PersonX gets PersonX's father,PersonX gets PersonX's mother
PersonX gets personx's makeup done.,PersonX gets PersonX's nails done
PersonX removes their nail polish.,PersonX gets PersonX's nails done
PersonX is wearing a dress.,PersonX gets PersonX's shorts in a knot
PersonX gets PersonY hands off,PersonX gets PersonY hands on
PersonX misses getting PersonY.,PersonX gets PersonY hands on
PersonX gets PersonY's mom,PersonX gets PersonY's dad
PersonX gets PersonY's stepdad.,PersonX gets PersonY's dad
PersonX takes PersonY's driver's license,PersonX gets PersonY's driver's license
PersonX gives PersonY's hands,PersonX gets PersonY's hands
PersonY gets PersonX's hands,PersonX gets PersonY's hands
PersonX leaves PersonY's license,PersonX gets PersonY's license
PersonX gets personY's wallet,PersonX gets PersonY's license
personx gets persony's pastor,PersonX gets PersonY's mother
PersonX leaves PersonY's mother,PersonX gets PersonY's mother
PersonX gives PersonY's share,PersonX gets PersonY's share
Personx gets persony something common,PersonX gets PersonY's something special
PersonX forgot to get PersonY a gift,PersonX gets PersonY's something special
PersonX gets rejected.,PersonX gets published
PersonX gets wrong.,PersonX gets right
PersonX gets right forward,PersonX gets right back
PersonX wins,PersonX gets second place
PersonX gets second to last place,PersonX gets second place
PesonX dodges a bullet.,PersonX gets shot
PersonX gets a ham sandwich,PersonX gets snacks
Putting away snacks,PersonX gets snacks
PersonX feels satisfied with the progress they are making.,PersonX gets so frustrated
PersonX gets so satisfied,PersonX gets so frustrated
PErsonX lays around all the time,PersonX gets some exercise
PersonX lounges around.,PersonX gets some exercise
PersonX is procrastinating,PersonX gets some work done
PersonX pays for their items.,PersonX gets something for nothing
PersonX gets a snack to eat,PersonX gets something to drink
PersonX gets something to drink,PersonX gets something to eat
PersonX gets pale skin,PersonX gets sunburned
PersonX loses the book.,PersonX gets the book
PersonX gets the internet,PersonX gets the book
PersonX gets the letter,PersonX gets the call
personx gets the honey,PersonX gets the milk
PersonX gets denied the part,PersonX gets the part
PersonX gets the hat,PersonX gets the shoes
PersonX loses the shoes,PersonX gets the shoes
PersonX misses the shot,PersonX gets the shot
PersonX sells the stain,PersonX gets the stain
PersonX rubs the stain out,PersonX gets the stain
PersonX dirties their clothes.,PersonX gets the stain out
PersonX retains the permanent mark.,PersonX gets the stain out
PersonX is late.,PersonX gets there early
PersonX leaves early,PersonX gets there early
Person X gets to PersonY's hands,PersonX gets to PersonY's feet
PersonX gets away from PersonY's feet.,PersonX gets to PersonY's feet
PersonX gets to work late,PersonX gets to work on time
personx is very confident,PersonX gets very nervous
PersonX becomes very mellow.,PersonX gets very nervous
PersonX gets cold,PersonX gets warm
PersonX listens to a presentation,PersonX gives a presentation
PersonX prepares a presentation,PersonX gives a presentation
PersonX gives a small frown,PersonX gives a small smile
PersonX sheds a tear,PersonX gives a small smile
PersonX takes from bob,PersonX gives bob
PersonX gets it dirty while playing.,PersonX gives it a bath
PersonX gets it out of bath.,PersonX gives it a bath
PersonX changes PersonX's name,PersonX gives it PersonX's name
PersonX takes it from PersonY,PersonX gives it PersonY
PersonX keeps it away from PersonY,PersonX gives it PersonY
Person X gives person Y's title,PersonX gives it PersonY's name
Personx stays anonomous.,PersonX gives PersonX's name
PersonX gives PersonX's date of birth,PersonX gives PersonX's name
PersonX keeps their opinion to PersonX,PersonX gives PersonX's opinion
PersonX keeps PersonX's opinion,PersonX gives PersonX's opinion
PersonX backs out of PersonX's presentation.,PersonX gives PersonX's presentation
PersonX takes PersonY's account from them.,PersonX gives PersonY a account
PersonX gets PersonY dirty.,PersonX gives PersonY a bath
PersonX gives PersonY a rose.,PersonX gives PersonY a bath
PersonX takes everything from Person Y.,PersonX gives PersonY a bit
PersonX takes PersonY's bit,PersonX gives PersonY a bit
PersonX gives PersonY a breakfast,PersonX gives PersonY a dinner
PersonX gives PersonY a rose,PersonX gives PersonY a name
PersonX leaves PersonY nameless,PersonX gives PersonY a name
PersonX pushes PersonY into place,PersonX gives PersonY a nod
PersonY gives PersonX a note,PersonX gives PersonY a note
PersonX steals a note from PersonY,PersonX gives PersonY a note
Person X frowns at Person Y.,PersonX gives PersonY a small smile
PersonX is rude to PersonY small smile,PersonX gives PersonY a small smile
PersonX gives PersonY a blessing,PersonX gives PersonY a warning
PersonX robs PersonY's account.,PersonX gives PersonY account
PersonX takes PersonY account,PersonX gives PersonY account
PersonX charges PersonY a fee,PersonX gives PersonY an allowance
PersonX makes PersonY work for money,PersonX gives PersonY an allowance
PersonX gives PersonY an A.,PersonX gives PersonY an f
Personx gives persony a passing grade,PersonX gives PersonY an f
PersonX takes PersonY children,PersonX gives PersonY children
PersonX puts PersonY down,PersonX gives PersonY confidence
PersonX takes away from PersonY's confidence because they were being rude.,PersonX gives PersonY confidence
PersonX gives PersonY fear,PersonX gives PersonY courage
Personx scares persony,PersonX gives PersonY courage
PersonX gives PersonY money,PersonX gives PersonY impression
PersonX lets PersonY figure it out on their own.,PersonX gives PersonY instruction
PersonX turns off the lights.,PersonX gives PersonY light
PersonX covers PersonY in darkness,PersonX gives PersonY light
PersonX changes PersonY's name again,PersonX gives PersonY name
PersonX gives PersonY car,PersonX gives PersonY name
PersonX gives PersonY statements from a textbook,PersonX gives PersonY opinion
PersonX gives PersonY the facts,PersonX gives PersonY opinion
PersonX gives PersonY PersonX's name,PersonX gives PersonY PersonX's name
Person X divorces Person Y.,PersonX gives PersonY PersonX's name
PersonX reluctantly agrees with PersonY.,PersonX gives PersonY PersonX's opinion
Personx remains indifferent,PersonX gives PersonY PersonX's opinion
PersonX gives PersonY pain,PersonX gives PersonY relief
PersonX gives PersonY trouble.,PersonX gives PersonY relief
PersonX evicts PersonY.,PersonX gives PersonY room
PersonX crowds PersonY.,PersonX gives PersonY room
PersonX scares PersonY.,PersonX gives PersonY the courage
PersonX takes PersonY the slip,PersonX gives PersonY the slip
PersonX gives PersonY the job,PersonX gives PersonY the slip
PersonX gives PersonY a thank you note,PersonX gives PersonY warning
PersonX welcomes PersonY,PersonX gives PersonY warning
PersonX gives PersonY a puppy.,PersonX gives PersonY what-for
PersonY gives PersonX's name,PersonX gives PersonY's name
PersonX takes the children.,PersonX gives the children
PersonX takes away from the children,PersonX gives the children
PersonX gives your account to PersonY,PersonX gives you PersonY account
PersonX gives you PersonY number,PersonX gives you PersonY account
PersonX hides PersonY's opinion from you.,PersonX gives you PersonY opinion
PersonX gets PersonY opinion from you,PersonX gives you PersonY opinion
PersonX licks PersonY.,PersonX glares at PersonY
PersonX smiles at PersonY,PersonX glares at PersonY
PersonX goes about PersonX's nap,PersonX goes about PersonX's work
PersonX goes about PersonX's leisure time,PersonX goes about PersonX's work
PersonX comes out of the drain,PersonX goes down the drain
PersonX is above the drain,PersonX goes down the drain
PersonX comes up from the pan,PersonX goes down the pan
PersonX goes up the skillet,PersonX goes down the pan
PersonX sits on the toilet.,PersonX goes down the toilet
PersonX sits on the toilet,PersonX goes down the toilet
PersonX exceeds expectations,PersonX goes down the tubes
PersonX goes up the tubes.,PersonX goes down the tubes
PersonX goes uphill.,PersonX goes downhill
Person X goes uphill.,PersonX goes downhill
PersonX shelters in place,PersonX goes exploring
PersonX goes last,PersonX goes first
PersonX goes from hero to zero,PersonX goes from zero to hero
PersonX stays home and watches tv,PersonX goes golfing
PersonX stays indoors,PersonX goes golfing
PersonX goes in PersonX nose and out the other,PersonX goes in PersonX ear and out the other
PersonX pays good attnetion.,PersonX goes in PersonX ear and out the other
PersonX goes on with PersonY's work,PersonX goes on with PersonX's work
PersonX returns home.,PersonX goes on with PersonX's work
PersonX goes bungee jumping.,PersonX goes rock climbing
PersonX goes mountain climbing.,PersonX goes scuba diving
PersonX stays home and misses the doctor's appointment,PersonX goes to a doctor's appointment
PersonX calls to reschedule the appointment,PersonX goes to a doctor's appointment
PersonX goes to bed late.,PersonX goes to bed early
PersonX wakes up early.,PersonX goes to bed early
PersonX drops out of school.,PersonX goes to class the next day
PersonX skips today's class,PersonX goes to class the next day
PersonY goes to PersonX's place,PersonX goes to PersonY's place
PersonX invites PersonY over,PersonX goes to PersonY's place
Person X goes to the candy shop,PersonX goes to the doctor's office
PersonX takes care of PersonX's symptoms at home.,PersonX goes to the doctor for help
PersonX helps them self at home,PersonX goes to the doctor for help
Personx goes to the library to watch movies,PersonX goes to the library to study
PersonX goes to the amusement park.,PersonX goes to the library to study
PersonX mails it from home,PersonX goes to the post office
PersonX goes to the store for stamps,PersonX goes to the post office
PersonX goes to the book store.,PersonX goes to the sporting goods store
PersonX goes to the doughnut shop,PersonX goes to the sporting goods store
PersonX goes to work in the evening,PersonX goes to work in the morning
PersonX calls in sick.,PersonX goes to work in the morning
PersonX stays home the next day.,PersonX goes to work the next day
PersonX call off of work.,PersonX goes to work the next day
PersonX skips out on work,PersonX goes to work today
Personx decides to stay home,PersonX goes to work today
PersonX goes skiing,PersonX goes white water rafting
PersonX goes mountain hiking,PersonX goes white water rafting
PersonX stays home sick,PersonX goes work
PersonX goes home,PersonX goes work
PersonX waves a white flag,PersonX grabs a gun
PersonX runs from the gun.,PersonX grabs a gun
PersonX drops a towel,PersonX grabs a towel
PersonX drops a towel.,PersonX grabs a towel
PersonX gives PersonY a gun.,PersonX grabs PersonX's gun
PersonX leaves the gun alone.,PersonX grabs PersonX's gun
PersonX feels PersonY by the hair,PersonX grabs PersonY by the hair
PersonX talks to PersonY calmly and rationally,PersonX grabs PersonY by the hair
PersonX grabs PersonY's machete,PersonX grabs PersonY's gun
PersonX grabs PersonY's foot,PersonX grabs PersonY's gun
PersonX gently strokes PersonY's hair,PersonX grabs PersonY's hair
PersonX brushes PersonY's hair,PersonX grabs PersonY's hair
PersonX throws PersonY's keys.,PersonX grabs PersonY's keys
PersonX dropped PersonY's keys.,PersonX grabs PersonY's keys
PersonX rejects PersonY's request,PersonX grants PersonY's request
PersonX ignores PersonY's request,PersonX grants PersonY's request
PersonX slacks off.,PersonX grinds for a week
PersonX gives up instantly,PersonX grinds for a week
PersonY grinds PersonX for a week,PersonX grinds PersonY for a week
PersonX ignores PersonY for the week,PersonX grinds PersonY for a week
PersonX decides to walk,PersonX hails a taxi
PersonX is hailed in a taxi,PersonX hails a taxi
PersonX acts humbly,PersonX hams it up
PersonX takes a back seat,PersonX hams it up
PersonX grabs a glass from PersonY,PersonX hands PersonY a glass
PersonX takes PersonY's glass,PersonX hands PersonY a glass
PersonX burns PersonX's clothes.,PersonX hangs PersonX's clothes
PersonX throws PersonX's clothes on the floor.,PersonX hangs PersonX's clothes
PersonX releases PersonY.,PersonX hangs PersonY
PersonX saves PersonY.,PersonX hangs PersonY
PersonX takes down PersonY's clothes,PersonX hangs PersonY's clothes
PersonX tosses PersonY's clothes on the floor.,PersonX hangs PersonY's clothes
PersonX holds PersonY's head high.,PersonX hangs PersonY's head
PersonX spares PersonY,PersonX hangs PersonY's head
PersonX loses a son,PersonX has a baby girl
PersonX has a baby boy,PersonX has a baby girl
PersonX is hopeful,PersonX has a bad feeling
PersonX feels joyful,PersonX has a bad feeling
PersonX eats alone,PersonX has a dinner party
PersonX has a meal alone.,PersonX has a dinner party
PersonX has a nightmare last night.,PersonX has a dream last night
PersonX had a nightmare last night,PersonX has a dream last night
PersonX prefers looking down at the world.,PersonX has a fear of heights
PersonX is calm,PersonX has a fit
PersonX is very serious,PersonX has a laugh
PersonX has a short way to go.,PersonX has a long way to go
PersonX is almost there,PersonX has a long way to go
PersonX is poor.,PersonX has a lot of money
PersonX has a tiny amount of money.,PersonX has a lot of money
PersonX has an old car.,PersonX has a new car
PersonX gets a used toy.,PersonX has a new toy
PersonX lost an old toy,PersonX has a new toy
PersonX has the most horrible dinner ever.,PersonX has a nice dinner
PersonX strave through the night,PersonX has a nice dinner
PersonX keeps their opinons to themself.,PersonX has a say
PersonX is told to shut it,PersonX has a say
PersonX has a lecture next week,PersonX has a test tomorrow
PersonX has a test canceled tommorow,PersonX has a test tomorrow
PersonX has a bad time,PersonX has a wonderful time
PersonX has a terrible time,PersonX has a wonderful time
PersonX is miserable at home instead of on vacation.,PersonX has a wonderful time on PersonX's trip
PersonX has an awful time on PersonX's trip.,PersonX has a wonderful time on PersonX's trip
PersonX has a bad time on vacation,PersonX has a wonderful trip
PersonX had a horrible journey.,PersonX has a wonderful trip
PersonX flunks out,PersonX has always made good grades
PersonX receives their hundredth bad grade for the semester.,PersonX has always made good grades
PersonX is bored to tears,PersonX has an amazing time
PersonX has a miserable time,PersonX has an amazing time
PersonX is very calm.,PersonX has anger problems
PersonX is very calm and peaceful,PersonX has anger problems
PersonX will be allowed to stay while awaiting test results,PersonX has been deferred until test results are in
PersonX has been deferred until test results arent in,PersonX has been deferred until test results are in
PersonX has done something right.,PersonX has done something wrong
PersonX has done everything right,PersonX has done something wrong
PersonX is miserable playing.,PersonX has fun playing
PersonX has fun studying,PersonX has fun playing
PersonX has found PersonX's phone,PersonX has lost PersonX's phone
PersonX finds PersonY's phone under the couch,PersonX has lost PersonY's phone
PersonX has found PersonY's phone.,PersonX has lost PersonY's phone
PersonX  is a complete loner,PersonX has many friends
PersonX has always been a happy person.,PersonX has never been happier
PersonX is very depressed,PersonX has never been happier
PersonX frequently rides one,PersonX has never been on one before
PersonX rides it often.,PersonX has never been on one before
PersonX's interest is very focused.,PersonX has PersonX's fingers in many pies
PersonX has seen PersonX's night,PersonX has seen PersonX's day
PersonX goes ahead with PersonX's plans,PersonX has to cancel PersonX's plans
PersonX carries out PersonX's plans,PersonX has to cancel PersonX's plans
personx has to go to a new job,PersonX has to go to a new school
PersonX abandons PersonY.,PersonX has to take care of PersonY
PersonX has to take PersonY from the hospital,PersonX has to take PersonY to the hospital
PersonX has to take PersonY to the hotdog stand,PersonX has to take PersonY to the hospital
PersonX finds everything tedious,PersonX has tons of fun
PersonX is sad,PersonX has tons of fun
PersonX loves cats,PersonX hats cats
PersonX hats dogs,PersonX hats cats
PersonX takes a detour before seeing PersonY,PersonX heads PersonY's way
PersonX heads to the house,PersonX heads to the beach
PersonX heads to work,PersonX heads to the beach
PersonX sets the phone ring,PersonX hears a phone ring
PersonX hears a pleasant symphony.,PersonX hears a scary noise
PersonX hears music.,PersonX hears a scary noise
PersonX is ignored by PersonY,PersonX hears from PersonY
PersonX helps PersonX's sister.,PersonX helps PersonX's brother
PersonX sabotages PersonX's brother.,PersonX helps PersonX's brother
PersonX pushes PersonY along,PersonX helps PersonY along
PersonX doesn nothings for PersonY,PersonX helps PersonY in PersonZ way
PersonY helps PersonX move,PersonX helps PersonY move
PersonX hinders PersonY move,PersonX helps PersonY move
PersonX lets PersonY sleep,PersonX helps PersonY stay awake
PersonX helps PersonY go to sleep,PersonX helps PersonY stay awake
PersonX ignores PersonY's brother.,PersonX helps PersonY's brother
PersonX's back hurts too much to help PersonY move,PersonX helps PersonY's move
PersonX stays over the covers,PersonX hides under the covers
PersonX  sleeps under the covers,PersonX hides under the covers
PersonX walks away slowly.,PersonX hightails it
PersonX slows down,PersonX hightails it
PersonX missed by lightning,PersonX hits by lightning
PersonX hits by rain,PersonX hits by lightning
PersonX hits PersonX's mom,PersonX hits PersonX's friend
PersonX recognizes the bodily autonomy of PersonX's friends.,PersonX hits PersonX's friend
PersonX greets PersonY's friend.,PersonX hits PersonY's friend
PersonX remains anonymous,PersonX hits the headlines
PersonX goes home.,PersonX hits the road
PersonX stays at home,PersonX hits the road
PersonX listens calmly,PersonX hits the roof
PersonX hits the floor,PersonX hits the roof
PersonX forgives everyone.,PersonX holds a grudge
PersonX forgives,PersonX holds a grudge
PersonX lets go,PersonX holds on for dear life
PersonX lets go.,PersonX holds on for dear life
Personx lets persony go,PersonX holds PersonY in place
PersonX loses PersonY place,PersonX holds PersonY place
PersonY holds PersonX's place,PersonX holds PersonY place
PersonX bores PersonY,PersonX holds PersonY's attention
PersonX hopes would follow,PersonX hopes would lead
PersonX dreads being in charge,PersonX hopes would lead
PersonX stays home alone,PersonX hosts a party
PersonX has a quiet night alone.,PersonX hosts a party
PersonX disperses with PersonY,PersonX huddles together
PersonX spreads eagle.,PersonX huddles together
PersonX ignores PersonY.,PersonX hugs PersonY
PersonX stabs PersonY,PersonX hugs PersonY
PersonX is unhurt,PersonX hurts like hell
PersonX feels physically fine,PersonX hurts like hell
PersonX immediately ended,PersonX immediately began
PersonX waited to begin.,PersonX immediately began
PersonX is embarrassed by PersonY's work.,PersonX impresses by PersonY's work
PersonX unimpressed by PersonY's work,PersonX impresses by PersonY's work
PersonX disappoints with PersonX's work,PersonX impresses with PersonX's work
PersonX's work is poor.,PersonX impresses with PersonX's work
PersonX makes worse PersonX's appearance,PersonX improves PersonX's appearance
PersonX destroys PersonX's appearance,PersonX improves PersonX's appearance
PersonX makes PersonX's grades worse,PersonX improves PersonX's grades
PersonX contradicts PersonX,PersonX improves PersonX's position
yes person X can improve themselves,PersonX improves PersonX's position
PersonX ruins PersonX's sales,PersonX improves PersonX's sales
PersonX falls to last place in sales,PersonX improves PersonX's sales
PersonX improves PersonY's grades,PersonX improves PersonY's appearance
PersonX ruins PersonY's hair.,PersonX improves PersonY's appearance
PersonX decreases PersonX's capacity,PersonX increases PersonX's capacity
PersonX gets winded easily.,PersonX increases PersonX's capacity
PersonX decreases PersonX's knowledge,PersonX increases PersonX's knowledge
PersonX decreases PersonX's knowledge.,PersonX increases PersonX's knowledge
PersonX falls for a hoax,PersonX increases PersonY's knowledge
PersonX depletes PersonY's knowledge,PersonX increases PersonY's knowledge
PersonX likes to be alone,PersonX invites people
PersonX hates people.,PersonX invites people
PersonX goes out,PersonX invites people over
PersonX cancels the event.,PersonX invites people over
PersonX excludes PersonY from the party,PersonX invites PersonY over
personx invites persony to wrestle,PersonX invites PersonY to play
PersonX is 50 years old,PersonX is 5 years old
PersonX is 90 years old.,PersonX is 5 years old
PersonX is a senior in college.,PersonX is a freshman in college
PersonX is an evil person.,PersonX is a good person
PersonX is completely evil,PersonX is a good person
PersonX is a clumsy soccer player,PersonX is a good soccer player
PersonX is a horrible soccer player,PersonX is a good soccer player
PersonX is a bad swimmer,PersonX is a good swimmer
PersonX is an old man.,PersonX is a little girl
PersonX is an alien.,PersonX is a little girl
PersonX is a short ride a way,PersonX is a long drive
PersonX is short.,PersonX is a long drive
PersonX is a slow learner,PersonX is a quick learner
PersonX is uncoordinated.,PersonX is a star athlete
PersonX is really frugal,PersonX is a waste of money
PersonX is priceless.,PersonX is a waste of money
PersonX is a garbage disposal man,PersonX is a web developer
PersonX broke it.,PersonX is able to fix it
