neg_event,event
PersonX quits a race,PersonX enters a race
PersonX establishes PersonY job,PersonX establishes PersonY relationship
PersonX ignores PersonY's performance,PersonX evaluates PersonY's performance
PersonX eventually got up,PersonX eventually fell
Person X holds a grudge,PersonX eventually gave in
PersonX is afraid to get close to PersonY,PersonX examines PersonY closely
PersonX keeps gifts,PersonX exchanges gifts
PersonX explains PersonY inwards,PersonX explains PersonY away
PersonX uses morse code to explain everything to PersonY,PersonX explains everything to PersonY
PersonX listens to the rules being read,PersonX explains the rules
PersonX listens to PersonY's explanation,PersonX explains the situation to PersonY
PersonX keeps the explanation from PersonY.,PersonX explains to PersonY
PersonX holds in the idea,PersonX expresses PersonY idea
PersonX learns to despise PersonY,PersonX falls in love with PersonY
PersonX helps PersonY up.,PersonX falls on PersonY
PersonX loves life.,PersonX fears for PersonX's life
personx was a fter persony,PersonX fears for PersonY's life
PersonX feels PersonY's soul,PersonX feels PersonY's body
PersonX feels PersonY's toes,PersonX feels PersonY's fingers
PersonX feels PersonY's foot,PersonX feels PersonY's hand
PersonX feels their own heart.,PersonX feels PersonY's heart
PersonX numbs PersonY's pulse,PersonX feels PersonY's pulse
PersonX is comfortable,PersonX feels contractions
PersonX feels sad,PersonX feels glad
PersonX feels even more wretched than before.,PersonX feels much better after
PersonX feels really normal,PersonX feels really weird
PersonX feels happy,PersonX feels sorry
PersonX feels joy for PersonY,PersonX feels sorry for PersonY
personx feels good,PersonX feels very ill
PersonX caught the fish,PersonX fees the fish
PersonX supports PersonY.,PersonX fights PersonY
PersonX kisses PersonY after school,PersonX fights PersonY after school
PersonX gives up PersonX's life,PersonX fights for PersonX's life
PersonX gives up on PersonY,PersonX fights for PersonY's life
PersonX plays with PersonY,PersonX fights with PersonY
PersonX is being sued.,PersonX files a complaint
PersonX files for a marriage,PersonX files for a divorce
PersonX is in good financial standing,PersonX files for bankruptcy
PersonX stays with their spouse.,PersonX files for divorce
PersonX sees that PersonY has a full gas tank,PersonX fills PersonY's gas tank
PersonX fills PersonY with anguish.,PersonX fills PersonY's heart
PersonX emptys PersonY's pipe,PersonX fills PersonY's pipe
PersonX empties PersonY's tank,PersonX fills PersonY's tank
PersonX finally left,PersonX finally arrived
PersonX gets lost on the way to class,PersonX finds PersonX's class
PersonX loses PersonX's dad,PersonX finds PersonX's dad
PersonX loses PersonX's mother.,PersonX finds PersonX's mother
PersonX misses PersonX's parents.,PersonX finds PersonX's parents
PersonX fills out a missing persons report for PersonY,PersonX finds PersonY
PersonX finds PersonY a puppy,PersonX finds PersonY a man
PersonX finds PersonY a dog,PersonX finds PersonY a place
PersonX lost PersonY again,PersonX finds PersonY again
PersonY ignored PersonX,PersonX finds PersonY audience
PersonX loses PersonY's evidence,PersonX finds PersonY evidence
PersonX finds PersonY's dog,PersonX finds PersonY's cat
PersonX gets lost,PersonX finds PersonY's class
PersonX hides PersonY's dog,PersonX finds PersonY's dog
PersonX loses Persony's family.,PersonX finds PersonY's family
PersonX jumps from the cliffs.,PersonX finds PersonY's keys
PersonX steals PersonY's lost dog,PersonX finds PersonY's lost dog
PersonX finds PersonY's father,PersonX finds PersonY's mother
PersonX answers PersonY's phone.,PersonX finds PersonY's phone
PersonX gets stood up.,PersonX finds a date
PersonX finds a man.,PersonX finds a girl
PersonX quits their job,PersonX finds a new job
PersonX loses a toy,PersonX finds a toy
PersonX loses a twenty dollar bill.,PersonX finds a twenty dollar bill
PersonX becomes homeless,PersonX finds it a new home
PersonX loses it for PersonY,PersonX finds it for PersonY
PersonX loses my dog,PersonX finds my dog
PersonX loses my keys.,PersonX finds my keys
PersonX loses the movie,PersonX finds the movie
PersonX finds a regular mutt.,PersonX finds the perfect dog
PersonX hides what PersonY was looking for,PersonX finds what PersonY was looking for
PersonX begins PersonX's report,PersonX finishes PersonX's report
PersonX skips PersonY's hike.,PersonX finishes PersonY's hike
PersonX starts PersonY's paper,PersonX finishes PersonY's paper
PersonX finishes their own song.,PersonX finishes PersonY's song
PersonX finishes baking a cake,PersonX finishes high school
PersonX quits the game,PersonX finishes the game
They hired them,PersonX fires PersonY on the spot
PersonX keeps their job,PersonX fires from PersonY's job
PersonX is opposite of PersonY,PersonX fits PersonY well
PersonX breaks PersonY's flat tire,PersonX fixes PersonY's flat tire
PersonX fixes PersonY's computer,PersonX fixes PersonY's hair
PersonX hires someone to fix PersonY's roof,PersonX fixes PersonY's roof
PersonX slashes PersonY's tire,PersonX fixes PersonY's tire
PersonX breaks PersonY's wagon.,PersonX fixes PersonY's wagon
PersonX breaks the air conditioner,PersonX fixes the air conditioner
PersonX breaks things,PersonX fixes things
Personx looks away from PersonY,PersonX fixes upon PersonY
PersonX keeps their cool,PersonX flies off at a tangent
PersonX is stuck in the traps,PersonX flies out of the traps
PersonX walks to PersonY,PersonX flies to PersonY
PersonX remains calm and cool.,PersonX flips PersonX's wig
PersonX sinks PersonY's boat,PersonX floats PersonY's boat
PersonX leaves the toilet unflushed,PersonX flushes the toilet
PersonX pulls PersonY's arms apart,PersonX folds PersonY's arms
PersonX folds PersonY's legs,PersonX folds PersonY's hands
PersonX leads PersonY everywhere,PersonX follows PersonY everywhere
PersonX ignores PersonY's example.,PersonX follows PersonY's example
PersonX has PersonY to their home.,PersonX follows PersonY's home
PersonX ignores the directions.,PersonX follows the directions
PersonX ignores the doctor's advice.,PersonX follows the doctor's advice
Person X rebels and breaks rules,PersonX follows the rules
PersonX gives PersonY freedom,PersonX forces PersonY's hand
PersonX breaks PersonY alliance.,PersonX forges PersonY alliance
PersonX remembers PersonX's lines.,PersonX forgets PersonX's lines
PersonX makes plans for PersonY's birthday.,PersonX forgets PersonY's birthday
PersonX handed PersonY the keys,PersonX forgets PersonY's keys
PersonX remembers PersonY's list,PersonX forgets PersonY's list
PersonX wakes PersonY on time.,PersonX forgets to set PersonY's alarm
PersonX stabs PersonX's friend,PersonX forgives PersonX's friend
personx is angry at persony,PersonX forgives PersonY
PersonX walks away from PersonY.,PersonX forms PersonY army
PersonX pleases PersonY.,PersonX freaks PersonY out
PersonX reels PersonY in.,PersonX frightens PersonY away
PersonX often delights PersonY.,PersonX frustrates PersonY
PersonX ignores PersonY's needs.,PersonX fulfills PersonY's obligations
PersonX confuses PersonY more,PersonX furthers PersonY's understanding
PersonX loses PersonY's understanding,PersonX gains PersonY understanding
PersonX closes their business,PersonX gains new clients
PersonX stays home alone.,PersonX gathers PersonX's friends
PersonX gathers PersonY's bank accounts,PersonX gathers PersonY's friends
PersonX gazes away from PersonY's eyes,PersonX gazes into PersonY's eyes
PersonX loses PersonX's check,PersonX gets PersonX's check
PersonX keeps their claws in.,PersonX gets PersonX's claws out
PersonX gets a soul-crushing job,PersonX gets PersonX's dream job
PersonX gets PersonX's umpteenth car,PersonX gets PersonX's first car
PersonX stays away from PersonX's friends.,PersonX gets PersonX's friends together
PersonX loses PersonX's medicine.,PersonX gets PersonX's medicine
PersonX moves in with their parents.,PersonX gets PersonX's own apartment
PersonX drops off PersonX's son,PersonX gets PersonX's son
PersonX gets PersonY a cat.,PersonX gets PersonY a dog
PersonX pulls a prank on PersonY,PersonX gets PersonY a gift
PersonX gets PersonY a horrible gift.,PersonX gets PersonY a great gift
PersonX fires PersonY,PersonX gets PersonY a job
PersonX gets PersonY an old one,PersonX gets PersonY a new one
PersonX gives PersonY a punishment.,PersonX gets PersonY a present
PersonX gets PersonY a ferrari,PersonX gets PersonY a puppy
PersonX gets PersonY some ice cream,PersonX gets PersonY abortion
PersonX gives PersonY education,PersonX gets PersonY education
PersonX helps PersonY,PersonX gets PersonY into trouble
PersonX gets PersonY into rehab,PersonX gets PersonY money
PersonX tears up PersonY's picture.,PersonX gets PersonY picture
Person X ignores Person Y,PersonX gets PersonY started
PersonX gives PersonY an autograph,PersonX gets PersonY's autograph
PersonX gets PersonY's car,PersonX gets PersonY's bike
Person X gets Person Y's magazines,PersonX gets PersonY's books
PersonX steals PersonY's car,PersonX gets PersonY's car back
PersonX wrecks PersonY's car,PersonX gets PersonY's car fixed
PersonX loses PersonY's dog.,PersonX gets PersonY's dog
Person X gets Person Y's mother.,PersonX gets PersonY's father
PersonX forgets PersonY's food,PersonX gets PersonY's food
PersonX ignores PersonY's friends.,PersonX gets PersonY's friends
PersonX gets PersonY's friends apart,PersonX gets PersonY's friends together
PersonY grows their hair out,PersonX gets PersonY's hair cut
personX lost personys lunch,PersonX gets PersonY's lunch
PersonX sends PersonY's mail,PersonX gets PersonY's mail
PersonX gives PersonY's money back,PersonX gets PersonY's money back
PersonX crashes PersonY's new car,PersonX gets PersonY's new car
PersonX sends PersonY's parents away,PersonX gets PersonY's parents
PersonX gets PersonY's book,PersonX gets PersonY's phone
PersonX left PersonY's phone there,PersonX gets PersonY's phone back
PersonX chickens out of asking PersonY for their number.,PersonX gets PersonY's phone number
PersonX loses PersonY's stuff,PersonX gets PersonY's stuff
PersonX ignores PersonY's things,PersonX gets PersonY's things
PersonX leaves PersonY's things.,PersonX gets PersonY's things together
PersonX gets PersonY's inheritance,PersonX gets PersonY's ticket
PersonX gets PersonY's grass,PersonX gets PersonY's tree
PersonX gets PersonY's pet back,PersonX gets PersonY's wallet back
PersonX gets the best grade in the class,PersonX gets a bad grade
PersonX becomes friends with PersonY.,PersonX gets a date with PersonY
PersonX gets married,PersonX gets a divorce
PersonY gives a gift,PersonX gets a gift
PersonX is single,PersonX gets a girlfriend
PersonX gets a soda.,PersonX gets a glass of water
PersonX takes six strokes.,PersonX gets a hole in one
PersonX quits a job,PersonX gets a job
PersonX loses a job offer.,PersonX gets a job offer
PersonX gets a lot worse,PersonX gets a lot better
Person X quits their job.,PersonX gets a new boss
PersonX is a full time student,PersonX gets a new job
PersonX gives out a loan,PersonX gets a payday loan
PersonX makes a phone call,PersonX gets a phone call
PersonX gives a puppy away,PersonX gets a puppy
PersonX walks.,PersonX gets a ride
PersonX studies alone,PersonX gets a tutor
PersonX gets a accepted,PersonX gets a wiggle on
PersonX separates all of PersonX's friends.,PersonX gets all PersonX's friends together
PersonX disperses PersonY's friends,PersonX gets all PersonY's friends together
Person X hates everyone.,PersonX gets along with others
PersonX is very happy with PersonY,PersonX gets angry at PersonY
PersonX catches PersonY,PersonX gets away from PersonY
Person X get caught committing murder,PersonX gets away with murder
PersonX gets back to weird,PersonX gets back to normal
PersonX gets good news.,PersonX gets bad news
PersonX is eager to begin,PersonX gets cold feet
PersonX is in a wheelchair,PersonX gets down on one knee
PersonX gets hired,PersonX gets fired
PersonX is a sleep in bed,PersonX gets flowers
PersonX gets fired,PersonX gets hired
PersonX struggles to reach PersonY,PersonX gets hold of PersonY
PersonX gets home from camp.,PersonX gets home from school
PersonX stays home from work,PersonX gets home from work
PersonX walks past PersonY's car,PersonX gets into PersonY's car
PersonX leaves it broken.,PersonX gets it working
PersonX gets found in the woods,PersonX gets lost in the woods
PersonX gets happy,PersonX gets mad
PersonX gets divorced.,PersonX gets married
PersonX gets divorced a year later,PersonX gets married a year later
PersonX gets divorced from PersonY,PersonX gets married in PersonY
PersonX gets divorced today,PersonX gets married today
PersonX loses my money,PersonX gets my money
PersonX was mugged and robbed,PersonX gets my money back
PersonX gets farther from PersonY,PersonX gets near PersonY
PersonX gets old glasses,PersonX gets new glasses
PersonX  goes into PersonY's car.,PersonX gets out of PersonY's car
PersonX loses popularity,PersonX gets popular
PersonX rejects a date.,PersonX gets ready for a date
PersonX expresses love to PersonY,PersonX gets rid of PersonY
PersonX gets married.,PersonX gets separated
Person X gets some great news.,PersonX gets some bad news
PersonX gets some fruit,PersonX gets some candy
PersonX gets some enemies,PersonX gets some friends
PersonX stays home alone,PersonX gets some friends together
PersonX is benched for a penalty,PersonX gets the ball
PersonX gets the clean water off PersonX's chest,PersonX gets the dirty water off PersonX's chest
PersonX gives the food.,PersonX gets the food
PersonX gets the worst role,PersonX gets the lead role
Person Y leaves Person X's house.,PersonX gets to PersonY's house
PersonX gets to know PersonY worse,PersonX gets to know PersonY better
PersonX gets a new vice,PersonX gets treatment
PersonX is excited to wake up,PersonX gets up on the wrong side of the bed
PersonX gets very sober,PersonX gets very drunk
PersonX gives Person Y what PersonY wanted,PersonX gets what PersonY wanted
PersonX is hesitant on the terms.,PersonX gives PersonX's consent
PersonX takes their friends,PersonX gives PersonX's friends
PersonX gives their boyfriend,PersonX gives PersonX's girlfriend
PersonX gives PersonX's dad,PersonX gives PersonX's mom
Personx took PersonX's money.,PersonX gives PersonX's money
PersonX takes PersonX's mother,PersonX gives PersonX's mother
PersonX gives PErsonX's fight,PersonX gives PersonX's speech
PersonX takes their wife,PersonX gives PersonX's wife
PersonX gives PersonY sunscreen.,PersonX gives PersonY a blanket
PersonX demotes PersonY,PersonX gives PersonY a bonus
PersonX orders PersonY to work faster,PersonX gives PersonY a break
PersonX texts PersonY,PersonX gives PersonY a call
PersonX gives PersonY a fine,PersonX gives PersonY a chance
PersonX gives PersonY the original.,PersonX gives PersonY a copy
PersonX takes a bowl from PersonY.,PersonX gives PersonY a cup
PersonX rips off PersonY,PersonX gives PersonY a deal
PersonX gives PersonY a back rub,PersonX gives PersonY a discount
PersonX takes PersonY's drink,PersonX gives PersonY a drink
PersonX gets stared at.,PersonX gives PersonY a funny look
PersonX steals something from PersonY.,PersonX gives PersonY a gift
PersonX gives PersonY a bowl,PersonX gives PersonY a glass
PersonX gives PersonY a scowl,PersonX gives PersonY a grin
PersonX gives PersonY a shave,PersonX gives PersonY a haircut
PersonX is too busy to assist PersonY,PersonX gives PersonY a hand
PersonX lets PersonY off easily,PersonX gives PersonY a hard time
PersonX gives PersonY a low five,PersonX gives PersonY a high five
PersonX gives PersonY a boat,PersonX gives PersonY a home
PersonX gives PersonY a small hug,PersonX gives PersonY a huge hug
PersonX fires PersonY.,PersonX gives PersonY a job
PersonX hugs PersonY,PersonX gives PersonY a kick
PersonX is taught a lesson by PersonY,PersonX gives PersonY a lesson
PersonX takes PersonY  life,PersonX gives PersonY a life
PersonX keeps things from PersonY.,PersonX gives PersonY a lot
PersonX made PersonY look like a clown,PersonX gives PersonY a makeover
PersonX gets a massage from PersonY,PersonX gives PersonY a massage
Person Y deletes a message.,PersonX gives PersonY a message
PersonX is alone all day,PersonX gives PersonY a opportunity
PersonX gives PersonY a hug,PersonX gives PersonY a pat
PersonX gives PersonY a gift,PersonX gives PersonY a picture
PersonX takes PersonY's piece,PersonX gives PersonY a piece
PersonX returns the present they bought for PersonY.,PersonX gives PersonY a present
PersonX gives PersonY a demotion,PersonX gives PersonY a promotion
PersonX gives PersonY a horse,PersonX gives PersonY a puppy
PersonX docked PersonY's pay.,PersonX gives PersonY a raise
PersonX gives PersonY nothing,PersonX gives PersonY a reception
PersonX forgets to give PersonY the report.,PersonX gives PersonY a report
PersonX receives a fine.,PersonX gives PersonY a reward
PersonX gives PersonY  a lecture,PersonX gives PersonY a ride
PersonX leaves PersonY stranded.,PersonX gives PersonY a ride home
PersonX takes PersonY's ring,PersonX gives PersonY a ring
PersonX takes PersonY seat,PersonX gives PersonY a seat
PersonX keeps PersonY from receiving any,PersonX gives PersonY a share
PersonX gets shoved by PersonY,PersonX gives PersonY a shove
PersonX sees a sign from PersonY,PersonX gives PersonY a sign
PersonX gives PersonY a frown,PersonX gives PersonY a smile
PersonX looks away,PersonX gives PersonY a stare
PersonX takes off from PersonY,PersonX gives PersonY a start
PersonX gets a summons.,PersonX gives PersonY a ticket
PersonX lets PersonY figure it out alone.,PersonX gives PersonY a tour
PersonX says goodbye to PersonY.,PersonX gives PersonY a welcome
PersonX gives PersonY a nudge,PersonX gives PersonY a wink
PersonX takes away PersonY's advantage,PersonX gives PersonY advantage
PersonX gives PersonY a disease.,PersonX gives PersonY aid
PersonX keeps to themselves,PersonX gives PersonY an earful
PersonX declines PersonY's application,PersonX gives PersonY an interview
PersonX dismisses PersonY,PersonX gives PersonY another chance
PersonX gives PersonY a gift card,PersonX gives PersonY comfort
PersonX lost PersonY control,PersonX gives PersonY control
PersonX takes credit for PersonY's work,PersonX gives PersonY credit
PersonX keeps secrets from PersonY.,PersonX gives PersonY details
PersonX drives to the destination,PersonX gives PersonY direction
PersonX see's nobody,PersonX gives PersonY directions
PersonX takes dollars from PersonY,PersonX gives PersonY dollars
PersonX keeps PersonY ignorant.,PersonX gives PersonY education
PersonX decides against hiring PersonY.,PersonX gives PersonY employment
PersonX gets flowers from PersonY,PersonX gives PersonY flowers
PersonX takes PersonY freedom,PersonX gives PersonY freedom
PersonX receives PersonY's gifts,PersonX gives PersonY gifts
PersonX takes away his head,PersonX gives PersonY his head
PersonX tells PersonY bad news.,PersonX gives PersonY hopes
PersonX gives PersonY credit.,PersonX gives PersonY idea
PersonX forgets to tell PersonY.,PersonX gives PersonY indication
PersonX gives PersonY false information,PersonX gives PersonY information
PersonX gives PersonY questions,PersonX gives PersonY instructions
PersonX takes PersonY knowledge,PersonX gives PersonY knowledge
PersonX makes PersonY stay,PersonX gives PersonY leave
PersonX gives PersonY trouble.,PersonX gives PersonY life
PersonX gives PersonY a ride home,PersonX gives PersonY medicine
PersonX takes PersonY's money.,PersonX gives PersonY money
PersonX gives PersonY something,PersonX gives PersonY nothing
PersonX takes PersonY's orders,PersonX gives PersonY order
PersonX gives PersonY gifts.,PersonX gives PersonY orders
PersonX gives PersonY weakness,PersonX gives PersonY powers
PersonX takes PersonY's reason,PersonX gives PersonY reason
PersonX takes PersonY some,PersonX gives PersonY some
PersonX takes PersonY's time away,PersonX gives PersonY some time
PersonX neglects PersonY.,PersonX gives PersonY some water
PersonX takes PersonY's virginity,PersonX gives PersonY something
PersonX gets close to PersonY,PersonX gives PersonY space
PersonX gives PersonY the question,PersonX gives PersonY the answer
PersonX doubts PersonY,PersonX gives PersonY the benefit
PersonX gives PersonY the worst.,PersonX gives PersonY the best
PersonX takes away PersonY's chair,PersonX gives PersonY the chair
PersonX takes PersonY's gift,PersonX gives PersonY the gift
PersonX withholds information from PersonY.,PersonX gives PersonY the information
PersonX gives PersonY the unfortunate,PersonX gives PersonY the means
PersonX steals the money from PersonY.,PersonX gives PersonY the money
PersonX gives PersonY the meal recipe,PersonX gives PersonY the names
PersonX takes PersonY's rights,PersonX gives PersonY the right
PersonX gives PersonY the dissatisfaction,PersonX gives PersonY the satisfaction
PersonX gives PersonY the date,PersonX gives PersonY the time
PersonX strips PersonY's title,PersonX gives PersonY the title
Person Y takes things,PersonX gives PersonY things
PersonX gives PersonY this threat,PersonX gives PersonY this opportunity
PersonX takes PeronY's tips,PersonX gives PersonY tips
PersonX takes PersonY from PersonZ,PersonX gives PersonY to PersonZ
PersonX gives PersonY teaching,PersonX gives PersonY training
PersonX gives PersonY peace,PersonX gives PersonY trouble
PersonX takes PersonY utterance,PersonX gives PersonY utterance
PersonX takes away PersonY value,PersonX gives PersonY value
PersonX gives PersonY play,PersonX gives PersonY work
PersonX gives PersonY's fruit,PersonX gives PersonY's candy
PersonX gives PersonY's a thrashing,PersonX gives PersonY's directions
PersonX steals PersonY's flowers,PersonX gives PersonY's flowers
PersonX gives PersonY's boyfriend,PersonX gives PersonY's girlfriend
PersonY gives PersonX's hand,PersonX gives PersonY's hand
PersonX saves PersonY's kids.,PersonX gives PersonY's kids
PersonX takes PersonY's ticket,PersonX gives PersonY's tickets
PersonX gives a terrible performance,PersonX gives a great performance
PersonX records a speech,PersonX gives a speech
Person takes gifts,PersonX gives gifts
PersonX keeps it.,PersonX gives it away
PersonX takes it away from PErsonY,PersonX gives it back to PersonY
PersonX gives it to PersonX's uncle,PersonX gives it to PersonX's mom
PersonX takes the item from PersonX's mother.,PersonX gives it to PersonX's mother
Person X takes it from his son.,PersonX gives it to PersonX's son
PersonX gives it directly to PersonY,PersonX gives it to PersonY's mother
PersonX takes it away from PersonY's son.,PersonX gives it to PersonY's son
PersonX takes one,PersonX gives one
PersonX gets a gift,PersonX gives the gift
PersonX receives money,PersonX gives the money
Personx treats like dirt.,PersonX gives the royal treatment
PersonX observes the speech,PersonX gives the speech
PersonX keeps from tom,PersonX gives tom
PersonX saves PersonX's life,PersonX gives up PersonX's life
PersonX keeps PersonY,PersonX gives up PersonY
PersonX keeps the answer to themselves,PersonX gives you PersonY answer
PersonX takes an opportunity from PersonY.,PersonX gives you PersonY opportunity
PersonX leaves as well,PersonX goes as well
PersonX leaves PersonY.,PersonX goes back to PersonY
PersonX brings PersonY to PersonX's house,PersonX goes back to PersonY's house
PersonX leaves PersonY's place.,PersonX goes back to PersonY's place
PersonX is stranded,PersonX goes back to my house
PersonX gives up.,PersonX goes back to the beginning
PersonX does just enough to get by.,PersonX goes beyond the scope
PersonX doesn’t believe in Christmas,PersonX goes christmas shopping
PersonX goes fishing alone.,PersonX goes fishing together
PersonX does something at home with PersonX's dad.,PersonX goes fishing with PersonX's dad
PersonX goes hiking with their mother,PersonX goes fishing with PersonX's father
Person X goes fishing by themself,PersonX goes fishing with PersonX's friends
PersonX goes hunting with PersonX's grandfather,PersonX goes fishing with PersonX's grandfather
PersonX is afraid of water,PersonX goes fishing with PersonY's dad
Person X goes to a funeral with Person Y's father.,PersonX goes fishing with PersonY's father
PersonX misses fishing with my dad.,PersonX goes fishing with my dad
PersonX walks away,PersonX goes for the jugular
PersonX backs off.,PersonX goes for the throat
PersonX dines and dashes,PersonX goes halfsies
PersonX pays entire bill.,PersonX goes halves
PersonX stays at work for the day.,PersonX goes home for the day
PersonX goes planting with PersonY,PersonX goes hunting with PersonY
PersonX goes skiing,PersonX goes ice skating
PersonX stays home,PersonX goes looking for PersonY
PersonX hates mini golfing,PersonX goes mini golfing
PersonX cancels a date with PersonY,PersonX goes on a date with PersonY
PersonX repulses PersonY,PersonX goes out with PersonY
PersonX goes to work.,PersonX goes play
PersonX ignores their health issues.,PersonX goes see the doctor
PersonX shovels snow.,PersonX goes sledding
PersonX goes tanning with friends,PersonX goes swimming with friends
PersonY goes talk to PersonX,PersonX goes talk to PersonY
PersonX invites friends to their house,PersonX goes to PersonX's friend's house
PersonX leaves PersonY's room.,PersonX goes to PersonY room
Person X leaves person Y's,PersonX goes to PersonY's
PersonX goes away from PersonY's car.,PersonX goes to PersonY's car
PersonX goes to PersonY's grandmother's apartment,PersonX goes to PersonY's grandmother's house
PersonX leaves from PersonY's home,PersonX goes to PersonY's home
PersonX leaves PersonY's room,PersonX goes to PersonY's room
PersonX leaves from a party with PersonX's friends,PersonX goes to a party with PersonX's friends
PersonX goes to Paris,PersonX goes to canossa
PersonX leaves from my friend's house,PersonX goes to my friend's house
Person X skips school.,PersonX goes to school today
Person X leaves the bar with friends,PersonX goes to the bar with friends
PersonX goes to the park with PErsonY's family.,PersonX goes to the beach with PersonX's family
PersonX goes to the mountains with PersonX's friends,PersonX goes to the beach with PersonX's friends
PersonX goes to the mountains with PersonY's family,PersonX goes to the beach with PersonY's family
PersonX goes to the business convention with PersonY's friends,PersonX goes to the beach with PersonY's friends
PersonX loses a tooth.,PersonX goes to the dentist's office
PersonX gets hardware delivered,PersonX goes to the hardware store
PersonX goes for shopping with PersonX's friends,PersonX goes to the movies with PersonX's friends
PersonX goes to the mall with PersonX's mother,PersonX goes to the store with PersonX's mother
PersonX leaves the store with PersonY's mother.,PersonX goes to the store with PersonY's mother
PersonX gets stuck at work.,PersonX goes to the zoo with PersonX's family
PersonX moves away from PersonY,PersonX goes up to PersonY
PersonX hides from personY.,PersonX goes visit PersonY
PersonX goes wrong with PersonY,PersonX goes well with PersonY
PersonX begs PersonY.,PersonX goes without PersonY
Person X slaps Person Y.,PersonX grabs PersonY's arm
Person X kisses Person Y.,PersonX grabs PersonY's arms
PersonX grabs PersonY's purse,PersonX grabs PersonY's backpack
PersonX gives PersonY their bag.,PersonX grabs PersonY's bag
PersonX grabs PersonY's butt.,PersonX grabs PersonY's face
PersonX grabs PersonY's foot,PersonX grabs PersonY's hand
PersonX is riding a bike,PersonX grabs PersonY's phone
PersonX lets go of PersonY's purse,PersonX grabs PersonY's purse
PersonX returns PersonY's lost items,PersonX grabs PersonY's things
PersonX touches PersonY's wallet,PersonX grabs PersonY's wallet
PersonX grabs PersonY's leg,PersonX grabs PersonY's wrist
PersonX washes PersonY's palm.,PersonX greases PersonY's palm
PersonX yells at PersonY at the door,PersonX greets PersonY at the door
PersonX respects PersonY's space,PersonX grinds PersonY's hips
PersonX frowns,PersonX grins like a cheshire cat
PersonX guides PersonY even more calmly.,PersonX guides PersonY even more forcefully
Person X grabs person Y's hat,PersonX hands PersonY his hat
PersonX takes from PersonY the letter,PersonX hands PersonY the letter
PersonX snatches it from  PersonY,PersonX hands it to PersonY
Person X puts a picture down,PersonX hangs a picture
PersonX stays away from PersonY.,PersonX hangs around PersonY
PersonX ignores every word,PersonX hangs on every word
Person X stay on the line with PersonY,PersonX hangs up on PersonY
PersonX entertains PersonY,PersonX harasses PersonY
PersonX has PersonX's parents,PersonX has PersonX's baby
PersonX has a block party.,PersonX has PersonX's birthday party
PersonX has a miscarriage.,PersonX has PersonX's first baby
Person X withdraws their hand,PersonX has PersonX's hand out
PersonX adopts a baby with PersonY,PersonX has PersonY's baby
PersonX hurts PersonY.,PersonX has PersonY's back
PersonX has PersonY's funeral service,PersonX has PersonY's birthday party
PersonX has an older girl.,PersonX has a baby boy
PersonX has a bad idea,PersonX has a great idea
PersonX has a bad time at PersonY's party,PersonX has a great time at PersonY's party
PersonX has a bad time at the concert.,PersonX has a great time at the concert
PersonX was miserable and left the party early.,PersonX has a great time at the party
PersonX has a worst time catching up,PersonX has a great time catching up
Person X holds a funeral wake.,PersonX has a halloween party
PersonX has a small gathering.,PersonX has a huge party
PersonX has a new girlfriend,PersonX has a new boyfriend
PersonX only has old friends.,PersonX has a new friend
PersonX is timid.,PersonX has a pair
PersonX has a happy attack,PersonX has a panic attack
PersonX sits alone at PersonX's house,PersonX has a party at PersonX's house
PersonX has a study group at PersonY's house,PersonX has a party at PersonY's house
PersonX has a pity party,PersonX has a pizza party
PersonX has a giant dog,PersonX has a small dog
PersonX plays in the sand.,PersonX has a snowball fight
PersonX has old info for PersonY,PersonX has a surprise for PersonY
PersonX has a test coming down,PersonX has a test coming up
PersonX despises PersonY,PersonX has always wanted to see PersonY
PersonX is going on the first date,PersonX has been dating for a year
PersonX has healed PersonY's leg,PersonX has broken PersonY's leg
PersonX has lunch at PersonY's house,PersonX has dinner at PersonY's house
PersonX has coffee together,PersonX has dinner together
PersonX has breakfast with PersonY,PersonX has dinner with PersonY
PersonX was bored with PersonX's friends.,PersonX has fun with PersonX's friends
PersonX despises PersonY's friends.,PersonX has fun with PersonY's friends
PersonX has found the car keys,PersonX has gone missing
Person x is in perfect health,PersonX has health issues
PersonX has just gotten divorced,PersonX has just gotten married
PersonX has just graduated high school,PersonX has just graduated college
PersonX just moved into a new house.,PersonX has just moved into a new apartment
PersonX has lived here for years,PersonX has just moved to a new town
PersonX is hired for a job.,PersonX has lost PersonX's job
PersonX knows where PersonY's keys are,PersonX has lost PersonY's keys
PersonX has so much fun fighting.,PersonX has so much fun playing
PersonX gets one-upped.,PersonX has the last laugh
PersonX is very health conscious.,PersonX has to go to the hospital
Person X calls an Uber for Person Y,PersonX has to take PersonY to the doctor
PersonX heads away from PersonY.,PersonX heads to PersonY
Person X is deaf.,PersonX hears PersonY sing
PersonX is deaf to PersonY,PersonX hears PersonY speak
PersonX ignores PersonY's cry.,PersonX hears PersonY's cry
PersonX speaks PersonY's words,PersonX hears PersonY's words
PersonX is ghosted by PersonY.,PersonX hears back from PersonY
PersonX harms PersonX's mom,PersonX helps PersonX's mom
PersonX hurts PersonY's son.,PersonX helps PersonX's son
PersonX defeats PersonX's team,PersonX helps PersonX's team
PersonX helps PersonX's team lose,PersonX helps PersonX's team win
PersonX hurts PersonY,PersonX helps PersonY at all
PersonX hides it from PersonY,PersonX helps PersonY find it
