neg_event,event,split,neg_cue,neg_cue_type
PersonX under no circumstances takes PersonX's laptop,PersonX takes PersonX's laptop,tst,under no circumstances,multi_word
PersonX under no circumstances laughs PersonY's asses off,PersonX laughs PersonY's asses off,tst,under no circumstances,multi_word
PersonX under no circumstances retains PersonX's position,PersonX retains PersonX's position,tst,under no circumstances,multi_word
PersonX under no circumstances learns new things,PersonX learns new things,tst,under no circumstances,multi_word
PersonX under no circumstances calls an ambulance,PersonX calls an ambulance,tst,under no circumstances,multi_word
PersonX under no circumstances looks like new,PersonX looks like new,tst,under no circumstances,multi_word
PersonX under no circumstances looks like fun,PersonX looks like fun,tst,under no circumstances,multi_word
PersonX under no circumstances gathers the ingredients,PersonX gathers the ingredients,tst,under no circumstances,multi_word
PersonX under no circumstances visits PersonX's daughter,PersonX visits PersonX's daughter,tst,under no circumstances,multi_word
PersonX under no circumstances takes PersonY's place,PersonX takes PersonY's place,tst,under no circumstances,multi_word
PersonX under no circumstances impresses with PersonX's work,PersonX impresses with PersonX's work,tst,under no circumstances,multi_word
PersonX under no circumstances eats less,PersonX eats less,tst,under no circumstances,multi_word
PersonX under no circumstances sits at the dinning room table,PersonX sits at the dinning room table,tst,under no circumstances,multi_word
PersonX under no circumstances takes PersonY on a hike,PersonX takes PersonY on a hike,tst,under no circumstances,multi_word
PersonX under no circumstances catches PersonY's dog,PersonX catches PersonY's dog,tst,under no circumstances,multi_word
PersonX under no circumstances forgets PersonY's wallet,PersonX forgets PersonY's wallet,tst,under no circumstances,multi_word
PersonX under no circumstances sees PersonX's wife,PersonX sees PersonX's wife,tst,under no circumstances,multi_word
PersonX under no circumstances leans back in PersonY's chair,PersonX leans back in PersonY's chair,tst,under no circumstances,multi_word
PersonX under no circumstances tells PersonY must be,PersonX tells PersonY must be,tst,under no circumstances,multi_word
PersonX under no circumstances loves the experience,PersonX loves the experience,tst,under no circumstances,multi_word
PersonX under no circumstances hangs PersonY's clothes,PersonX hangs PersonY's clothes,tst,under no circumstances,multi_word
PersonX under no circumstances argues with PersonX's boyfriend,PersonX argues with PersonX's boyfriend,tst,by no means,multi_word
PersonX under no circumstances tells PersonY no,PersonX tells PersonY no,tst,by no means,multi_word
PersonX under no circumstances makes PersonY assault,PersonX makes PersonY assault,tst,by no means,multi_word
PersonX under no circumstances asks PersonX's grandmother,PersonX asks PersonX's grandmother,tst,by no means,multi_word
PersonX under no circumstances shows PersonY effect,PersonX shows PersonY effect,tst,by no means,multi_word
PersonX under no circumstances hams it up,PersonX hams it up,tst,by no means,multi_word
PersonX under no circumstances misses work,PersonX misses work,tst,by no means,multi_word
PersonX under no circumstances seeks PersonY answer,PersonX seeks PersonY answer,tst,by no means,multi_word
PersonX under no circumstances asks PersonY for money,PersonX asks PersonY for money,tst,by no means,multi_word
PersonX by no means comes to see PersonY,PersonX comes to see PersonY,tst,by no means,multi_word
PersonX by no means realizes PersonY,PersonX realizes PersonY,tst,by no means,multi_word
PersonX by no means unbuckles PersonY's belt,PersonX unbuckles PersonY's belt,tst,by no means,multi_word
PersonX by no means plays PersonY's new game,PersonX plays PersonY's new game,tst,by no means,multi_word
PersonX by no means sings PersonX's heart out,PersonX sings PersonX's heart out,tst,by no means,multi_word
PersonX by no means runs some errands,PersonX runs some errands,tst,by no means,multi_word
PersonX by no means stands on stage,PersonX stands on stage,tst,by no means,multi_word
PersonX by no means wants so badly,PersonX wants so badly,tst,by no means,multi_word
PersonX by no means gets it for PersonY,PersonX gets it for PersonY,tst,by no means,multi_word
PersonX by no means smiles happily,PersonX smiles happily,tst,by no means,multi_word
PersonX by no means draws PersonX's sword,PersonX draws PersonX's sword,tst,by no means,multi_word
PersonX by no means breaks up with PersonY,PersonX breaks up with PersonY,tst,by no means,multi_word
PersonX by no means pulls the car over,PersonX pulls the car over,tst,by no means,multi_word
PersonX by no means withdraws money,PersonX withdraws money,tst,by no means,multi_word
PersonX by no means smells something burning,PersonX smells something burning,tst,by no means,multi_word
PersonX by no means helps PersonX's brother,PersonX helps PersonX's brother,tst,by no means,multi_word
PersonX by no means makes cakes,PersonX makes cakes,tst,by no means,multi_word
PersonX by no means makes up the numbers,PersonX makes up the numbers,tst,by no means,multi_word
PersonX by no means opens PersonY's doors,PersonX opens PersonY's doors,tst,by no means,multi_word
PersonX by no means finds a gold ring,PersonX finds a gold ring,tst,by no means,multi_word
PersonX by no means falls right,PersonX falls right,tst,by no means,multi_word
PersonX by no means switches PersonX's major,PersonX switches PersonX's major,tst,by no means,multi_word
PersonX by no means unlocks the door,PersonX unlocks the door,tst,by no means,multi_word
PersonX by no means keeps PersonX's fingers crossed,PersonX keeps PersonX's fingers crossed,tst,by no means,multi_word
PersonX by no means falls off the back of a truck,PersonX falls off the back of a truck,tst,by no means,multi_word
PersonX by no means comes and see PersonY,PersonX comes and see PersonY,tst,by no means,multi_word
PersonX by no means catches PersonY's attention,PersonX catches PersonY's attention,tst,by no means,multi_word
PersonX by no means gives PersonY PersonX's name,PersonX gives PersonY PersonX's name,tst,by no means,multi_word
PersonX by no means affects PersonY deeply,PersonX affects PersonY deeply,tst,by no means,multi_word
PersonX by no means meets someone,PersonX meets someone,tst,by no means,multi_word
PersonX by no means gives PersonY opinion,PersonX gives PersonY opinion,tst,by no means,multi_word
PersonX by no means starts cooking,PersonX starts cooking,tst,by no means,multi_word
PersonX by no means achieves PersonY level,PersonX achieves PersonY level,tst,by no means,multi_word
PersonX by no means sees a boy,PersonX sees a boy,tst,by no means,multi_word
PersonX by no means gives PersonY a dinner,PersonX gives PersonY a dinner,tst,by no means,multi_word
PersonX by no means wears PersonY's boots,PersonX wears PersonY's boots,tst,by no means,multi_word
PersonX by no means has a lot of money,PersonX has a lot of money,tst,by no means,multi_word
PersonX by no means wants PersonY to come,PersonX wants PersonY to come,tst,by no means,multi_word
PersonX by no means puts PersonX's mind,PersonX puts PersonX's mind,tst,by no means,multi_word
PersonX by no means possesses PersonY knowledge,PersonX possesses PersonY knowledge,tst,by no means,multi_word
PersonX by no means finds PersonX's ring,PersonX finds PersonX's ring,tst,by no means,multi_word
PersonX by no means catches the bus,PersonX catches the bus,tst,by no means,multi_word
PersonX by no means takes a ride to tyburn,PersonX takes a ride to tyburn,tst,by no means,multi_word
PersonX by no means justifies PersonX's actions,PersonX justifies PersonX's actions,tst,by no means,multi_word
PersonX not at all makes thanksgiving dinner,PersonX makes thanksgiving dinner,tst,not at all,multi_word
PersonX not at all writes poetry,PersonX writes poetry,tst,not at all,multi_word
PersonX not at all accepts PersonY's apology,PersonX accepts PersonY's apology,tst,not at all,multi_word
PersonX not at all challenges PersonY's friend,PersonX challenges PersonY's friend,tst,not at all,multi_word
PersonX not at all appreciates PersonY,PersonX appreciates PersonY,tst,not at all,multi_word
PersonX not at all apologizes to PersonY,PersonX apologizes to PersonY,tst,not at all,multi_word
PersonX not at all goes from zero to hero,PersonX goes from zero to hero,tst,not at all,multi_word
PersonX not at all reduces PersonY's dependence,PersonX reduces PersonY's dependence,tst,not at all,multi_word
PersonX not at all likes fish,PersonX likes fish,tst,not at all,multi_word
PersonX not at all helps PersonY's brother,PersonX helps PersonY's brother,tst,not at all,multi_word
PersonX not at all derives PersonY's name,PersonX derives PersonY's name,tst,not at all,multi_word
PersonX not at all leans back in PersonY's chair,PersonX leans back in PersonY's chair,tst,not at all,multi_word
PersonX not at all stops at a store,PersonX stops at a store,tst,not at all,multi_word
PersonX not at all loves meat,PersonX loves meat,tst,not at all,multi_word
PersonX not at all makes a perfect score,PersonX makes a perfect score,tst,not at all,multi_word
PersonX not at all makes contact,PersonX makes contact,tst,not at all,multi_word
PersonX not at all becomes ill,PersonX becomes ill,tst,not at all,multi_word
PersonX not at all wants to learn karate,PersonX wants to learn karate,tst,not at all,multi_word
PersonX not at all goes down the drain,PersonX goes down the drain,tst,not at all,multi_word
PersonX not at all gets dressed,PersonX gets dressed,tst,not at all,multi_word
PersonX barely finds another gear,PersonX finds another gear,tst,barely,single_word
PersonX barely does an amazing job,PersonX does an amazing job,tst,barely,single_word
PersonX barely finds PersonY's shoes,PersonX finds PersonY's shoes,tst,barely,single_word
PersonX barely looks angry,PersonX looks angry,tst,barely,single_word
PersonX barely makes every effort,PersonX makes every effort,tst,barely,single_word
PersonX barely visits PersonY's mother,PersonX visits PersonY's mother,tst,barely,single_word
PersonX barely notices a strange smell,PersonX notices a strange smell,tst,barely,single_word
PersonX barely takes PersonY's stand,PersonX takes PersonY's stand,tst,barely,single_word
PersonX barely cleans PersonX's bedroom,PersonX cleans PersonX's bedroom,tst,barely,single_word
PersonX barely comes into PersonY's eyes,PersonX comes into PersonY's eyes,tst,barely,single_word
PersonX barely puts it in the oven,PersonX puts it in the oven,tst,barely,single_word
PersonX barely increases PersonX's capacity,PersonX increases PersonX's capacity,tst,barely,single_word
PersonX barely hits the headlines,PersonX hits the headlines,tst,barely,single_word
PersonX barely donates plasma,PersonX donates plasma,tst,barely,single_word
PersonX barely looks the other way,PersonX looks the other way,tst,barely,single_word
PersonX barely wins the match,PersonX wins the match,tst,barely,single_word
PersonX barely justifies PersonX's actions,PersonX justifies PersonX's actions,tst,barely,single_word
PersonX barely shuts the door,PersonX shuts the door,tst,barely,single_word
PersonX barely sees a rabbit,PersonX sees a rabbit,tst,barely,single_word
PersonX barely becomes great friends,PersonX becomes great friends,tst,barely,single_word
PersonX barely wants money,PersonX wants money,tst,barely,single_word
PersonX barely apologizes to PersonY,PersonX apologizes to PersonY,tst,barely,single_word
PersonX barely gets PersonX's nails done,PersonX gets PersonX's nails done,tst,barely,single_word
PersonX barely leaves the class,PersonX leaves the class,tst,barely,single_word
PersonX barely gets everything ready,PersonX gets everything ready,tst,barely,single_word
PersonX scarcely looks the other way,PersonX looks the other way,tst,scarcely,single_word
PersonX scarcely begins crying,PersonX begins crying,tst,scarcely,single_word
PersonX scarcely gets some work done,PersonX gets some work done,tst,scarcely,single_word
PersonX scarcely gets sunburned,PersonX gets sunburned,tst,scarcely,single_word
PersonX scarcely bows PersonX's heads,PersonX bows PersonX's heads,tst,scarcely,single_word
PersonX scarcely does well in school,PersonX does well in school,tst,scarcely,single_word
PersonX scarcely finishes the test,PersonX finishes the test,tst,scarcely,single_word
PersonX scarcely sits with PersonY at lunch,PersonX sits with PersonY at lunch,tst,scarcely,single_word
PersonX scarcely shuts the door behind PersonY,PersonX shuts the door behind PersonY,tst,scarcely,single_word
PersonX scarcely follows the recipe exactly,PersonX follows the recipe exactly,tst,scarcely,single_word
PersonX scarcely leaves the class,PersonX leaves the class,tst,scarcely,single_word
PersonX scarcely meets PersonY's standards,PersonX meets PersonY's standards,tst,scarcely,single_word
PersonX scarcely bites PersonX's nails,PersonX bites PersonX's nails,tst,scarcely,single_word
PersonX scarcely falls on PersonY's neck,PersonX falls on PersonY's neck,tst,scarcely,single_word
PersonX scarcely leans back,PersonX leans back,tst,scarcely,single_word
PersonX scarcely gets burned,PersonX gets burned,tst,scarcely,single_word
PersonX scarcely takes horseback riding lessons,PersonX takes horseback riding lessons,tst,scarcely,single_word
PersonX scarcely enters PersonX's car,PersonX enters PersonX's car,tst,scarcely,single_word
PersonX scarcely goes to the library to study,PersonX goes to the library to study,tst,scarcely,single_word
PersonX rarely turns the music,PersonX turns the music,tst,rarely,single_word
PersonX rarely fits PersonX's needs,PersonX fits PersonX's needs,tst,rarely,single_word
PersonX rarely takes PersonY's place,PersonX takes PersonY's place,tst,rarely,single_word
PersonX rarely becomes great,PersonX becomes great,tst,rarely,single_word
PersonX rarely jumps the shark,PersonX jumps the shark,tst,rarely,single_word
PersonX rarely makes contact with PersonY,PersonX makes contact with PersonY,tst,rarely,single_word
PersonX rarely meets the band,PersonX meets the band,tst,rarely,single_word
PersonX rarely draws the short straw,PersonX draws the short straw,tst,rarely,single_word
PersonX rarely brings PersonY in,PersonX brings PersonY in,tst,rarely,single_word
PersonX rarely gives PersonY a note,PersonX gives PersonY a note,tst,rarely,single_word
PersonX rarely drags through the mud,PersonX drags through the mud,tst,rarely,single_word
PersonX rarely uses PersonY's coupons,PersonX uses PersonY's coupons,tst,rarely,single_word
PersonX rarely misses school,PersonX misses school,tst,rarely,single_word
PersonX rarely puts PersonY down,PersonX puts PersonY down,tst,rarely,single_word
PersonX rarely sits behind PersonY,PersonX sits behind PersonY,tst,rarely,single_word
PersonX rarely starts walking,PersonX starts walking,tst,rarely,single_word
PersonX rarely stops at the store,PersonX stops at the store,tst,rarely,single_word
PersonX rarely opens the lid,PersonX opens the lid,tst,rarely,single_word
PersonX rarely needs a shot,PersonX needs a shot,tst,rarely,single_word
PersonX rarely wins the match,PersonX wins the match,tst,rarely,single_word
PersonX rarely puts the phone away,PersonX puts the phone away,tst,rarely,single_word
PersonX rarely wants to kiss PersonY,PersonX wants to kiss PersonY,tst,rarely,single_word
PersonX seldomly visits a friend,PersonX visits a friend,tst,seldomly,single_word
PersonX seldomly fails PersonX's classes,PersonX fails PersonX's classes,tst,seldomly,single_word
PersonX seldomly stays clean,PersonX stays clean,tst,seldomly,single_word
PersonX seldomly fails all of PersonX's classes,PersonX fails all of PersonX's classes,tst,seldomly,single_word
PersonX seldomly misses PersonY,PersonX misses PersonY,tst,seldomly,single_word
PersonX seldomly visits PersonX's daughter,PersonX visits PersonX's daughter,tst,seldomly,single_word
PersonX seldomly sees wood,PersonX sees wood,tst,seldomly,single_word
PersonX seldomly calls around,PersonX calls around,tst,seldomly,single_word
PersonX seldomly sits at the dinning room table,PersonX sits at the dinning room table,tst,seldomly,single_word
PersonX seldomly makes a change,PersonX makes a change,tst,seldomly,single_word
PersonX seldomly asks PersonY's little brother,PersonX asks PersonY's little brother,tst,seldomly,single_word
PersonX seldomly gets messy,PersonX gets messy,tst,seldomly,single_word
PersonX seldomly gets it right,PersonX gets it right,tst,seldomly,single_word
PersonX seldomly meets PersonX's husband,PersonX meets PersonX's husband,tst,seldomly,single_word
PersonX seldomly sends a letter,PersonX sends a letter,tst,seldomly,single_word
PersonX seldomly plays PersonY's favorite songs,PersonX plays PersonY's favorite songs,tst,seldomly,single_word
PersonX seldomly gives PersonY warning,PersonX gives PersonY warning,tst,seldomly,single_word
PersonX seldomly uses PersonX's skills,PersonX uses PersonX's skills,tst,seldomly,single_word
PersonX seldomly wins money,PersonX wins money,tst,seldomly,single_word
PersonX hardly goes down the toilet,PersonX goes down the toilet,tst,hardly,single_word
PersonX hardly sets the thames on fire,PersonX sets the thames on fire,tst,hardly,single_word
PersonX hardly knocks PersonY's socks off,PersonX knocks PersonY's socks off,tst,hardly,single_word
PersonX hardly keeps PersonX's fingers crossed,PersonX keeps PersonX's fingers crossed,tst,hardly,single_word
PersonX hardly receives a phone call,PersonX receives a phone call,tst,hardly,single_word
PersonX hardly spends the summer,PersonX spends the summer,tst,hardly,single_word
PersonX hardly sneaks around,PersonX sneaks around,tst,hardly,single_word
PersonX hardly gives PersonY an f,PersonX gives PersonY an f,tst,hardly,single_word
PersonX hardly wraps PersonY's hand,PersonX wraps PersonY's hand,tst,hardly,single_word
PersonX hardly wears a cast,PersonX wears a cast,tst,hardly,single_word
PersonX hardly takes place in the course,PersonX takes place in the course,tst,hardly,single_word
PersonX hardly confronts PersonX's roommate,PersonX confronts PersonX's roommate,tst,hardly,single_word
PersonX hardly replaces PersonX's old one,PersonX replaces PersonX's old one,tst,hardly,single_word
PersonX hardly fits PersonY's needs,PersonX fits PersonY's needs,tst,hardly,single_word
PersonX hardly bakes an apple pie,PersonX bakes an apple pie,tst,hardly,single_word
PersonX hardly makes PersonY smile,PersonX makes PersonY smile,tst,hardly,single_word
PersonX hardly gets to work on time,PersonX gets to work on time,tst,hardly,single_word
PersonX hardly fails PersonX's class,PersonX fails PersonX's class,tst,hardly,single_word
PersonX hardly hits the road,PersonX hits the road,tst,hardly,single_word
PersonX on no condition denies PersonY's existence,PersonX denies PersonY's existence,tst,on no condition,multi_word
PersonX on no condition drops it on the floor,PersonX drops it on the floor,tst,on no condition,multi_word
PersonX on no condition rests on PersonY's shoulder,PersonX rests on PersonY's shoulder,tst,on no condition,multi_word
PersonX on no condition gets beer,PersonX gets beer,tst,on no condition,multi_word
PersonX on no condition gets a second opinion,PersonX gets a second opinion,tst,on no condition,multi_word
PersonX on no condition enjoys life,PersonX enjoys life,tst,on no condition,multi_word
PersonX on no condition looks awful,PersonX looks awful,tst,on no condition,multi_word
PersonX on no condition enjoys PersonY's class,PersonX enjoys PersonY's class,tst,on no condition,multi_word
PersonX on no condition asks PersonX's dad for help,PersonX asks PersonX's dad for help,tst,on no condition,multi_word
PersonX on no condition runs full speed,PersonX runs full speed,tst,on no condition,multi_word
PersonX on no condition tries different things,PersonX tries different things,tst,on no condition,multi_word
PersonX on no condition drives to the office,PersonX drives to the office,tst,on no condition,multi_word
PersonX on no condition shuts the door,PersonX shuts the door,tst,on no condition,multi_word
PersonX on no condition owns a dog,PersonX owns a dog,tst,on no condition,multi_word
PersonX on no condition finds PersonX's shoes,PersonX finds PersonX's shoes,tst,on no condition,multi_word
PersonX on no condition goes down the drain,PersonX goes down the drain,tst,on no condition,multi_word
PersonX on no condition grabs PersonY's keys,PersonX grabs PersonY's keys,tst,on no condition,multi_word
PersonX on no condition calls PersonY the next day,PersonX calls PersonY the next day,tst,on no condition,multi_word
PersonX on no condition increases PersonX's capacity,PersonX increases PersonX's capacity,tst,on no condition,multi_word
PersonX in no way visits the city,PersonX visits the city,tst,in no way,multi_word
PersonX in no way makes lemonade,PersonX makes lemonade,tst,in no way,multi_word
PersonX in no way hears from PersonY,PersonX hears from PersonY,tst,in no way,multi_word
PersonX in no way gives PersonY instruction,PersonX gives PersonY instruction,tst,in no way,multi_word
PersonX in no way calls PersonY at work,PersonX calls PersonY at work,tst,in no way,multi_word
PersonX in no way expresses PersonX's belief,PersonX expresses PersonX's belief,tst,in no way,multi_word
PersonX in no way uses coupons,PersonX uses coupons,tst,in no way,multi_word
PersonX in no way throws PersonX's hat in the ring,PersonX throws PersonX's hat in the ring,tst,in no way,multi_word
PersonX in no way cuts PersonX's leg,PersonX cuts PersonX's leg,tst,in no way,multi_word
PersonX in no way lands a job,PersonX lands a job,tst,in no way,multi_word
PersonX in no way finds it anywhere,PersonX finds it anywhere,tst,in no way,multi_word
PersonX in no way takes a bow,PersonX takes a bow,tst,in no way,multi_word
PersonX in no way invites PersonY to play,PersonX invites PersonY to play,tst,in no way,multi_word
PersonX in no way visits PersonX's cousin,PersonX visits PersonX's cousin,tst,in no way,multi_word
PersonX in no way makes perfect,PersonX makes perfect,tst,in no way,multi_word
PersonX in no way puts PersonX's mind to it,PersonX puts PersonX's mind to it,tst,in no way,multi_word
PersonX in no way decides to have a picnic,PersonX decides to have a picnic,tst,in no way,multi_word
PersonX in no way goes to bed early,PersonX goes to bed early,tst,in no way,multi_word
PersonX in no way loses track of the time,PersonX loses track of the time,tst,in no way,multi_word
PersonX in no way goes to the doctor's office,PersonX goes to the doctor's office,tst,in no way,multi_word
PersonX in no way writes music,PersonX writes music,tst,in no way,multi_word
PersonX in no way improves PersonX's grades,PersonX improves PersonX's grades,tst,in no way,multi_word
PersonX in no way asks PersonX's grandmother,PersonX asks PersonX's grandmother,tst,in no way,multi_word
PersonX in no way gets dressed,PersonX gets dressed,tst,in no way,multi_word
PersonX not by any means sits next to PersonY in class,PersonX sits next to PersonY in class,tst,not by any means,multi_word
PersonX not by any means replaces PersonX's old one,PersonX replaces PersonX's old one,tst,not by any means,multi_word
PersonX not by any means knocks PersonY's socks off,PersonX knocks PersonY's socks off,tst,not by any means,multi_word
PersonX not by any means enjoys life,PersonX enjoys life,tst,not by any means,multi_word
PersonX not by any means hearts beat as PersonX,PersonX hearts beat as PersonX,tst,not by any means,multi_word
PersonX not by any means takes selfies,PersonX takes selfies,tst,not by any means,multi_word
PersonX not by any means derives PersonY's name,PersonX derives PersonY's name,tst,not by any means,multi_word
PersonX not by any means moves past PersonY,PersonX moves past PersonY,tst,not by any means,multi_word
PersonX not by any means makes PersonY concessions,PersonX makes PersonY concessions,tst,not by any means,multi_word
PersonX not by any means replaces PersonY's old one,PersonX replaces PersonY's old one,tst,not by any means,multi_word
PersonX not by any means makes too much noise,PersonX makes too much noise,tst,not by any means,multi_word
PersonX not by any means buys one for PersonY,PersonX buys one for PersonY,tst,not by any means,multi_word
PersonX not by any means gathers the ingredients,PersonX gathers the ingredients,tst,not by any means,multi_word
PersonX not by any means rains on PersonX's parade,PersonX rains on PersonX's parade,tst,not by any means,multi_word
PersonX not by any means loses sight of PersonY,PersonX loses sight of PersonY,tst,not by any means,multi_word
PersonX not by any means spills PersonX's coffee,PersonX spills PersonX's coffee,tst,not by any means,multi_word
PersonX not by any means enjoys swimming,PersonX enjoys swimming,tst,not by any means,multi_word
PersonX not by any means walks humbly with PersonY's god,PersonX walks humbly with PersonY's god,tst,not by any means,multi_word
PersonX not by any means has a wonderful time on PersonX's trip,PersonX has a wonderful time on PersonX's trip,tst,not by any means,multi_word
PersonX not by any means gets the shot,PersonX gets the shot,tst,not by any means,multi_word
PersonX not by any means helps PersonY along,PersonX helps PersonY along,tst,not by any means,multi_word
PersonX not by any means plays laser tag,PersonX plays laser tag,tst,not by any means,multi_word
PersonX not by any means asks PersonY to bring,PersonX asks PersonY to bring,tst,not by any means,multi_word
PersonX not by any means gets a part,PersonX gets a part,tst,not by any means,multi_word
PersonX not by any means takes the stand,PersonX takes the stand,tst,not by any means,multi_word
PersonX not by any means calls a shovel a shovel,PersonX calls a shovel a shovel,tst,not by any means,multi_word
PersonX not by any means shakes PersonY's heads,PersonX shakes PersonY's heads,tst,not by any means,multi_word
PersonX not by any means buys a computer,PersonX buys a computer,tst,not by any means,multi_word
PersonX not by any means gets the call,PersonX gets the call,tst,not by any means,multi_word
PersonX not by any means apologizes to PersonY,PersonX apologizes to PersonY,tst,not by any means,multi_word
PersonX not by any means starts crying,PersonX starts crying,tst,not by any means,multi_word
PersonX not by any means blows PersonX's load,PersonX blows PersonX's load,tst,not by any means,multi_word
PersonX not by any means dyes PersonY's hair red,PersonX dyes PersonY's hair red,tst,not by any means,multi_word
PersonX not by any means wants to learn how to drive,PersonX wants to learn how to drive,tst,not by any means,multi_word
PersonX not by any means catches some rays,PersonX catches some rays,tst,not by any means,multi_word
PersonX not by any means reschedules PersonX's appointment,PersonX reschedules PersonX's appointment,tst,not by any means,multi_word
PersonX not by any means gets PersonY's driver's license,PersonX gets PersonY's driver's license,tst,not by any means,multi_word
PersonX not by any means asks PersonX's grandmother,PersonX asks PersonX's grandmother,tst,not by any means,multi_word
PersonX not by any means plays PersonY's favorite song,PersonX plays PersonY's favorite song,tst,not by any means,multi_word
PersonX not by any means asks PersonY's dad for help,PersonX asks PersonY's dad for help,tst,not by any means,multi_word
PersonX not by any means gets milk,PersonX gets milk,tst,not by any means,multi_word
PersonX not by any means enters PersonX's car,PersonX enters PersonX's car,tst,not by any means,multi_word
PersonX is on no condition short on money,PersonX is short on money,tst,on no condition,multi_word
PersonX is on no condition a good person,PersonX is a good person,tst,on no condition,multi_word
PersonX is on no condition a quick learner,PersonX is a quick learner,tst,on no condition,multi_word
PersonX is on no condition ready to go home,PersonX is ready to go home,tst,on no condition,multi_word
PersonX is on no condition in love with PersonY,PersonX is in love with PersonY,tst,on no condition,multi_word
PersonX is on no condition walking across the street,PersonX is walking across the street,tst,on no condition,multi_word
PersonX is on no condition able to sleep,PersonX is able to sleep,tst,on no condition,multi_word
PersonX is on no condition in a good mood,PersonX is in a good mood,tst,on no condition,multi_word
PersonX is on no condition doing PersonX's laundry,PersonX is doing PersonX's laundry,tst,on no condition,multi_word
PersonX is on no condition losing weight,PersonX is losing weight,tst,on no condition,multi_word
PersonX is on no condition walking on the beach,PersonX is walking on the beach,tst,on no condition,multi_word
PersonX is on no condition a good swimmer,PersonX is a good swimmer,tst,on no condition,multi_word
PersonX is on no condition angry with PersonY,PersonX is angry with PersonY,tst,on no condition,multi_word
PersonX is in no way able to sleep,PersonX is able to sleep,tst,in no way,multi_word
PersonX is in no way getting ready for work,PersonX is getting ready for work,tst,in no way,multi_word
PersonX is in no way a quick learner,PersonX is a quick learner,tst,in no way,multi_word
PersonX is in no way a star athlete,PersonX is a star athlete,tst,in no way,multi_word
PersonX is in no way hard to find,PersonX is hard to find,tst,in no way,multi_word
PersonX is in no way a little girl,PersonX is a little girl,tst,in no way,multi_word
PersonX is in no way ready to go,PersonX is ready to go,tst,in no way,multi_word
PersonX is in no way feeling sick,PersonX is feeling sick,tst,in no way,multi_word
PersonX is in no way able to fix it,PersonX is able to fix it,tst,in no way,multi_word
PersonX is in no way able to find it,PersonX is able to find it,tst,in no way,multi_word
PersonX is in no way watching a scary movie,PersonX is watching a scary movie,tst,in no way,multi_word
PersonX is not by any means losing weight,PersonX is losing weight,tst,not by any means,multi_word
PersonX is not by any means able to sleep,PersonX is able to sleep,tst,not by any means,multi_word
PersonX is not by any means in love with PersonY,PersonX is in love with PersonY,tst,not by any means,multi_word
PersonX is not by any means PersonY's wife,PersonX is PersonY's wife,tst,not by any means,multi_word
PersonX is not by any means feeling sick,PersonX is feeling sick,tst,not by any means,multi_word
PersonX is not by any means grocery shopping,PersonX is grocery shopping,tst,not by any means,multi_word
PersonX is not by any means fired from PersonX's job,PersonX is fired from PersonX's job,tst,not by any means,multi_word
PersonX is not by any means short on money,PersonX is short on money,tst,not by any means,multi_word
PersonX is not by any means a star athlete,PersonX is a star athlete,tst,not by any means,multi_word
PersonX is not by any means at the bar with friends,PersonX is at the bar with friends,tst,not by any means,multi_word
PersonX is not by any means too much for PersonY,PersonX is too much for PersonY,tst,not by any means,multi_word
PersonX is not by any means getting ready,PersonX is getting ready,tst,not by any means,multi_word
PersonX is not by any means an old man,PersonX is an old man,tst,not by any means,multi_word
PersonX is not by any means on vacation in mexico,PersonX is on vacation in mexico,tst,not by any means,multi_word
PersonX is not by any means a good person,PersonX is a good person,tst,not by any means,multi_word
PersonX is under no circumstances excited and nervous,PersonX is excited and nervous,tst,under no circumstances,multi_word
PersonX is under no circumstances pulled over for speeding,PersonX is pulled over for speeding,tst,under no circumstances,multi_word
PersonX is under no circumstances in love with PersonY,PersonX is in love with PersonY,tst,under no circumstances,multi_word
PersonX is under no circumstances covered in mud,PersonX is covered in mud,tst,under no circumstances,multi_word
PersonX is under no circumstances offered the job,PersonX is offered the job,tst,under no circumstances,multi_word
PersonX is under no circumstances really disappointed,PersonX is really disappointed,tst,under no circumstances,multi_word
PersonX is under no circumstances hard to find,PersonX is hard to find,tst,under no circumstances,multi_word
PersonX is under no circumstances angry with PersonY,PersonX is angry with PersonY,tst,under no circumstances,multi_word
PersonX is under no circumstances ready to go,PersonX is ready to go,tst,under no circumstances,multi_word
PersonX is under no circumstances getting ready for work,PersonX is getting ready for work,tst,under no circumstances,multi_word
PersonX is under no circumstances a good swimmer,PersonX is a good swimmer,tst,under no circumstances,multi_word
PersonX is under no circumstances a quick learner,PersonX is a quick learner,tst,under no circumstances,multi_word
PersonX is under no circumstances at the bar with friends,PersonX is at the bar with friends,tst,under no circumstances,multi_word
PersonX is under no circumstances able to sleep,PersonX is able to sleep,tst,under no circumstances,multi_word
PersonX is under no circumstances playing ball,PersonX is playing ball,tst,under no circumstances,multi_word
PersonX is under no circumstances PersonY's maid of honor,PersonX is PersonY's maid of honor,tst,under no circumstances,multi_word
PersonX is under no circumstances short on money,PersonX is short on money,tst,under no circumstances,multi_word
PersonX is under no circumstances well prepared,PersonX is well prepared,tst,under no circumstances,multi_word
PersonX is under no circumstances able to find it,PersonX is able to find it,tst,under no circumstances,multi_word
PersonX is under no circumstances feeling sick,PersonX is feeling sick,tst,under no circumstances,multi_word
PersonX is by no means well prepared,PersonX is well prepared,tst,by no means,multi_word
