event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original,neg_cue,neg_cue_type
PersonX is on no condition proud of PersonY,"[""none"", ""person y becomes depressed"", ""person y becomes a loner""]","[""guilty"", ""dejected"", ""to get a plan""]","[""none""]","[""damaged"", ""hurt"", ""unsupportive"", ""negative""]","[""none""]","[""none"", ""to get a plan""]","[""none""]","[""disappointed"", ""angry"", ""make proud"", ""to get a plan""]","[""to think about PersonY"", ""to teach personY better"", ""to ignore PersonY"", ""to disgard PersonY""]",trn,PersonX is proud of PersonY,on no condition,multi_word
PersonX opposes reading PersonY's letters,"[""none"", ""doesn't get letters read"", ""letters stay sealed""]","[""none""]","[""none"", ""to keep their business private"", ""to read their own correspondences""]","[""cruel"", ""rude"", ""uncaring"", ""careful"", ""thoughtful""]","[""none""]","[""to respect Y's privacy"", ""to not anger Y"", ""to avoid seeing what persony has to say"", ""to put off reading them""]","[""to receive letters from PersonY"", ""to look and see from whom the letters come"", ""to have PersonY's mail"", ""to know PersonY""]","[""virtuous"", ""smart"", ""defiant"", ""anxious""]","[""to throw the letters in trash can"", ""to tear the letters up"", ""to mind their business"", ""to read their own mail""]",trn,PersonX reads PersonY's letters,oppose,verb
PersonX avoids building PersonY's house,"[""none"", ""they must find another builder""]","[""none"", ""abandoned"", ""unassisted""]","[""find another contractor"", ""offer PersonX more money"", ""receive an explanation"", ""get another builder""]","[""lazy"", ""clumsy"", ""unskillful"", ""busy""]","[""none""]","[""none"", ""to cut down on physical labor"", ""to leave it to the professionals""]","[""take PersonY's phone call"", ""hear PersonY's pitch to build a house"", ""avoid personY"", ""be asked to build the house""]","[""unhandy"", ""inept"", ""smart"", ""disinterested""]","[""hang up the phone"", ""avoid PersonY's phone calls"", ""build a different house"", ""explain""]",trn,PersonX builds PersonY's house,avoid,verb
PersonX rarely busts the dust,"[""none""]","[""taken for granted"", ""manipulated"", ""none""]","[""none""]","[""lazy"", ""avoiding"", ""filthy"", ""impure""]","[""none"", ""gets sick from an unclean environment"", ""has less guests coming to their dusty house""]","[""to do other things"", ""someone else to do it"", ""to hire a maid"", ""keep noise down""]","[""skate"", ""ride a bike"", ""none""]","[""doesnt care"", ""nothing"", ""successful"", ""untidy""]","[""to stay safe"", ""to avoid injury"", ""to be lazy"", ""to do little work""]",trn,PersonX busts the dust,rarely,single_word
PersonX has problem with killing PersonY animal,"[""none"", ""cries from sadness"", ""closes eyes from fright""]","[""powerful"", ""confused at the reaction"", ""none""]","[""to thank PersonX"", ""to safeguard their pets"", ""to let person Y cuddle"", ""to protect their animal""]","[""empathetic"", ""gentle"", ""humane"", ""squeamish"", ""kind-hearted""]","[""none"", ""gets yelled at"", ""cries from sadness""]","[""none""]","[""have respect for all creatures"", ""to know PersonY's creature"", ""none""]","[""disgusted"", ""disturbed"", ""unfriendly"", ""immoral""]","[""to keep being kind"", ""to remain loving to all creatures"", ""to cuddle personY's animal"", ""to leave""]",trn,PersonX kills PersonY animal,have problem with,multi_word
PersonX lacks a pizza party,"[""none""]","[""none""]","[""none"", ""to celebrate with PersonX"", ""to eat some food""]","[""boring"", ""dull"", ""lonely"", ""anit-social""]","[""none"", ""becomes hungry"", ""stomach rubbles""]","[""none""]","[""none"", ""to have something to celebrate"", ""to have people to come to a party""]","[""neglected"", ""alone"", ""sad"", ""disappointed""]","[""to plan a pizza party"", ""to find an alternative party"", ""organize a get together"", ""send invites out""]",trn,PersonX has a pizza party,lack,verb
PersonX barely helps other people,"[""becomes to see person x in a different light"", ""avoids giving jobs to person x"", ""argued with"", ""yelled at""]","[""none""]","[""give thanks"", ""receive more help"", ""Person X to be more thoughtful"", ""for Person X to learn their lesson""]","[""selfish"", ""unaccomodating"", ""uncaring""]","[""is punished"", ""is reprimanded"", ""argued with"", ""yelled at""]","[""none"", ""save his money"", ""have time to himself""]","[""help some people"", ""avoid helping everyone"", ""to be asked for assistance"", ""to typically decline the requests"", ""to only ocassionally lend a hand""]","[""selfish"", ""mean"", ""thrifty""]","[""help more"", ""be thanked for helping"", ""to focus on their own needs"", ""to not be bothered""]",trn,PersonX helps other people,barely,single_word
PersonX runs few tests on PersonY,"[""none"", ""they find out what's wrong""]","[""none"", ""thankful"", ""nervous""]","[""to get PersonY's test results"", ""to tell PersonY's family"", ""to wait for the test results"", ""leave the doctor's office""]","[""medical"", ""examining"", ""nice"", ""kind""]","[""none""]","[""to find the problem"", ""to examine person Y"", ""to make sure personY is healthy"", ""to conduct experiment""]","[""to contact PersonY for test"", ""to get test papers situated"", ""prep the testing supplies"", ""get PersonY ready and calm""]","[""intelligent"", ""learned"", ""smart"", ""focused""]","[""to look at the test results"", ""let PersonY know how PersonY did"", ""send the sample off for testing"", ""let PersonY out of the office""]",trn,PersonX runs some tests on PersonY,few,single_word
PersonX becomes unpopular,"[""none""]","[""hostile"", ""repelled"", ""powerful"", ""smug""]","[""ignore PersonX"", ""laugh at PersonX"", ""none""]","[""poorly regarded"", ""boring"", ""rude"", ""disrespectful""]","[""gets looked down on"", ""gets criticisms"", ""gets ignored"", ""gets left out of others' plans""]","[""none""]","[""become popular"", ""do something embarrassing"", ""none""]","[""friendless"", ""unloved"", ""upset"", ""confused"", ""hated""]","[""win people's friendship back"", ""show off"", ""to belong"", ""to feel loved""]",trn,PersonX becomes popular,unpopular,affixes_adj
PersonX unlearns fast,"[""none""]","[""none""]","[""none""]","[""forgetful"", ""absentminded"", ""dumb"", ""stupid""]","[""fails test"", ""is confused"", ""forgets everything"", ""can't finish his project""]","[""none""]","[""learn something"", ""forget something"", ""none""]","[""stupid"", ""confuzzled"", ""disappointed""]","[""refresh their memory"", ""learn something again"", ""to do something new"", ""to start a different class""]",trn,PersonX learns fast,unlearn,affixes_verb
PersonX fails to cut PersonY's grass,"[""none"", ""person y's lawn grows"", ""person y's lawn gets more bugs""]","[""apprehensive"", ""ignored"", ""angry"", ""resentful""]","[""to ask what happened"", ""to call a landscaper"", ""none""]","[""lazy"", ""forgetful"", ""unreliable""]","[""none"", ""person x gets yelled at"", ""person x loses a job""]","[""none"", ""to stay home"", ""to work elsewhere""]","[""to break the lawn mower"", ""to forget the job"", ""know person y"", ""been hired by person y""]","[""sorry"", ""pressured"", ""busy"", ""occupied""]","[""to apologize"", ""to repair the mower"", ""is not paid"", ""is fired by person  y""]",trn,PersonX cuts PersonY's grass,fail,verb
PersonX fails to buy a new television,"[""none""]","[""none""]","[""none""]","[""unlucky"", ""unfortunate"", ""thrifty"", ""cheap""]","[""none"", ""thinks about listening to the radio"", ""stresses that his television's picture sucks""]","[""to get a plan"", ""none""]","[""to go the store"", ""to find a television"", ""none""]","[""to get a plan"", ""to buy"", ""broke"", ""forgetful""]","[""to leave the store"", ""to go to another store"", ""to keep shopping around"", ""to be more frugal""]",trn,PersonX buys a new television,fail,verb
PersonX seldomly takes the dog,"[""none""]","[""none""]","[""none""]","[""joy"", ""sad"", ""cruel"", ""rude"", ""mean""]","[""none""]","[""to walk alone"", ""to respect the rules of various establishments"", ""not to have to stop at every tree and bush"", ""to avoid hearing incessant barking""]","[""none"", ""to be busy with prior work"", ""not have space for dog""]","[""desire for solitude"", ""prudent and responsible"", ""guilty"", ""put-upon""]","[""to give up the dog"", ""to return the dog to the shelter"", ""find time for dog in life"", ""change apartments for dog to live full time""]",trn,PersonX takes the dog,seldomly,single_word
PersonX stops having PersonX's first baby,"[""yells"", ""dies"", ""becomes weak""]","[""none"", ""saddened"", ""confused""]","[""none""]","[""unfertile"", ""barren"", ""motherly""]","[""none"", ""loses blood rapidly"", ""heartbeat fades""]","[""none"", ""to be sure of the decision"", ""to preserve his freedom""]","[""to decide that they do not want a baby"", ""to make a medical appointment"", ""to have gotten pregnant"", ""to have gotten a miscarriage""]","[""anguished"", ""pained"", ""indifferent"", ""relieved""]","[""to cry"", ""to start over"", ""to never go through such an event again"", ""to greif"", ""try again for a baby in the future""]",trn,PersonX has PersonX's first baby,stop,verb
PersonX is not at all playing at the park,"[""none""]","[""none""]","[""none""]","[""introverted"", ""aloof"", ""frightened"", ""suspicious""]","[""none""]","[""none"", ""plan for meet a person"", ""get the park"", ""to parked""]","[""stay home"", ""cancel going to the park"", ""none""]","[""dcided"", ""relaxed"", ""to place"", ""to work""]","[""relax at home"", ""watch others play"", ""to relax at home"", ""watch his favorite show on tv""]",trn,PersonX is playing at the park,not at all,multi_word
PersonX not by any means pulls PersonY's fingers out,"[""none""]","[""relieved"", ""glad"", ""none""]","[""Cry"", ""Get help from a doctor"", ""none""]","[""squeamish"", ""fearful"", ""careless"", ""merciless""]","[""learns to have self-control"", ""thinks about pulling person y's fingers out"", ""none""]","[""to be nice"", ""to be careful"", ""none""]","[""none""]","[""calm"", ""benevolent"", ""savage"", ""sad""]","[""Call the hospital"", ""Rush his friend to the hospital"", ""to pretend they don't see"", ""to turn away""]",trn,PersonX pulls PersonY's fingers out,not by any means,multi_word
PersonX is deprived of a great time at PersonY's party,"[""none""]","[""none""]","[""none""]","[""unlucky"", ""unpopular"", ""bullied"", ""restrained""]","[""frowns"", ""cries"", ""none""]","[""none""]","[""know person y"", ""been invited to a party"", ""attending PersonY's party"", ""know about PersonY's party""]","[""sad"", ""disappointed""]","[""host own party next time"", ""avoid person y in future"", ""leave the party"", ""tell PersonY they're leaving""]",trn,PersonX has a great time at PersonY's party,is deprived of,multi_word
PersonX gives PersonY little information,"[""argued with"", ""frowns"", ""starts to question x"", ""yells at x""]","[""none""]","[""ask someone else"", ""get information from personX"", ""none""]","[""secretive"", ""stealthy"", ""reclusive""]","[""argued with"", ""yelled at"", ""is questioned""]","[""to get a plan"", ""none""]","[""have information to give"", ""decide not to give information"", ""none""]","[""to get a plan"", ""to rest"", ""mean"", ""selfish""]","[""be secretive"", ""decide which information to share"", ""keep them in the dard"", ""to mislead them""]",trn,PersonX gives PersonY some information,little,single_word
PersonX on no condition plays ping pong,"[""they get to play more games"", ""they have someone to keep scores"", ""none""]","[""none""]","[""none"", ""win the game"", ""get pointers""]","[""reserved"", ""occupied"", ""dedicated"", ""committed""]","[""watches others play"", ""asks to keep track of points"", ""Begged to play by siblings"", ""Offered to be given ping pong lessons""]","[""none"", ""not have fun"", ""be boring""]","[""none"", ""go to the ping pong table"", ""find someone to play with""]","[""uncoordinated"", ""clumsy"", ""serious"", ""not fun""]","[""find a different sport to play"", ""try to entertain themselves with something else"", ""win the game"", ""play again""]",trn,PersonX plays ping pong,on no condition,multi_word
PersonX is unafraid of water,"[""none""]","[""none""]","[""none""]","[""aquatic"", ""seafaring"", ""unflinching"", ""spunky""]","[""none"", ""remains calm"", ""maintains healthy stress levels""]","[""none""]","[""none""]","[""brave"", ""eager"", ""happy"", ""glad""]","[""to go swimming"", ""to take a bath"", ""to swim"", ""to spend time in water""]",trn,PersonX is afraid of water,unafraid,affixes_adj
PersonX lacks a halloween party,"[""none""]","[""none""]","[""none""]","[""friend-less"", ""boring"", ""independent"", ""isoloated"", ""cut-off""]","[""none"", ""thinks about staying home"", ""stresses about not having a party""]","[""to get a plan"", ""get party"", ""none""]","[""none"", ""To run out of ideas for a Halloween party"", ""To lack motivation to throw a Halloween party""]","[""to party"", ""to fun"", ""uhappy"", ""unsatisfied""]","[""to spend Halloween alone"", ""to go trick or treating"", ""To stay home and watch tv"", ""To stay home and take a nap""]",trn,PersonX has a halloween party,lack,verb
PersonX has trouble with opening PersonY's door,"[""none""]","[""none""]","[""to help PersonX"", ""to answer the door"", ""fix the door"", ""ask someone for assistance""]","[""weak"", ""unintelligent"", ""distrusting"", ""suspicious""]","[""falls down"", ""shakes hand"", ""gets pushed over"", ""gets apologized to""]","[""none""]","[""to try to open the door"", ""to get to PersonY's door"", ""be at person y's house"", ""try opening the door""]","[""tired"", ""unhappy"", ""frustrated"", ""helpless"", ""inadequate"", ""angry""]","[""to open the door"", ""to ask for help opening the door"", ""to get a locksmith"", ""to talk to person y"", ""get help opening it""]",trn,PersonX opens PersonY's door,have trouble with,multi_word
PersonX on no condition brushes PersonY's hand,"[""none""]","[""also shy"", ""also nervous"", ""none""]","[""none"", ""to move personX's hand"", ""hold personX's hand""]","[""run"", ""nice"", ""respectful"", ""discreet""]","[""none""]","[""to get close to persony"", ""to next to persony"", ""none""]","[""none""]","[""shy"", ""nervous"", ""distant"", ""professional"", ""reserved""]","[""to hold personY's hand"", ""person Y to move their hand""]",trn,PersonX brushes PersonY's hand,on no condition,multi_word
PersonX discontinues going to PersonY room,"[""none""]","[""saddened"", ""rejected"", ""sad"", ""happy for no one coming in""]","[""none"", ""to see x"", ""to hang out with x again""]","[""distracted"", ""ambitious"", ""unfriendly"", ""introverted""]","[""none""]","[""to avoid person y"", ""stay in his own room"", ""to go to another room"", ""to go to the store""]","[""to know person y"", ""to have gone to person y's room"", ""none""]","[""hostile"", ""detached"", ""like cleaning"", ""sitting down""]","[""to talk to another person"", ""to go to another friend's room"", ""to stay alone"", ""to be independent""]",trn,PersonX goes to PersonY room,discontinue,verb
PersonX disapproves washing PersonY's clothes,"[""none""]","[""like their clothes are fine"", ""upset at personx"", ""rejected"", ""put upon""]","[""for their wife to do what's expected of her"", ""to be the breadwinner in the family"", ""to have traditional family roles"", ""plan to meet friends""]","[""scorful"", ""resentful"", ""lazy"", ""unhelpful""]","[""none""]","[""to prove their point"", ""to make sure persony knows"", ""Y to wash her own clothes"", ""Y to go to the laundramat""]","[""her spouse to have traditional values"", ""to disagree that housework is woman's work"", ""to feel like she shouldn't be stuck doing all the laundry"", ""plan to meet friends""]","[""bad for persony"", ""angry about the clothes"", ""right"", ""righteous""]","[""to be free from traditional marriage roles"", ""for her husband to do his own laundry"", ""to plan"", ""plan to meet friends""]",trn,PersonX washes PersonY's clothes,disapprove,verb
PersonX denies that they take PersonY to the movies,"[""questions the denial"", ""questions going to the movies again"", ""none""]","[""neglected"", ""solitary"", ""none""]",,"[""unwilling"", ""tense"", ""lying"", ""static""]","[""becomes known as a liar"", ""can be easily caught in t a lie"", ""none""]","[""none""]",,"[""single"", ""independent"", ""sad"", ""unhappy""]",,trn,PersonX takes PersonY to the movies,deny,verb
PersonX barely makes PersonY choice,"[""argued with"", ""yelled at"", ""none""]","[""none"", ""neutral"", ""indifferent""]","[""none"", ""to listen to X"", ""to discuss with X""]","[""independent"", ""selfish"", ""indecisive"", ""unsure""]","[""argued with"", ""yelled at"", ""none""]","[""none"", ""to finish the game"", ""hurry up and make a decision""]","[""makje choice"", ""to rest"", ""to know Y"", ""to know Y's decision""]","[""mean"", ""cruel"", ""relief"", ""happy""]","[""tpo sleep"", ""to rest"", ""to talk with Y"", ""to criticize Y""]",trn,PersonX makes PersonY choice,barely,single_word
PersonX is under no circumstances very mean to PersonY,"[""appreciates PersonX's kindness"", ""looks forward to being friends with PersonX"", ""none""]","[""none"", ""hurt"", ""sad""]","[""none""]","[""kind"", ""caring"", ""nice"", ""friendly"", ""cruel"", ""ill mannered""]","[""none""]","[""none"", ""to drive persony away"", ""to cause hurt""]","[""none""]","[""mean"", ""selfish"", ""vindictive""]","[""to hug PersonY"", ""to kiss PersonY"", ""to be a good person"", ""to keep a friend""]",trn,PersonX is very mean to PersonY,under no circumstances,multi_word
PersonX is seldomly late for class,"[""none""]","[""none""]","[""none""]","[""reliable"", ""consistent"", ""prompt"", ""consciencious""]","[""none"", ""misses class"", ""passes class""]","[""plan for meet a person"", ""none""]","[""attend a class"", ""continue their education"", ""none""]","[""plan for meet a person"", ""unaccomplished"", ""unhappy""]","[""get good grades"", ""pass the class""]",trn,PersonX is late for class,seldomly,single_word
PersonX is in no way bothering PersonY,"[""able to work without interruptions"", ""does well on their test"", ""none""]","[""relieved"", ""thankful"", ""grateful"", ""relaxed""]","[""none"", ""to continue with their work"", ""concentrate on their task""]","[""mindful"", ""avoidant"", ""disciplined"", ""independent""]","[""none""]","[""to be friendly"", ""to be cooperative"", ""to keep the peace"", ""to be a good friend""]","[""is hanging out with person y"", ""respects person y"", ""to not talk to PersonY"", ""to sit far away from PersonY""]","[""friendly"", ""cooperative"", ""content"", ""happy""]","[""to start a conversation with person y"", ""make them laugh"", ""to be left alone"", ""to be respectful of PersonY""]",trn,PersonX is bothering PersonY,in no way,multi_word
PersonX resists giving PersonY the best,"[""none"", ""Gets worse"", ""Doesn't get best""]","[""none"", ""to get a plan"", ""to play""]","[""none"", ""to complain"", ""to pay""]","[""inconsiderate"", ""greedy"", ""mature"", ""controlled""]","[""none""]","[""none"", ""to get a plan""]","[""none"", ""to offer goods"", ""to encounter PersonY""]","[""carefree"", ""careful"", ""to get a plan"", ""to work""]","[""to give PersonY an ordinary product"", ""to ring up PersonY""]",trn,PersonX gives PersonY the best,resist,verb
PersonX disapproves challenging PersonY's brother,"[""none"", ""argues with PersonX"", ""follows PersonX""]","[""none""]","[""none"", ""to get inbetween both"", ""to spread lies""]","[""scared"", ""timid"", ""unapproving"", ""uncompetitive"", ""passive""]","[""none""]","[""none"", ""to get a plan""]","[""to know person y's brother"", ""to know what person y's brother stands for"", ""to meet the brother"", ""to size up the situation""]","[""lazy"", ""caring"", ""to get a plan"", ""get challenge""]","[""to have other listen to person y's brother"", ""to support person y's brother"", ""to run"", ""to hide""]",trn,PersonX challenges PersonY's brother,disapprove,verb
PersonX ceases making jokes,"[""none""]","[""none""]","[""to hear more jokes"", ""to revel in silence"", ""none""]","[""Prudent"", ""Serious"", ""serious"", ""unkind""]","[""no longer laughs"", ""becomes serious"", ""none""]","[""none"", ""to be serious"", ""to go home""]","[""to have a bad experience"", ""to realize that nobody is laughing"", ""none""]","[""serious"", ""involved"", ""tired"", ""bored""]","[""to engage in a more serious discussion"", ""to refine their jokes before telling them again"", ""to watch tv"", ""to be alone""]",trn,PersonX makes jokes,cease,verb
PersonX seldomly goes to the beach with friends,"[""none"", ""confronted by large waves"", ""sated by large meals""]","[""disappointed"", ""annoyed"", ""none""]","[""none"", ""receive and explanation"", ""stop inviting personx""]","[""bored"", ""alone"", ""gregarious"", ""outgoing"", ""friendly""]","[""none"", ""gets told to stay behind"", ""gets left at hotel for dinner""]","[""to be alone"", ""to stay inside"", ""none""]","[""none"", ""be adverse to going to the beach"", ""like to go to the beach alone""]","[""tired"", ""alone"", ""left out"", ""left behind""]","[""to get in swimsuit shape"", ""to look good on the beach"", ""enjoy the beach alone"", ""make plans to go to the beach with friends another time""]",trn,PersonX goes to the beach with friends,seldomly,single_word
PersonX sees few friends,"[""none""]","[""left out"", ""worried"", ""none""]","[""none""]","[""run"", ""sup[er"", ""reserved"", ""alone""]","[""finds his own hobbies"", ""expands his personality"", ""none""]","[""to be alone"", ""time to self"", ""to get a plan""]","[""make friends"", ""become antisocial"", ""to be a recluse"", ""to be agoraphobic""]","[""depressed"", ""sad"", ""make good"", ""plan well""]","[""focus on work"", ""focus on close friends only"", ""to work on his problems"", ""to invite people over""]",trn,PersonX sees some friends,few,single_word
PersonX halts refunding PersonY,"[""pursues money back"", ""sues for return of money"", ""yells at person x"", ""threatens person x""]","[""embarrassed"", ""frustrated"", ""none""]","[""Get refund"", ""Complain"", ""to get money back"", ""to cancel the purchase""]","[""mean"", ""unfair"", ""broke"", ""disgusted""]","[""none"", ""experiences guilt"", ""gets into a fight""]","[""none""]","[""none""]","[""confused"", ""dutiful"", ""suspicious"", ""anxious""]","[""Nit refund"", ""Hold fast"", ""to avoid getting cheated"", ""to avoid making an error""]",trn,PersonX refunds PersonY,halt,verb
PersonX refuses to make PersonY money,"[""can't pay bills"", ""gets a job"", ""goes broke"", ""loses trust in x""]","[""mad"", ""resigned"", ""angry"", ""upset""]","[""to find a better employee"", ""to reprimand person x"", ""none""]","[""Stubborn"", ""Obstinate"", ""uncommitted"", ""independent""]","[""becomes rich"", ""saves a lot for himself"", ""gets yelled at"", ""reputation is dammaged""]","[""to make money for PersonX"", ""to play instead of working"", ""to be selfish"", ""to spite PersonY""]","[""to work for person y"", ""to know person y"", ""to have had an obligation to take care of person y"", ""to be financially strapped""]","[""lazy"", ""in charge"", ""greedy"", ""entitled""]","[""to find a different employer"", ""to start their own company"", ""cut loose person y from support"", ""move out""]",trn,PersonX makes PersonY money,refuse,verb
PersonX barely puts PersonX's trust in PersonY,"[""none""]","[""incompetent"", ""ignored"", ""worried"", ""afraid""]","[""none"", ""be trustworthy"", ""keep a secret""]","[""skeptical"", ""cynical"", ""hesitant"", ""undecided""]","[""none""]","[""to be safe"", ""to see if they change"", ""none""]","[""think about it"", ""assess the situation"", ""be compelled to trust personY"", ""have a reason to be cautious""]","[""vindicated"", ""safe"", ""untrusting"", ""suspicious""]","[""talk to them"", ""figure out why they don't trust them"", ""be able to trust personY"", ""have their secret kept""]",trn,PersonX puts PersonX's trust in PersonY,barely,single_word
PersonX resists asking PersonY to the dance,"[""none""]","[""nervous"", ""shy"", ""disappointed"", ""anticipatory for being asked""]","[""to be asked"", ""go with personx"", ""to ask PersonX"", ""to ask someone else""]","[""shy"", ""scared"", ""stubborn"", ""careless""]","[""gets angry"", ""decides to learn for next time"", ""none""]","[""to have fun"", ""to dance with persony"", ""to not embarrass themself"", ""PersonY to ask them first""]","[""none"", ""to talk to PersonY"", ""to observe PersonY""]","[""shy"", ""nervous"", ""frustrated"", ""sad""]","[""to not be embarassed"", ""ensure things are right"", ""to give in and ask"", ""to ask someone else""]",trn,PersonX asks PersonY to the dance,resist,verb
PersonX never returns PersonY's attention,"[""yells"", ""screams"", ""none""]","[""none""]","[""receive an explanation"", ""avoid personX"", ""none""]","[""rude"", ""cruel"", ""famous"", ""popular""]","[""gets yelled at"", ""gets screamed at"", ""none""]","[""none""]","[""receive attention from personY"", ""decide to ignore personY"", ""know person y"", ""be ashamed person y""]","[""not watchful"", ""not careful"", ""ignored"", ""unwanted""]","[""avoid personY"", ""apologize"", ""ignore person y"", ""find another friend""]",trn,PersonX returns PersonY's attention,never,single_word
PersonX is barely kind to PersonY,"[""none"", ""ignored"", ""avoided""]","[""confused"", ""sad"", ""unloved"", ""unwanted""]","[""thank PersonX for his kindness"", ""have a great day"", ""talk"", ""get mad""]","[""unfriendly"", ""cruel"", ""cold"", ""standoffish"", ""introverted""]","[""none"", ""ignored"", ""avoided""]","[""to stay away from persony"", ""persony to be away from personx"", ""does not like person Y"", ""is not friendly""]","[""have a hard day"", ""force himself to be nice"", ""to fight"", ""to be mean""]","[""annoyed"", ""bothered"", ""unkind"", ""powerful""]","[""escape from society"", ""recover by himself"", ""to be alone"", ""to have a talk""]",trn,PersonX is kind to PersonY,barely,single_word
PersonX not by any means sees PersonY's favorite band in concert,"[""none"", ""disappoints"", ""cries""]","[""disappointed"", ""upset"", ""jealous"", ""annoyed""]","[""to thank PersonX for coming"", ""to say how much they enjoyed the concert"", ""none""]","[""saddened"", ""bored"", ""lazy"", ""deaf""]","[""gets yelled at"", ""loses y as a friend"", ""gets complained at""]","[""none""]","[""to go to the concert"", ""to be invited to the concert"", ""be made aware of the concert"", ""buy tickets""]","[""disappointed they couldn't go"", ""guilty for letting PersonY down"", ""surprised"", ""enjoyable""]","[""to talk about the concert"", ""to look for more music"", ""tell others about the concert"", ""see the band again""]",trn,PersonX sees PersonY's favorite band in concert,not by any means,multi_word
PersonX refuses to choose PersonY,"[""none"", ""Is depressed"", ""cries in agony""]","[""none"", ""to swear"", ""to play""]","[""to ask PersonX why they weren't chosen"", ""ask PersonX who they are choosing instead of them"", ""to fight person x"", ""to call blm""]","[""picky"", ""disliking"", ""averse"", ""determined"", ""uncooperative""]","[""becomes concerned"", ""is rude to others"", ""gets selfish"", ""Becomes conceited""]","[""none"", ""plan for meet a person""]","[""be given the option of choosing PersonY"", ""to have a choice between PersonY and someone else"", ""none""]","[""Happy"", ""satisfied"", ""to refuse"", ""to replace""]","[""to choose someone besides personY"", ""explain their refusal to choose personY"", ""a white person"", ""to discriminate""]",trn,PersonX chooses PersonY,refuse,verb
PersonX seldomly asks PersonY to dance,"[""none"", ""gets hugged"", ""gets kissed""]","[""none"", ""sad"", ""neglected""]","[""none""]","[""shy"", ""uninterested"", ""caring"", ""noninvasive""]","[""none"", ""gets pressured to participate"", ""gets pushed to the center""]","[""to keep distance"", ""to just watch"", ""to dance with a range of people"", ""to dance with PersonZ instead""]","[""none""]","[""shy"", ""embarrassed"", ""a little mean"", ""sociable""]","[""to leave"", ""to go away""]",trn,PersonX asks PersonY to dance,seldomly,single_word
PersonX makes no attempt to ask PersonY to dance,"[""none""]","[""none"", ""pay attention"", ""to get a plan""]","[""find a dance partner"", ""be asked for a dance"", ""to be sad"", ""to not be interested in personx""]","[""surefooted"", ""rhythmic"", ""shy"", ""introverted"", ""nervous""]","[""none"", ""holds out hand"", ""gets sweaty""]","[""none"", ""to get a plan""]","[""none"", ""to know about the dance"", ""to know persony""]","[""respectful"", ""satisfied"", ""to get a plan""]","[""avoid dancing"", ""find someone else to partner up with"", ""to be clear about personx feelings"", ""to talk to persony""]",trn,PersonX asks PersonY to dance,make no attempt to,multi_word
PersonX hardly ever proposes to PersonY,"[""jumps in suprises"", ""screams out"", ""none""]","[""none"", ""unwanted"", ""confused about personx""]","[""none""]","[""uncaring"", ""unromantic"", ""single"", ""alone""]","[""none""]","[""none""]","[""knows person y"", ""doesn't like person y"", ""none""]","[""hateful"", ""disappointed"", ""afraid to get rejected"", ""afraid of being hurt""]","[""make new friends"", ""tell person y off"", ""to wait"", ""to make sure they're making a good choice""]",trn,PersonX proposes to PersonY,hardly ever,multi_word
PersonX never puts words in PersonY's mouth,"[""is given a chance"", ""is allowed an explanation"", ""none""]","[""none""]","[""to thank PersonX"", ""to hug PersonX"", ""to state their opinions clearly"", ""to not be misunderstood""]","[""considerate"", ""well-mannered"", ""patient""]","[""gets listened to"", ""is respected by everyone"", ""learns humility"", ""stays silent""]","[""none""]","[""none"", ""to be acquainted with PersonY"", ""to often speak with PersonY""]","[""respectful"", ""caring"", ""careful"", ""considerate""]","[""PersonY to act on their own"", ""to give advice"", ""to let PersonY state their own opinions"", ""to understand PersonY's true intentions""]",trn,PersonX puts words in PersonY's mouth,never,single_word
PersonX starts exercising less,"[""none""]","[""none""]","[""none""]","[""lazy"", ""unmotivated""]","[""becomes careless"", ""sleeps"", ""gains weight"", ""becomes lazy""]","[""none"", ""to get fat"", ""take it easy""]","[""go to gym less"", ""do other activities in place of gym time"", ""none""]","[""tired"", ""bored"", ""lazy"", ""comfortable""]","[""to eat junk food"", ""play video games"", ""to stay on the couch"", ""to go to the gym""]",trn,PersonX starts exercising more,less,affixes_adj
PersonX by no means brings PersonY's home,"[""none""]","[""let down by PersonX"", ""angry about the ride home"", ""annoyed"", ""irritated""]","[""none"", ""receive an apology"", ""go home with personX""]","[""proper"", ""gentlemanly"", ""gallant"", ""rude"", ""unkind"", ""unhelpful""]","[""none""]","[""to stay at the event"", ""to talk to friends"", ""none""]","[""to ask for permission from person y"", ""needs consent"", ""decide to go home"", ""decide not to bring personY home""]","[""guilty for not helping"", ""sorry they let PersonY down"", ""busy"", ""drained""]","[""to spend time with person y"", ""to keep person y safe"", ""be alone"", ""make an excuse""]",trn,PersonX brings PersonY's home,by no means,multi_word
PersonX opposes impressing a girl,"[""none""]","[""none""]","[""to try to impress their friend"", ""to get closer"", ""none""]","[""methodical"", ""genuine"", ""controlled"", ""kind""]","[""none""]","[""to live a chaste life"", ""to avoid cheap tactics"", ""none""]","[""none""]","[""honorable"", ""proud"", ""shy"", ""unsure""]","[""to try and find a nice guy to date"", ""to continue playing the field"", ""to attempt to look suave"", ""to avoid putting himself out there""]",trn,PersonX impresses a girl,oppose,verb
