event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX breaks PersonY's arm.,trn,"[""violent"", ""abusive"", ""aggressive"", ""forceful""]","[""gets arrested"", ""is charged"", ""Scolded by personY"", ""Arrested by police""]","[""presses charges"", ""is put in hospital"", ""Taken to hospital"", ""Given emergency surgery""]","[""evil"", ""bloodthirsty"", ""sad"", ""terrible""]","[""hurt"", ""angry"", ""none""]","[""to hit person y"", ""to take peroson y to the hospital"", ""to beat PersonY"", ""to intimidate PersonY""]","[""to scold person x"", ""to hate person x"", ""to scream in pain"", ""to go to a hospital""]","[""to hurt people"", ""to kill people"", ""none""]","[""to hate person y"", ""to hold person y's arm"", ""to fight with PersonY"", ""to be close with PersonY""]",PersonX breaks PersonY's glasses
PersonY turn takes PersonX,trn,"[""no adjective"", ""in the way"", ""oblivious to PersonY's actions""]","[""none"", ""loses a turn"", ""gets in an argument""]","[""none"", ""is yelled at"", ""gets confronted""]","[""sure"", ""confident"", ""cheated"", ""angry at personY""]","[""surprised"", ""confused"", ""none""]","[""to be with them"", ""to go out"", ""to be taken for a ride"", ""to trust Y""]","[""none""]","[""to be with X"", ""to make the right move"", ""to skip the line"", ""to go first""]","[""none""]",PersonX takes PersonY turn
PersonX runs over to PersonY,trn,"[""concerned"", ""worried"", ""excited"", ""lively""]","[""gets sued"", ""gets arrested"", ""sweats"", ""breathes heavy""]","[""get injured"", ""dies"", ""jumps"", ""laughs""]","[""excited"", ""happy""]","[""nervous"", ""confused"", ""scared"", ""excited""]","[""to get the opinion of Y"", ""to help Y"", ""to hang out with persony"", ""to help persony""]","[""help from x"", ""to talk to x"", ""to go home"", ""be left alone""]","[""to talk to persony"", ""to have a conversation"", ""to greet them"", ""to meet them""]","[""none"", ""to see an accident"", ""to notice persony""]",PersonX walks over to PersonY
PersonX makes a pizza,trn,"[""skilled"", ""able"", ""skillful"", ""hungry""]","[""eats the pizza"", ""takes cooking lessons"", ""Asked for a piece"", ""Forced to make another pizza""]","[""none""]","[""happy"", ""salivating"", ""proud"", ""excited""]","[""none""]","[""eat it"", ""see their skill"", ""to serve friends"", ""to share with his family""]","[""none""]","[""none""]","[""none""]",PersonX makes oatmeal
PersonX loses PersonY's money.,trn,"[""careless"", ""irresponsible"", ""inconsiderate"", ""disloyal""]","[""gets yelled at"", ""is ordered to pay money back"", ""cannot pay bills"", ""gets money returned""]","[""none""]","[""ashamed"", ""bad"", ""careless"", ""stupid""]","[""annoyed"", ""disappointed"", ""none""]","[""to pay back"", ""to earn first"", ""to repay the money"", ""to ask for forgiveness""]","[""none""]","[""none""]","[""none""]",PersonX makes PersonY money
PersonX talks to PersonY's sister,trn,"[""interested"", ""horny"", ""amorous"", ""enchanted"", ""talkative"", ""chatty""]","[""take care of y sister"", ""help to sleep"", ""gets thanked"", ""gets appreciated""]","[""none"", ""laughs"", ""smiles""]","[""satisfied"", ""positive"", ""excited"", ""interested""]","[""none"", ""interested"", ""indifferent""]","[""to get a date"", ""to appear suave"", ""to find out details about Y"", ""to gossip more""]","[""to speak with person X"", ""to appear attractive to person X"", ""to give their side of things"", ""to make something clear""]","[""everyone to be happy"", ""to cause friendship"", ""to make a friend"", ""to sleep with her""]","[""to call person Y's sister"", ""to find person Y's sister's number"", ""none""]",PersonX talks to PersonY's brother
PersonX takes person Y's lunch,trn,"[""disrespectful"", ""thoughtless"", ""combative"", ""greedy""]","[""Gets scolded"", ""Is asked to give back the lunch"", ""gets yelled at"", ""gets told off""]","[""They get their lunch back"", ""They get angry with PersonX"", ""angry"", ""furious""]","[""ashamed"", ""odd"", ""excited"", ""mean""]","[""none""]","[""to eat personY's lunch"", ""to throw away the trash"", ""eat"", ""go to the mall""]","[""to shout at PersonX"", ""to get mad at PersonX"", ""their lunch"", ""to find something to eat""]","[""to eat"", ""to kill their hunger"", ""none""]","[""to open the fridge"", ""to see PersonY's lunch"", ""approach them"", ""to sit down""]",PersonX buys PersonY's lunch
PersonX hits PersonY's face.,trn,"[""aggressive"", ""violent"", ""barbaric"", ""hostile""]","[""Hit back by personY"", ""Breaks nose"", ""they are hit back"", ""they are arrested""]","[""Forced to go to hospital"", ""Needs emergency surgery"", ""they are hit""]","[""angry"", ""annoyed"", ""embarrassed"", ""ashamed""]","[""none"", ""betrayed"", ""physically abused""]","[""to win the fight"", ""to run away before the cops arrive"", ""injure personY"", ""kill personY""]","[""to not get beat up"", ""to stop their nose bleed"", ""to defend themself"", ""protect themself""]","[""none"", ""to show aggression"", ""to be assertive""]","[""to get into an argument"", ""to be struck by the other person"", ""none""]",PersonX holds PersonY's face
PersonX confuses PersonY more,trn,"[""deceptive"", ""manipulative"", ""a bad teacher"", ""hard to understand""]","[""gets yelled at"", ""gets hit"", ""none""]","[""scratches head"", ""scrunches face"", ""will not figure out the answer"", ""will have to work hard to figure it out""]","[""annoyed"", ""frustrated"", ""confused"", ""not sure""]","[""confused"", ""frustrated"", ""none""]","[""to be silent"", ""to be dishonest"", ""to speak more clearly"", ""to show examples""]","[""none""]","[""none""]","[""none""]",PersonX furthers PersonY's understanding
PersonX persuades PersonY to stay the same,trn,"[""persuasive"", ""manipulative"", ""influential""]","[""none""]","[""none""]","[""enjoyment"", ""loving"", ""concerned"", ""principled""]","[""none""]","[""to get counseling with PersonY"", ""to be closer to PersonY"", ""to marry them"", ""to date them""]","[""to please PersonX"", ""to make the relationship better with PersonX"", ""none""]","[""none""]","[""none""]",PersonX persuades PersonY to change
PersonX takes PersonY certificate,trn,"[""greedy"", ""thieving"", ""receptive"", ""accepting""]","[""reads the certificate"", ""hides the certificate"", ""gets told to give the certificate back"", ""loses the certificate""]","[""looks for the certificate"", ""reports the theft"", ""does not obtain the certificate"", ""has to apply for a new certificate""]","[""triumphant"", ""guilty"", ""careful"", ""strict""]","[""devastated"", ""vengeful"", ""none""]","[""to forge their name on the certificate"", ""to present the certificate as their own"", ""to give the certificate back"", ""to find their own certificate""]","[""to get their certificate back"", ""to get person X into trouble"", ""none""]","[""to discredit PersonY"", ""to claim the award for themself"", ""none""]","[""to see the certificate"", ""to lose their certificate"", ""none""]",PersonX takes PersonY degree
PersonX is a banker,trn,"[""employed"", ""occupied"", ""smart"", ""educated""]","[""is accountable for peoples savings"", ""aids customers"", ""none""]","[""none""]","[""rich"", ""accomplished"", ""learned""]","[""none""]","[""to earn more money"", ""to enjoy the life"", ""be paid"", ""continue being a banker""]","[""none""]","[""none""]","[""to study"", ""to work hard"", ""learn how to bank"", ""get a job at a bank""]",PersonX calls PersonY's insurance company
PersonX sits at a different table than PersonY,trn,"[""aloof"", ""distant"", ""isolated"", ""unfriendly""]","[""is confronted"", ""is moved"", ""none""]","[""is confused"", ""remains seated"", ""none""]","[""relieved"", ""content"", ""relaxed"", ""guilty"", ""happy""]","[""isolated"", ""rejected"", ""excluded"", ""sad""]","[""igore them"", ""keep distance"", ""to avoid eye contact"", ""to talk to others""]","[""none"", ""to ask why"", ""to relieve their confusion""]","[""to be alone"", ""to avoid PersonY"", ""to have a quiet lunch"", ""to meet some new people""]","[""none"", ""to see person Y"", ""to choose to avoid person Y""]",PersonX sits beside PersonY
PersonX chases   PersonY,trn,"[""athletic"", ""quick"", ""playful"", ""violent""]","[""is tired"", ""is weak"", ""punished"", ""arrested""]","[""is scared"", ""is tired"", ""screams"", ""frightened""]","[""happy"", ""playful"", ""angry"", ""annoyed""]","[""none""]","[""play with personY"", ""run away from personY"", ""to grab person y"", ""to call the police""]","[""run from personX"", ""chase personX"", ""none""]","[""none""]","[""know personY"", ""want to catch personY"", ""to get hurt by person y"", ""to catch person y""]",PersonX brings it to PersonY
PersonY's laptop uses PersonX,trn,"[""easy going"", ""charitable"", ""kind"", ""generous""]","[""none"", ""feels connected"", ""gains knowledge"", ""work is done""]","[""none"", ""can't go online"", ""is bored""]","[""content"", ""trusting"", ""confused"", ""violated""]","[""thankful"", ""grateful"", ""none""]","[""to be brave"", ""to learn computer""]","[""none""]","[""to help person y"", ""to be seen as supportive"", ""none""]","[""none""]",PersonX uses PersonY's laptop
PersonX loses my dog,trn,"[""irresponsible"", ""careless"", ""unhappy""]","[""Feel sad"", ""Search dog"", ""sees dog"", ""never sees dog again""]","[""none""]","[""sad"", ""irresponsible"", ""terrible about dropping lead"", ""frustrated while searching""]","[""none"", ""sad"", ""depressed""]","[""to look for my dog"", ""to put up lost posters"", ""go searching"", ""put up wanted posters""]","[""to get their dog back"", ""to get mad at PersonX"", ""none""]","[""none"", ""to walk the dog"", ""take dog to park""]","[""to walk my dog"", ""to get my dog"", ""to take care of my dog"", ""take their eyes off of"", ""be careless""]",PersonX finds my dog
PersonX gets PersonY an old one,trn,"[""unique"", ""peerless"", ""extraordinary"", ""giving"", ""caring""]","[""none""]","[""none"", ""they get an old one""]","[""disinterested"", ""annoyed"", ""good"", ""happy""]","[""none"", ""okay"", ""grateful""]","[""to get reimbursed"", ""to make money"", ""to more careful"", ""to buy foods""]","[""a new one"", ""to be treated fair"", ""none""]","[""none""]","[""none""]",PersonX gets PersonY a new one
PersonX gives PersonX's date,trn,"[""romantic"", ""kind"", ""confused"", ""embarrassed""]","[""goes for the date"", ""cleans up"", ""none""]","[""none""]","[""excited"", ""happy"", ""satisfied"", ""content""]","[""none"", ""satisfied also"", ""accomplished""]","[""to ask date what they think about them so far"", ""to ask them on another date"", ""to walk someone home"", ""to go to bed""]","[""none""]","[""none"", ""to get it on record"", ""to give the details""]","[""none"", ""to look in his day planner"", ""to buy a gift""]",PersonX takes PersonX's date
PersonX stood in front of PersonY,trn,"[""oblivious"", ""uncaring"", ""confident"", ""proud""]","[""Scolded by personY"", ""Pushed out of the way"", ""gets a greeting"", ""is given a handshake""]","[""none""]","[""nervous"", ""timid"", ""happy"", ""enjoyment""]","[""none""]","[""block y"", ""be seen first"", ""to greet them"", ""to hug them""]","[""none""]","[""none""]","[""none""]",PersonX lays behind PersonY
PersonX forgets to call PersonY back.,trn,"[""careless"", ""inconsiderate"", ""inattentive"", ""distracted""]","[""none""]","[""none"", ""doesn't communicate with PersonX"", ""is unheard""]","[""forgetful"", ""careless"", ""happy"", ""good""]","[""none""]","[""to reach out to them immediatly"", ""to apologize for being forgettful"", ""Apologize to Y"", ""contact Y later""]","[""to talk to Person X"", ""to tell them their good news"", ""to find out why X didn't call"", ""to see if X is all right""]","[""none"", ""to talk to them"", ""o look friendly""]","[""to tell the other individual they'll contact them"", ""to get busy and forget to do so"", ""to get a message from Y"", ""To listen to the message from Y""]",PersonX calls PersonY later
PersonX holds PersonY's feet.,trn,"[""kinky"", ""handsy"", ""mean"", ""rude""]","[""none"", ""is kicked"", ""is thanked""]","[""none"", ""is appreciated"", ""is scorned""]","[""silly"", ""goofy"", ""funny"", ""nervous""]","[""weird"", ""uncomfortable"", ""none""]","[""to switch"", ""to get a massage from persony"", ""to drink some water"", ""take a break""]","[""to give a massage to personx"", ""to make personx happy"", ""none""]","[""to touch Y"", ""to be weird"", ""to tickle"", ""to avoid PErsonY's attack""]","[""to get closer to persony"", ""to give a massage to personx"", ""to begin a massage"", ""to go to the gym""]",PersonX kisses PersonY's hands
PersonX chickens out of asking PersonY for their number.,trn,"[""cowardly"", ""introverted"", ""tenative"", ""shy""]","[""none"", ""Buy chickens for lunch"", ""cook chicken""]","[""none""]","[""embarressed"", ""disapointed"", ""embarrassed"", ""shy""]","[""none""]","[""to ask for someone else's number"", ""to give the person their number"", ""regain courage"", ""approach them again""]","[""none""]","[""none""]","[""none""]",PersonX gets PersonY's phone number
PersonY decorates PersonX's house,trn,"[""blessed"", ""appreciative"", ""industrious"", ""talented""]","[""Thanked by personY"", ""Offered a favor in return"", ""becomes grateful toward PersonY"", ""muscles tense from excitement seeing decorations""]","[""none"", ""muscles tired from decorating"", ""gets thanked""]","[""skilled"", ""knowledgable"", ""pretty"", ""useful""]","[""none""]","[""to thank person y"", ""to celebrate the party"", ""to invite friends over"", ""to take pictures""]","[""none""]","[""none""]","[""to think to decorate the house"", ""to ask help from person y"", ""to get tools ready"", ""to get supplies ready""]",PersonX decorates PersonY's house for
PersonX adopted PersonY's children,trn,"[""Caring"", ""Selfless"", ""Loving"", ""Happy"", ""caring"", ""unselfish""]","[""none"", ""they gain a family"", ""they have to support the children""]","[""they have a parent"", ""gain a stable home"", ""have a parent to look up to""]","[""great"", ""happy"", ""excited""]","[""none""]","[""play with the kids"", ""go on vacation"", ""to raise the children as their own"", ""to research how to be a good parent""]","[""relax"", ""keep in contact with personX"", ""to thank PersonX"", ""to settle in the new family""]","[""to be of help"", ""to be good"", ""none""]","[""know personY"", ""want children"", ""to want to give the children a better home"", ""to have a good heart""]",PersonX bears PersonY children
PersonX walks to PersonY,trn,"[""active"", ""sociable"", ""friendly"", ""social"", ""approaching""]","[""none"", ""greets them"", ""gets hand shaken""]","[""none"", ""embraces with a firm handshake"", ""nods head""]","[""kind"", ""friendly"", ""courageous"", ""dedicated""]","[""none""]","[""talk to personY"", ""greet personY"", ""to greet PersonY"", ""to talk to PersonY"", ""to ask a question""]","[""greet personX"", ""talk to personX"", ""to greet PersonY"", ""to talk to PersonY""]","[""none""]","[""be near personY"", ""see personY"", ""to see PersonY"", ""to approach PersonY""]",PersonX flies to PersonY
PersonX abhors the view of PersonY from behind.,trn,"[""petty"", ""judgmental"", ""vain""]","[""is told not to look"", ""is told to mind their own business"", ""none""]","[""tears come to their eyes"", ""runs away from PersonX"", ""none""]","[""irritated"", ""grumpy"", ""excited"", ""happy""]","[""hurt"", ""angry"", ""none""]","[""give person y a hug"", ""make their day better"", ""to get it clear"", ""to understand it""]","[""none""]","[""none""]","[""to meet up with person y"", ""start a conversation"", ""none""]",PersonX likes PersonY back
PersonX emails the vet.,trn,"[""devoted"", ""dependable"", ""responsive"", ""concerned""]","[""receives an email"", ""receives no email"", ""none""]","[""none"", ""reads email"", ""ponders""]","[""good"", ""fine"", ""sad"", ""hopeful""]","[""none""]","[""get a response from the vet"", ""take care of their sick pet"", ""to send an email"", ""to pass the message""]","[""respond to X's email"", ""recommend medicine for the pet"", ""none""]","[""none""]","[""open up an internet tab"", ""log in to their email"", ""to open the email"", ""to enter the password""]",PersonX calls the vet
PersonX is playing chess,trn,"[""smart"", ""intelligent"", ""talented"", ""patient"", ""composed""]","[""none""]","[""none""]","[""Happy"", ""playfful"", ""stimulated"", ""pleased""]","[""none""]","[""to continue playing"", ""to do something different"", ""to celebrate if they win the game"", ""to do something that isn't so challenging""]","[""none"", ""to tell personX they liked playing with them"", ""to do something relaxing""]","[""none"", ""to become better at chess"", ""to pass the time""]","[""none"", ""to buy a chess game"", ""to learn how to play chess""]",PersonX is playing monopoly
PersonX keeps quiet,trn,"[""self-controlled"", ""timid"", ""loyal"", ""respectful"", ""non-combative""]","[""none"", ""gets asked what is wrong"", ""is comforted""]","[""none""]","[""sneaky"", ""invisible"", ""nervous"", ""secretive""]","[""none""]","[""keep a secret"", ""avoid attention"", ""to maintain anonymity"", ""to not tell anyone""]","[""talk to personX"", ""compel personX to talk"", ""none""]","[""to blend in"", ""to sneak up on someone"", ""to avoid gossip"", ""to keep secrets"", ""to avoid attention""]","[""none""]",PersonX says things to PersonY
PersonX takes PersonY's share.,trn,"[""inconsiderate"", ""selfish"", ""mean""]","[""Y retaliates against X"", ""X is confronted by others"", ""none""]","[""Y has to go without"", ""Y has to make other plans"", ""doesn't get their share"", ""is upset at PersonX""]","[""selfish"", ""mean"", ""greedy"", ""needy""]","[""none"", ""angered"", ""livid""]","[""to appologize"", ""make it up to person y"", ""eat it all"", ""be mean""]","[""none""]","[""none"", ""to steal for himself"", ""to fulfill his desire""]","[""person y to offer share"", ""to be able to grab person y share"", ""none""]",PersonX pays PersonY's share
PersonX gives PersonY a nudge,trn,"[""prodding"", ""pushy"", ""nosy"", ""interested""]","[""Went outside eith friends"", ""Give some special things"", ""asked what they want"", ""is noticed""]","[""none"", ""ask what they want"", ""acknowledges person""]","[""helpful"", ""caring"", ""funny"", ""accomplished""]","[""none"", ""annoyed"", ""curious""]","[""develop the skills for career"", ""to ask sorry to personY"", ""to chastise PersonY"", ""to correct PersonY's behavior""]","[""none"", ""to see what PersonX wants"", ""to listen to PersonX""]","[""none"", ""to get PersonY's attention"", ""to annoy PersonY""]","[""none"", ""to be close to PersonY"", ""to disapprove of PersonY's behavior""]",PersonX gives PersonY a wink
PersonX releases PersonY.,trn,"[""kind"", ""helpful"", ""merciful"", ""composed"", ""decisive"", ""intelligent"", ""forgiving"", ""compassionate""]","[""none""]","[""thanks PersonX"", ""thinks about future actions"", ""gains freedom"", ""is free"", ""PersonY will be free"", ""PersonY will be able to do what they want and gain freedom"", ""none""]","[""satisfied"", ""unsure of their decision"", ""excited"", ""sad"", ""relieved"", ""merciful"", ""kind""]","[""excited"", ""free"", ""none"", ""reassured""]","[""to give them freedom"", ""to make them accountable"", ""to be thanked"", ""to be friendly"", ""be good"", ""be kind"", ""see what personY does"", ""capture someone else""]","[""none"", ""give thanks"", ""get away""]","[""to give PersonY their freedom"", ""to not have to bother with PersonY anymore"", ""none"", ""person y to be on their way"", ""doesn't want person y around them""]","[""none"", ""have capture personY"", ""decide to release personY""]",PersonX holds PersonY fast
PersonX hides the fact that it was broken from PersonY.,trn,"[""deceptive"", ""manipulative"", ""shady"", ""treacherous""]","[""yelled at"", ""fought with"", ""smiles"", ""breathes heavy""]","[""frowns"", ""cries"", ""none""]","[""worried"", ""paranoid"", ""nervous""]","[""none"", ""curious"", ""uneasy""]","[""to tell everyone"", ""to keep hiding the fact"", ""to fix it"", ""avoid being punished""]","[""none""]","[""to not get in trouble"", ""to not be punished"", ""to keep it a secret"", ""no punishments""]","[""none""]",PersonX tells PersonY it was broken
PersonX leaves PersonY early,trn,"[""rude"", ""mean"", ""tired"", ""rushed""]","[""none"", ""goes home"", ""goes somewhere else""]","[""is alone"", ""is abandoned"", ""none""]","[""sad"", ""lonely"", ""busy"", ""rushed""]","[""none"", ""worried"", ""confused""]","[""to go home"", ""to rest"", ""go home"", ""offer an explanation""]","[""keep spending time with personX"", ""to talk to personX"", ""receive an explanation"", ""go home also""]","[""none"", ""to go somewhere else"", ""to finish other task""]","[""know personY"", ""to meet with personY"", ""meet with personY"", ""decide to leave""]",PersonX accompanies PersonY far
PersonX ignores PersonY's temperature,trn,"[""unconcerned"", ""insensitive"", ""unthoughtful"", ""uncaring""]","[""none""]","[""they get brain damage"", ""they die"", ""gets sicker"", ""dies""]","[""great"", ""happy"", ""irresponsible"", ""frustrated""]","[""none"", ""unloved"", ""like an inconvenience""]","[""to let persony die"", ""to kill persony"", ""avoid alarming personY"", ""avoid medical care""]","[""to escape from personx"", ""to run away"", ""find out their temperature"", ""see if they have a fever""]","[""to be helpful"", ""to be alone"", ""to avoid responsibility"", ""PersonY to take care of themselves""]","[""none""]",PersonX checks PersonY's temperature
Family visits PersonX,trn,"[""grateful"", ""sociable"", ""friendly"", ""kind""]","[""none""]","[""none"", ""goes home"", ""has memory recall""]","[""nervous"", ""surprised"", ""loved"", ""included""]","[""happy"", ""excited"", ""glad to see PersonX"", ""eager to catch up with PersonX""]","[""to greet"", ""to serve refreshments"", ""to ask their family to go back home"", ""to let their family help themselves to food""]","[""to greet"", ""to behave politely"", ""none""]","[""none""]","[""none""]",PersonX visits family
PersonX is stranded,trn,"[""unfortunate"", ""a poor planner"", ""lonely"", ""afraid""]","[""suffers from isolation"", ""panics"", ""Saved by the coast guard"", ""Pulled into helicopter""]","[""none""]","[""upset"", ""disappointed"", ""scared"", ""worried"", ""unsafe""]","[""none""]","[""get a map"", ""call for help"", ""to call someone for help"", ""to hope someone can come and get them""]","[""none"", ""to ask personX how it happened"", ""to tell personX they will help them""]","[""none""]","[""none""]",PersonX goes back to my house
PersonX takes PersonY freedom,trn,"[""cruel"", ""ruthless"", ""selfish"", ""strong""]","[""none"", ""gets rebelled against"", ""gets begged for freedom""]","[""none"", ""gets starved"", ""gets released""]","[""superior"", ""satisfaction"", ""justified""]","[""shut in"", ""sorry"", ""broken"", ""humiliated""]","[""to arrange the meeting"", ""to meet in person"", ""use there control of another for their benefit"", ""give personY back their own abilities""]","[""none"", ""speak up for themselves"", ""do what they have been asked""]","[""to control"", ""to lock up a criminal"", ""to punish PersonY"", ""to seek justice for PersonY's victims""]","[""none"", ""control personY"", ""take away personY's desicions""]",PersonX gives PersonY freedom
PersonX goes PersonYs,trn,"[""Friendly"", ""Chatty"", ""meek"", ""unassuming""]","[""PersonX talks with personY"", ""PersonX goes on a trip with personY"", ""none""]","[""personY walks around with personX"", ""personY talks about their life with personX"", ""none""]","[""Excited"", ""Curious"", ""lonely"", ""needy""]","[""none""]","[""to chat with PersonY"", ""to hang out with PersonY"", ""to seduce persony"", ""to make dinner for persony"", ""to confess to persony""]","[""to say good-bye"", ""to thank PersonX for the visit"", ""to tell personx how they feel"", ""eat with personx"", ""hug personx""]","[""none""]","[""to find transportation"", ""to know PersonY's location"", ""to brush their teeth"", ""comb their hair"", ""be well groomed""]",PersonX comes home with PersonY
PersonX eats lunch alone at home,trn,"[""introverted"", ""frugal"", ""lonely"", ""bored""]","[""none"", ""no need to carry"", ""be free from hungry""]","[""none""]","[""refreshed"", ""full"", ""satisfied"", ""tired""]","[""none""]","[""to take some time for themselves"", ""to not allow others to talk to them"", ""to go out"", ""to eat with the others""]","[""none""]","[""to save money instead of going out to eat"", ""to have some alone time"", ""none""]","[""none""]",PersonX takes PersonY out to lunch
PersonX acquits  PersonY,trn,"[""forgiving"", ""exonerating"", ""benevolent"", ""merciful""]","[""none"", ""gets thanked"", ""get appreciated""]","[""go free"", ""grateful"", ""appreciative""]","[""happy"", ""with company"", ""satisfied"", ""free""]","[""none""]","[""justice to be served"", ""Show the world that persony did nothing wrong"", ""review verdict"", ""talk to judge""]","[""to cry tears of relief"", ""be thankful"", ""to thank person"", ""to celebrate with person x""]","[""none"", ""to forgive"", ""to feel free""]","[""none"", ""prepare court case"", ""counsel person y""]",PersonX accuses PersonY
PersonX tears down PersonY's nest.,trn,"[""rude"", ""destructive"", ""men"", ""aggressive""]","[""Scolded by personY"", ""Has police called on him"", ""yelled at"", ""shouted at""]","[""none"", ""angry"", ""furious""]","[""angry"", ""awful"", ""rude"", ""harsh""]","[""none""]","[""rebuild the nest"", ""apologize"", ""to search PersonY"", ""to arrange the meeting""]","[""receive an apology"", ""rebuild the nest"", ""none""]","[""to revenge"", ""to be bad"", ""none""]","[""approach the nest"", ""decide to tear down the nest"", ""none""]",PersonX builds PersonY's nest
Person X's crucial error costs Person Y's team the game.,trn,"[""defeated"", ""depressed"", ""incapable"", ""mistaken""]","[""Gets yelled at"", ""Gets looked down on"", ""they are shunned"", ""they are cut from the team""]","[""Lose the game"", ""Lose opportunities"", ""they don't get to play in the championship""]","[""ashamed"", ""guilty"", ""careless"", ""uncaring""]","[""upset"", ""angry"", ""none""]","[""apologize to the team"", ""play a better game"", ""to apologize"", ""to make amends""]","[""none"", ""to expel personx from the team"", ""to get rid of personx""]","[""none""]","[""none""]",PersonX leads PersonY's team to victory
PersonX is distant from their father,trn,"[""guarded"", ""cautiious"", ""cold"", ""aloof""]","[""none""]","[""none"", ""loses their family"", ""is given another chance""]","[""aloof"", ""unconcerned"", ""distant"", ""lonely""]","[""sad"", ""powerless"", ""none""]","[""to mend the relationship"", ""to make a better example"", ""be closer"", ""make contact""]","[""to see personx"", ""to make up for lost time"", ""catch up"", ""spend more time together""]","[""none""]","[""none""]",PersonX sees PersonY father
PersonX raises PersonY's arms.,trn,"[""controlling"", ""manipulative"", ""aggressive"", ""assertive""]","[""Pushed away by personY"", ""Told to back off"", ""gets told to stop"", ""gets thanked""]","[""none"", ""gets hurt"", ""gets helped out""]","[""courageous"", ""happy"", ""excited""]","[""none""]","[""receive thanks"", ""help personY more"", ""to dance with person y"", ""to enjoy""]","[""give thanks"", ""return the favor"", ""none""]","[""none""]","[""approach personY"", ""hold onto personY"", ""to get near to person y"", ""to grab person y's arm""]",PersonX drops PersonY's arms
Person X hires Person Y to work,trn,"[""solicitous"", ""helped"", ""giving"", ""appreciative""]","[""gets help"", ""smiles"", ""commits a crime"", ""gets arrested""]","[""gets money"", ""becomes employed"", ""gets fired"", ""also gets arrested""]","[""less busy"", ""relaxed"", ""glad"", ""hardworking""]","[""relieved"", ""rich"", ""none""]","[""to observe PersonY's performance"", ""to pay PersonY"", ""to  improve production"", ""to help y""]","[""to thank PersonX"", ""impress PersonX with good performance"", ""none""]","[""to do less work"", ""to get help"", ""none""]","[""to be a manager"", ""to have a job to offer"", ""none""]",PersonX loses PersonY job
PersonX tells PersonY fantasy,trn,"[""creative"", ""lyrical"", ""disloyal"", ""untrustworthy""]","[""gets laughed at"", ""gets insulted"", ""gets in trouble"", ""is yelled at""]","[""smiles"", ""laughs"", ""gets reputation ruined"", ""gets asked questions""]","[""relieved"", ""weight lifted off chest"", ""vulnerable"", ""exposed""]","[""interested"", ""intrigued"", ""curious""]","[""to hear PersonYs thoughts"", ""to enjoy drinks and a fun night"", ""to fantasize"", ""to reach out""]","[""to share deep thoughts with PersonX"", ""to make plans for next meet up"", ""none""]","[""to share with person y"", ""to tell someone about the fantasy"", ""person y to be interested"", ""others to know him better""]","[""to call and ask PersonY out to talk"", ""to drive to the cafe to meet up"", ""none""]",PersonX tells PersonY tales
PersonX saves the life of PersonY.,trn,"[""selfless"", ""heroic"", ""brave"", ""caring""]","[""none""]","[""does not die"", ""thanks PersonX"", ""smiles"", ""thinks about how to repay PersonX""]","[""heroic"", ""strong"", ""excited""]","[""grateful"", ""indebted"", ""thankful"", ""loved""]","[""to be a hero"", ""help persony rehabilitate"", ""to make sure PersonY is going to be okay"", ""to go see PersonY""]","[""to heal fully"", ""learn to walk"", ""to thank PersonX for saving their life"", ""to meet their savior""]","[""to keep Y alive"", ""to keep Y safe"", ""to see person y get old"", ""to keep person y safe""]","[""none"", ""to do first aid"", ""to see PersonY in danger""]",PersonX risks PersonY's life
PersonX brings PersonX's family home from the beach,trn,"[""outgoing"", ""friendly"", ""responsible"", ""caring""]","[""PersonX welcomes his family into his home"", ""PersonX orders pizza for his family"", ""sweeps sand out of car"", ""takes a shower""]","[""none""]","[""happy to be with family"", ""tired"", ""excited"", ""happy""]","[""none""]","[""to send their family back to the beach"", ""to tell their family that they need some time from them"", ""to take a shower"", ""to relax on the couch""]","[""none""]","[""none""]","[""none"", ""to get into the car"", ""to clean off sand""]",PersonX takes PersonX's family to the beach
PersonX is disappointed in PersonY,trn,"[""demanding"", ""easliy hurt"", ""unimpressed"", ""judgmental""]","[""Went dinner with family"", ""Fight with friends"", ""none""]","[""none""]","[""disappointed"", ""sad"", ""unhappy""]","[""none""]","[""to be mad at them"", ""to teach them a lesson"", ""to nag persony"", ""to yell at persony""]","[""none"", ""to make amends"", ""to make up with personx""]","[""none""]","[""none""]",PersonX is very proud of PersonY
PersonX directs away from person Y,trn,"[""Controlling"", ""Protective"", ""considerate"", ""helpful""]","[""gets yelled at"", ""gets screamed at"", ""none""]","[""yells"", ""screams"", ""none""]","[""caring"", ""loving"", ""careful"", ""watchful""]","[""none""]","[""to avoid PersonY"", ""to leave PersonY alone"", ""control the crowd"", ""protect personY""]","[""to be alone"", ""to stay by themselves"", ""give thanks"", ""maintain space""]","[""none""]","[""to know PersonY"", ""to get close to PersonY"", ""to talk to PersonY"", ""be near personY"", ""decide which way to direct""]",PersonX directs toward PersonY
